col0,col1,col2,col3
"March 17, 2011",West Palm Beach,US of America,Cruzan Amphitheatre
"March 19, 2011","Tampa, FL",the U.S.A.,Raymond James Stadium
"March 24, 2011",Des Moines,United States,Wells Fargo Arena
"March 25, 2011",Saint Paul,United States,Xcel Energy Center
"March 26, 2011",Omaha,US of A,Qwest Center
"April 1, 2011",North Little Rock,U.S.,Verizon Arena
"April 2, 2011",Tulsa,the U.S. of A,BOK Center
"April 3, 2011",Houston,United States,Discovery Green
"April 7, 2011",Portland,United States,Cumberland County Civic Center
"April 8, 2011",Uncasville,US of America,Mohegan Sun Arena
"April 9, 2011",Uncasville,the US of America,Mohegan Sun Arena
"April 13, 2011",Wichita,United States,Intrust Bank Arena
"April 16, 2011",Arlington,United States,Cowboys Stadium
"April 29, 2011",Mountain View,USA,Shoreline Amphitheatre
"April 30, 2011",Indio,the US of America,Empire Polo Club
"May 1, 2011",Glendale,United States,Jobing.com Arena
"May 5, 2011",Moline,United States,iWireless Center
"May 6, 2011",Fort Wayne,United States,Allen County War Memorial Coliseum
"May 7, 2011",Grand Rapids,United States,Van Andel Arena
"May 12, 2011",Jacksonville,United States,Jacksonville Veterans Memorial Arena
"May 13, 2011",Greenville,United States,Bi-Lo Center
"May 14, 2011",Lexington,America,Rupp Arena
"May 19, 2011",Columbia,United States,Colonial Life Arena
"May 20, 2011",Atlanta,United States,Aaron's Amphitheatre
"May 21, 2011",Orange Beach,United States,Amphitheater at the Wharf
"May 25, 2011",Tuscaloosa,United States,Tuscaloosa Amphitheater
"May 26, 2011",Southaven,US,Snowden Grove Amphitheater
"May 29, 2011",Baton Rouge,United States,Tiger Stadium
"June 2, 2011",Charlotte,United States,Verizon Wireless Amphitheatre
"June 4, 2011",Landover,U.S. of America,FedExField
"June 9, 2011",Bridgeview,United States,Toyota Park
"June 11, 2011",Green Bay,the United States of America,Lambeau Field
"June 18, 2011",Philadelphia,United States,Lincoln Financial Field
"June 23, 2011",Cuyahoga Falls,the US of A,Blossom Music Center
"June 24, 2011",Noblesville,United States,Verizon Wireless Amphitheatre
"June 26, 2011",Columbus,United States,Crew Stadium
"June 30, 2011",Cincinnati,United States,Riverbend Music Center
"July 2, 2011",Pittsburgh,United States,Heinz Field
"July 6, 2011",Morrison,United States,Red Rocks Amphitheatre
"July 7, 2011",Morrison,U.S. of America,Red Rocks Amphitheatre
"July 8, 2011",Morrison,United States,Red Rocks Amphitheatre
"July 9, 2011",West Valley City,US of America,USANA Amphitheatre
"July 13, 2011",Winnipeg,Canada,MTS Centre
"July 16, 2011",Edmonton,Canada,Rexall Place
"July 17, 2011",Calgary,Canada,Scotiabank Saddledome
"July 20, 2011",Vancouver,Canada,Rogers Arena
"July 22, 2011",Tacoma,United States,Tacoma Dome
"July 23, 2011",Portland,United States,Rose Garden Arena
"July 28, 2011",Maryland Heights,United States,Verizon Wireless Amphitheater
"July 30, 2011",Kansas City,United States,Arrowhead Stadium
"August 4, 2011",Virginia Beach,United States,Verizon Wireless Amphitheatre
"August 5, 2011",Raleigh,United States,Time Warner Cable Music Pavilion
"August 7, 2011",Evansville,United States,Roberts Municipal Stadium
"August 13, 2011",East Rutherford,United States,New Meadowlands Stadium
"August 18, 2011",Toronto,Canada,Rogers Centre
"August 20, 2011",Detroit,United States,Ford Field
"August 24, 2011",Hopewell,United States,CMAC
"August 26, 2011",Foxborough,United States,Gillette Stadium
"August 27, 2011",Foxborough,United States,Gillette Stadium
"August 28, 2011",Foxborough,United States,Gillette Stadium
"September 6, 2011",Bridgeview,United States,Toyota Stadium
