col0,col1,col2,col3
"2010
 (17th)",Al Pacino,You Don't Know Jack,Jacob Kevorkian
"2010
 (17th)",Jonathan Goodman,You Don't Know Jack,Neal Nicol
"2010
 (17th)",Dennis William Quaid,The Special Relationship,William Jefferson Blythe
"2010
 (17th)",Édgar Ramírez,Carlos,Ilich Ramírez Sánchez / Carlos the Jackal
"2010
 (17th)",Patrick Stewart,Macbeth,Macbeth
"2011
 (18th)",Paul Giamatti,Too Big to Fail,Ben Bernanke
"2011
 (18th)",Laurence Fishburne,Thurgood,Thurgood Marshall
"2011
 (18th)",Greg Kinnear,The Kennedys,John F. Kennedy
"2011
 (18th)",Guy Pearce,Mildred Pierce,Monty Beragon
"2011
 (18th)",James Woods,Too Big to Fail,Richard S. Fuld Jr.
"2012
 (19th)",Kevin Costner,Hatfields & McCoys,Devil Anse Hatfield
"2012
 (19th)",Woody Harrelson,Game Change,Steve Schmidt
"2012
 (19th)",Ed Harris,Game Change,John McCain
"2012
 (19th)",Clive Owen,Hemingway & Gellhorn,Ernest Hemingway
"2012
 (19th)",Bill Paxton,Hatfields & McCoys,Randolph McCoy
"2013
 (20th)",Michael Douglas,Behind the Candelabra,Liberace
"2013
 (20th)",Matt Damon,Behind the Candelabra,Scott Thorson
"2013
 (20th)",Jeremy Irons,The Hollow Crown,King Henry IV
"2013
 (20th)",Rob Lowe,Killing Kennedy,John F. Kennedy
"2013
 (20th)",Al Pacino,Phil Spector,Phil Spector
"2014
 (21st)",Mark Ruffalo,The Normal Heart,Ned Weeks
"2014
 (21st)",Adrien Brody,Houdini,Harry Houdini
"2014
 (21st)",Benedict Cumberbatch,Sherlock: His Last Vow,Sherlock Holmes
"2014
 (21st)",Richard Jenkins,Olive Kitteridge,Henry Kitteridge
"2014
 (21st)",Billy Bob Thornton,Fargo,Lorne Malvo
"2015
 (22nd)",Idris Elba,Luther,John Luther
"2015
 (22nd)",Ben Kingsley,Tut,"Ay, the Grand Vizier"
"2015
 (22nd)",Ray Liotta,Texas Rising,Lorca / Tom Mitchell
"2015
 (22nd)",Bill Murray,A Very Murray Christmas,Himself
"2015
 (22nd)",Mark Rylance,Wolf Hall,Thomas Cromwell
"2016
 (23rd)",Bryan Cranston,All the Way,Lyndon B. Johnson
"2016
 (23rd)",Riz Ahmed,The Night Of,Nasir Naz Khan
"2016
 (23rd)",Sterling K. Brown,The People v. O. J. Simpson: American Crime Story,Christopher Darden
"2016
 (23rd)",John Turturro,The Night Of,John Stone
"2016
 (23rd)",Courtney B. Vance,The People v. O. J. Simpson: American Crime Story,Johnnie Cochran
"2017
 (24th)",Alexander Skarsgård,Big Little Lies,Perry Wright
"2017
 (24th)",Benedict Cumberbatch,Sherlock: The Lying Detective,Sherlock Holmes
"2017
 (24th)",Jeff Daniels,Godless,Frank Griffen
"2017
 (24th)",Robert De Niro,The Wizard of Lies,Bernie Madoff
"2017
 (24th)",Geoffrey Rush,Genius,Albert Einstein
"2018
 (25th)",Darren Criss,The Assassination of Gianni Versace: American Crime Story,Andrew Cunanan
"2018
 (25th)",Antonio Banderas,Genius: Picasso,Pablo Picasso
"2018
 (25th)",Hugh Grant,A Very English Scandal,Jeremy Thorpe
"2018
 (25th)",Anthony Hopkins,King Lear,King Lear
"2018
 (25th)",Bill Pullman,The Sinner,Detective Harry Ambrose
"2019
 (26th)",Sam Rockwell,Fosse/Verdon,Bob Fosse
"2019
 (26th)",Mahershala Ali,True Detective,Wayne Hays
"2019
 (26th)",Russell Crowe,The Loudest Voice,Roger Ailes
"2019
 (26th)",Jared Harris,Chernobyl,Valery Legasov
"2019
 (26th)",Jharrel Jerome,When They See Us,Korey Wise
