col0,col1,col2,col3,col4
1928,Rose Bowl,William Alexander,California,W 8-7
1939,Orange Bowl,William Alexander,Missouri,W 21-7
1942,Cotton Bowl Classic,William Anderson Alexander,Texas,L 7-14
1943,Sugar Bowl,William Anderson Alexander,Tulsa,W 20-18
1944,Orange Bowl,William Alexander,Tulsa,L 12-26
1946,Oil Bowl,Bobby Dodd,Saint Mary's (CA),W 41-19
1947,Orange Bowl,Bobby Dodd,Kansas,W 20-14
1951,Orange Bowl,Bobby Dodd,Baylor,W 17-14
1952,Sugar Bowl,Bobby Dodd,Ole Miss,W 24-7
1953,Sugar Bowl,Bobby Dodd,West Virginia,W 42-19
1954,Cotton Bowl Classic,Bobby Dodd,Arkansas,W 14-6
1955,Sugar Bowl,Bobby Dodd,Pittsburgh,W 7-0
1956,Gator Bowl,Bobby Dodd,Pittsburgh,W 21-14
1959,Gator Bowl,Bobby Dodd,Arkansas,L 7-14
1961,Gator Bowl,Bobby Dodd,Penn State,L 15-30
1962,Bluebonnet Bowl,Bobby Dodd,Missouri,L 10-14
1965,Gator Bowl,Bobby Dodd,Texas Tech,W 31-21
1966,Orange Bowl,Bobby Dodd,Florida,L 12-27
1970,Sun Bowl,Bud Carson,Texas Tech,W 17-9
1971,Peach Bowl,Bud Carson,Ole Miss,L 18-41
1972,Liberty Bowl,Bill Fulcher,Iowa State,W 31-30
1978,Peach Bowl,Pepper Rodgers,Purdue,L 21-41
1985,Hall of Fame Classic,Bill Curry,Michigan State,W 17-14
1990,Florida Citrus Bowl,Bobby Ross,Nebraska,W 45-21
1991,Aloha Bowl,Bobby Ross,Stanford,W 18-17
1997,Carquest Bowl,George O'Leary,West Virginia,W 35-30
1998,Gator Bowl,George O'Leary,Notre Dame,W 35-28
1999,Gator Bowl,George O'Leary,Miami,L 13-28
2000,Peach Bowl,George O'Leary,LSU,L 14-28
2001,Seattle Bowl,Mac McWhorter,Stanford,W 24-14
2002,Silicon Valley Football Classic,Chan Gailey,Fresno State,L 21-30
2004,Humanitarian Bowl,Chan Gailey,Tulsa,W 52-10
2004,Champs Sports Bowl,Chan Gailey,Syracuse,W 51-14
2005,Emerald Bowl,Chan Gailey,Utah,L 10-38
2006,Gator Bowl,Chan Gailey,West Virginia,L 35-38
2007,Humanitarian Bowl,Jon Tenuta,Fresno State,L 28-40
2008,Chick-fil-A Bowl,Paul Johnson,LSU,L 3-38
2009,Orange Bowl,Paul Johnson,Iowa,L 14-24
2010,Independence Bowl,Paul Johnson,Air Force,L 7-14
2011,Sun Bowl,Paul Johnson,Utah,L 27-30
2012,Sun Bowl,Paul Johnson,USC,W 21-7
2013,Music City Bowl,Paul Johnson,Ole Miss,L 17-25
2014,Orange Bowl ‡,Paul Johnson,Mississippi State,W 49-34
2016,TaxSlayer Bowl,Paul Johnson,Kentucky,W 33-18
2018,Quick Lane Bowl,Paul Johnson,Minnesota,L 10-34
2023,Gasparilla Bowl,Brent Key,UCF,W 30-17
