col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
2008,Real Racing,Honda NSX,SUZ,OKA,FUJ,SEP,SUG,SUZ,MOT,AUT,25th,1
2009,Real Racing,Honda NSX,OKA,SUZ,Fuji International Speedway,SEP,SUG,SUZ,Fuji International Speedway,AUT,5th,51
2010,Real Racing,Honda HSV-010 GT,SUZ,OKA,FUJ,SEP,SUG,SUZ,FUJ,MOT,3rd,53
2011,Real Racing,Honda HSV-010 GT,OKA,Fuji International Speedway,SEP,SUG,SUZ,Fuji International Speedway,AUT,MOT,4th,50
2012,Real Racing,Honda HSV-010 GT,OKA,FUJ,SEP,SUG,SUZ,Fuji International Speedway,AUT,MOT,12th,30
2013,Real Racing,Honda HSV-010 GT,OKA,FUJ,SEP,SUG,SUZ,FUJ,AUT,MOT,2nd,67
2014,Real Racing,Honda NSX Concept-GT,OKA,Fuji International Speedway,AUT,SUG,FUJ,SUZ,BUR,MOT,12th,24
2015,Real Racing,Acura NSX (North America),OKA,FUJ,CHA,FUJ,SUZ,SUG,AUT,MOT,8th,39
2016,Keihin Real Racing,Honda NSX Concept-GT,OKA,Fuji International Speedway,SUG,Fuji International Speedway,SUZ,Buriram International Circuit,MOT,MOT,11th,27
2017,Keihin Real Racing,Honda NSX Concept-GT,OKA,Fuji International Speedway,AUT,SUG,FUJ,SUZ,CHA,MOT,10th,37
2018,Keihin Real Racing,Acura NSX (North America),OKA,FUJ,SUZ,CHA,Fuji International Speedway,SUG,AUT,MOT,7th,45
2019,Keihin Real Racing,Honda NSX-GT,OKA,FUJ,SUZ,Buriram International Circuit,FUJ,AUT,SUG,MOT,6th,39
2020,Keihin Real Racing,Acura NSX (North America),FUJ,Fuji International Speedway,SUZ,MOT,FUJ,SUZ,MOT,Fuji International Speedway,3rd,59
2021,Astemo Real Racing,Acura NSX (North America),OKA,FUJ,SUZ,MOT,SUG,AUT,MOT,FUJ,6th,52
2022,Astemo Real Racing,Honda NSX-GT,OKA,Fuji International Speedway,SUZ,FUJ,SUZ,SUG,AUT,MOT,4th,60
2023,Astemo Real Racing,Acura NSX (North America),OKA,Fuji International Speedway,SUZ,Fuji International Speedway,SUZ,,AUT,MOT,6th,45
2024,Astemo Real Racing,Honda Civic Type R-GT GT500,OKA,FUJ,SUZ,FUJ,SUZ,SUG,AUT,MOT,,
