col0,col1,col2
William H. King,Democratic,UT-AL
William H. King,Democratic,UT-AL
Joseph Howell,Grand Old Party,UT-AL
Joseph Howell,Republican,First Congressional District of Utah
Milton H. Welling,Democratic,UT-01
Don B. Colton,Republican,UT-01
Orrice Abram Murdock Jr.,Democratic,First Congressional District of Utah
J. W. Robinson,Democratic,UT-02
Walter K. Granger,U.S. Democratic Party,First Congressional District of Utah
Berkeley L. Bunker,Democratic Party (United States),NV-AL
William A. Dawson,Republican,UT-02
William A. Dawson,GOP,UT-02
Hamer H. Budge,Republican,ID-02
John E. Moss,Democratic,CA-03
Douglas R. Stringfellow,Grand Old Party,UT-01
Henry Aldous Dixon,Republican,UT-01
Stewart Udall,Democratic,AZ-02
David S. King,Democratic,UT-02
David S. King,Democratic,UT-02
Ralph R. Harding,Democratic Party of the United States,ID-02
M. Blaine Peterson,Democratic,First Congressional District of Utah
Mo Udall,Democratic,AZ-02
Laurence J. Burton,Republican,UT-01
Richard T. Hanna,US Democratic Party,CA-34
Sherman P. Lloyd,Republican,UT-02
Sherman P. Lloyd,Republican,UT-02
Del M. Clawson,Republican,CA-23
Del M. Clawson,Republican,CA-33
Kenneth W. Dyal,US Democratic Party,CA-33
George V. Hansen,Republican,ID-02
George V. Hansen,United States Republican Party,ID-02
Orval H. Hansen,GOP,ID-02
K. Gunn McKay,US Democratic Party,UT-01
Wayne Owens,Democratic,UT-02
Wayne Owens,Dems,UT-02
Clair Burgener,Republican,CA-42
Clair Burgener,United States Republican Party,CA-43
Allan Turner Howe,US Democratic Party,UT-02
Cecil Heftel,Democratic,HI-01
David Daniel Marriott,GOP,UT-02
Norman D. Shumway,Republican,CA-14
James V. Hansen,US Republican Party,UT-01
Howard C. Nielson,Republican,UT-03
Ron Packard,GOP,CA-43
Ron Packard,Republican,CA-48
Harry Reid,Democratic Party (United States),NV-01
David Smith Monson,Republican,UT-02
Richard H. Stallings,Democratic,ID-02
Wally Herger,US Republican Party,CA-02
John Doolittle,Republican,CA-14
John Doolittle,Republican,CA-04
Bill Orton,Democratic Party of the United States,UT-03
Richard Swett,U.S. Democratic Party,NH-02
Mike Crapo,United States Republican Party,ID-02
Ernest Istook,Republican,OK-05
Buck McKeon,Republican,CA-25
Enid Greene Waldholtz,Republican,UT-02
Matt Salmon,US Republican Party,AZ-01
Matt Salmon,Republican,AZ-05
Chris Cannon,US Republican Party,UT-03
Merrill Cook,GOP,UT-02
Mike Simpson,Republican,ID-02
Tom Udall,Democratic,NM-03
Jeff Flake,Republican,AZ-01
Jeff Flake,Republican,AZ-06
Jim Matheson,Democrat,UT-02
Jim Matheson,Democratic,UT-04
Rob Bishop,Republican,UT-01
Dean Heller,Republicans,NV-02
Jason Chaffetz,Republican,UT-03
Raúl Labrador,Republican,ID-01
Chris Stewart,Republican,UT-02
Curt Clawson,Republican,FL-19
Cresent Hardy,Republican,NV-04
Mia Love,Grand Old Party,UT-04
Andy Biggs,Grand Old Party,AZ-05
John Curtis,GOP,UT-03
Ben McAdams,Democratic,UT-04
Blake Moore,GOP,UT-01
Burgess Owens,GOP,UT-04
Celeste Maloy,Republican,UT-02
