col0,col1,col2,col3,col4
Carl Menger,1840,1921,Austrian,Jagiellonian University
Eugen von Böhm-Bawerk,1851,1914,Austria,University of Heidelberg   University of Leipzig   University of Jena
Friedrich Wieser,1851,1926,Austria,University of Vienna
Frank Fetter,1863,1949,American,University of Halle
Ludwig von Mises,1881,1973,Austrian,Universität Wien
Benjamin Anderson,1886,1949,American,Columbia University
Henry Hazlitt,1894,1993,the US of America,
Frederick Nymeyer,1897,1981,the United States,
Friedrich Hayek,1899,1992,Austrian,University of Vienna
William Harold Hutt,1899,1988,British,
Gottfried von Haberler,1900,1995,Austrian,
Fritz Machlup,1902,1983,Austro-Hungarian Empire,University of Vienna
Paul Rosenstein-Rodan,1902,1985,Polish,
Ludwig Lachmann,1906,1990,German,University of Berlin
Kurt Richebächer,1918,2007,German,
Hans Sennholz,1922,2007,German-American,New York University    University of Cologne
Murray Rothbard,1926,1995,the United States,Columbia University
Israel Kirzner,1930,Living,American,New York University
Ernest C. Pasour,1932,Living,American,Michigan State University
Ralph Raico,1936,2016,the US of America,University of Chicago
George Reisman,1937,Living,American,New York University
Pascal Salin,1939,Living,French,Paris Dauphine University
Henri Lepage,1941,Living,French,
Walter Block,1941,Living,US,Columbia University
Robert Higgs,1944,Living,US,Johns Hopkins University
Roger Garrison,1944,Living,US,University of Virginia
Mark Skousen,1947,Living,American,George Washington University
David Gordon,1948,Living,United States,UCLA
Hans-Hermann Hoppe,1949,Living,German,Goethe University Frankfurt
Joseph Salerno,1950,Living,the US,Rutgers University
Randall G. Holcombe,1950,Living,U. S. A.,Florida State University
Richard Ebeling,1950,Living,American,Middlesex University
Don Lavoie,1951,2001,American,New York University
Lawrence Reed,1953,Living,American,Slippery Rock University of Pennsylvania
Lawrence H. White,1954,Living,the United States of America,UCLA
Russell Roberts,1954,Living,U. S.,University of Chicago
Jesús Huerta de Soto,1956,Living,Spanish,Complutense University of Madrid
Donald J. Boudreaux,1958,Living,American,Auburn University
Mark Thornton,1960,Living,USA,Auburn University
Peter Boettke,1960,Living,American,George Mason University
David Prychitko,1962,Living,American,George Mason University
Peter Schiff,1963,Living,American,"University of California, Berkeley"
Steven Horwitz,1964,2021,American,George Mason University
Peter G. Klein,1966,Living,U. S.,"University of California, Berkeley"
Jörg Guido Hülsmann,1966,Living,German,Technical University of Berlin
Javier Milei,1970,Living,Argentinian,Belgrano University
Mark Spitznagel,1971,Living,American,New York University
Robert P. Murphy,1976,Living,American,New York University
Christopher Coyne,1977,Living,American,George Mason University
Peter Leeson,1979,Living,American,George Mason University
