col0,col1
1,"Stock Exchanges Control Act, 1985"
2,"Provincial Powers Extension Amendment Act, 1985"
3,"Financial Relations Amendment Act, 1985"
4,"Jan Kempdorp Amendment Act, 1985"
5,"Police Amendment Act, 1985"
6,"Prisons Amendment Act, 1985"
7,"Valuers' Amendment Act, 1985"
8,"Architects' Amendment Act, 1985"
9,"Credit Agreements Amendment Act, 1985"
10,"Estate Agents Amendment Act, 1985"
11,"International Convention for Safe Containers Act, 1985"
12,"Maintenance and Promotion of Competition Amendment Act, 1985"
13,"Professional Engineers' Amendment Act, 1985"
14,"Coal Amendment Act, 1985"
15,"Atmospheric Pollution Prevention Amendment Act, 1985"
16,"Mental Health Amendment Act, 1985"
17,"Agricultural Pests Amendment Act, 1985"
18,"Supreme Court Amendment Act, 1985"
19,"Magistrates' Courts Amendment Act, 1985"
20,"Animals Protection Amendment Act, 1985"
21,"Nuclear Energy Amendment Act, 1985"
22,"Part Appropriation Act of the Administration: House of Assembly, 1985"
23,"Part Appropriation Act of the Administration: House of Representatives, 1985"
24,"Part Appropriation Act of the Administration: House of Delegates, 1985"
25,"Merchant Shipping Amendment Act, 1985"
26,"Alteration of Provincial Boundaries Act, 1985"
27,"Post Office Service Amendment Act, 1985"
28,"University Staff (Education and Training) Amendment Act, 1985"
29,"Companies Amendment Act, 1985"
30,"South African Iron and Steel Industrial Corporation, Limited, Amendment Act, 1985"
31,"Liquor Amendment Act, 1985"
32,"Additional Appropriation Act, 1985"
33,"Additional Appropriation Act of the Administration: House of Assembly, 1985"
34,"Additional Appropriation Act of the Administration: House of Representatives, 1985"
35,"Additional Appropriation Act of the Administration: House of Delegates, 1985"
36,"Electoral and Related Affairs Amendment Act, 1985"
37,"Part Appropriation Act, 1985"
38,"Transport Services Appropriation Act, 1985"
39,"Diplomatic Privileges Amendment Act, 1985"
40,"Post Office Appropriation Act, 1985"
41,"Local Government Training Act, 1985"
42,"Co-operatives Amendment Act, 1985"
43,"Advertising on Roads and Ribbon Development Amendment Act, 1985"
44,"South African Transport Services Amendment Act, 1985"
45,"Promotion of Local Government Affairs Amendment Act, 1985"
46,"State Oil Fund Amendment Act, 1985"
47,"National Key Points Amendment Act, 1985"
48,"Foreign States Immunities Amendment Act, 1985"
49,"Trade Practices Amendment Act, 1985"
50,"Electricity Amendment Act, 1985"
51,"Public Accountants' and Auditors' Amendment Act, 1985"
52,"Black Communities Development Amendment Act, 1985"
53,"Control of Access to Public Premises and Vehicles Act, 1985"
54,"Development Trust and Land Amendment Act, 1985"
55,"Rhodes' Will (Groote Schuur Devolution) Amendment Act, 1985"
56,"National Libraries Act, 1985"
57,"Universities and Technikons Advisory Council Amendment Act, 1985"
58,"National Roads Amendment Act, 1985"
59,"Prevention and Combating of Pollution of the Sea by Oil Amendment Act, 1985"
60,"Coal Resources Act, 1985"
61,"Petroleum Products Amendment Act, 1985"
62,"Appropriation Act of the Administration: House of Delegates, 1985"
63,"Appropriation Act of the Administration: House of Assembly, 1985"
64,"Indians Education Amendment Act, 1985 (House of Delegates)"
65,"Human Sciences Research Amendment Act, 1985"
66,"Appropriation Act of the Administration: House of Representatives, 1985"
67,"Public Service Laws Amendment Act, 1985"
68,"Social and Associated Workers Amendment Act, 1985"
69,"Pharmacy Amendment Act, 1985"
70,"Health Amendment Act, 1985"
71,"Universities for Blacks, Technikons (Education and Training) and Education and Training Amendment Act, 1985"
72,"Immorality and Prohibition of Mixed Marriages Amendment Act, 1985"
73,"Appropriation Act, 1985"
74,"South African Police Special Account Act, 1985"
75,"Railway Construction Act, 1985"
76,"Coloured Persons Education Amendment Act, 1985 (House of Representatives)"
77,"Natural Scientists' Amendment Act, 1985"
78,"Share Blocks Control Amendment Act, 1985"
79,"Finance Act, 1985"
80,"Attorneys Amendment Act, 1985"
81,"Revenue Laws Amendment Act, 1985"
82,"Saint Andrew's College, Grahamstown, (Private) Amendment Act, 1985 (House of Assembly)"
83,"University of Stellenbosch (Private) Amendment Act, 1985 (House of Assembly)"
84,"Animals Protection Second Amendment Act, 1985"
85,"Judges' Pensions Amendment Act, 1985"
86,"Judges' Remuneration Amendment Act, 1985"
87,"Supreme Court Second Amendment Act, 1985"
88,"Second Finance Act, 1985"
89,"Land Bank Amendment Act, 1985"
90,"Laws on Co-operation and Development Second Amendment Act, 1985"
91,"Laws on Co-operation and Development Amendment Act, 1985"
92,"Physical Planning Amendment Act, 1985"
93,"Water Research Amendment Act, 1985"
94,"Second Railway Construction Act, 1985"
95,"Payment of Members of Parliament Amendment Act, 1985"
96,"Income Tax Act, 1985"
97,"Bible Society of South Africa Amendment Act, 1985"
98,"Members of Parliament and Political Office-bearers Pension Scheme Amendment Act, 1985"
99,"Powers and Privileges of Parliament and the Constitution Amendment Act, 1985"
100,"Pensions (Supplementary) Act, 1985"
101,"Customs and Excise Amendment Act, 1985"
102,"Sales Tax Amendment Act, 1985"
103,"Development and Housing Act, 1985 (House of Assembly)"
104,"Constitutional Affairs Amendment Act, 1985"
105,"Pension and Related Matters Amendment Act, 1985"
106,"Financial Institutions Amendment Act, 1985"
107,"Rules Board for Courts of Law Act, 1985"
108,"Associated Health Service Professions Amendment Act, 1985"
109,"Regional Services Councils Act, 1985"
110,"Local Government Affairs Amendment Act, 1985"
