col0,col1
Aljunied   GRC,Workers' Party
Aljunied   GRC,Workers' Party
Aljunied GRC,Workers' Party
Aljunied   GRC,Workers' Party
Aljunied GRC,Workers' Party
Ang Mo Kio GRC,PAP
Ang Mo Kio   GRC,People's Action Party
Ang Mo Kio   GRC,People's Action Party
Ang Mo Kio   GRC,People's Action Party
Ang Mo Kio GRC,People's Action Party
Ang Mo Kio   GRC,People's Action Party
Bishan-Toa Payoh   GRC,People's Action Party
Bishan-Toa Payoh   GRC,PAP
Bishan-Toa Payoh   GRC,People's Action Party
Bishan-Toa Payoh   GRC,People's Action Party
Bishan-Toa Payoh   GRC,People's Action Party
Bukit Panjang   SMC,PAP
Chua Chu Kang   GRC,People's Action Party
Chua Chu Kang   GRC,People's Action Party
Chua Chu Kang   GRC,People's Action Party
Chua Chu Kang   GRC,PAP
Chua Chu Kang   GRC,PAP
East Coast   GRC,PAP
East Coast   GRC,People's Action Party
East Coast   GRC,PAP
East Coast   GRC,People's Action Party
East Coast   GRC,PAP
Holland-Bukit Timah   GRC,PAP
Holland-Bukit Timah   GRC,PAP
Holland-Bukit Timah   GRC,People's Action Party
Holland-Bukit Timah   GRC,People's Action Party
Hong Kah North   SMC,PAP
Hougang   SMC,Workers' Party
Joo Chiat   SMC,People's Action Party
Jurong   GRC,PAP
Jurong   GRC,People's Action Party
Jurong   GRC,People's Action Party
Jurong   GRC,People's Action Party
Jurong   GRC,PAP
Marine Parade   GRC,PAP
Marine Parade   GRC,People's Action Party
Marine Parade   GRC,PAP
Marine Parade   GRC,People's Action Party
Marine Parade   GRC,PAP
Moulmein-Kallang   GRC,People's Action Party
Moulmein-Kallang   GRC,People's Action Party
Moulmein-Kallang   GRC,People's Action Party
Moulmein-Kallang   GRC,People's Action Party
Mountbatten   SMC,PAP
Nee Soon   GRC,People's Action Party
Nee Soon   GRC,People's Action Party
Nee Soon   GRC,PAP
Nee Soon   GRC,People's Action Party
Nee Soon   GRC,PAP
Pasir Ris-Punggol   GRC,PAP
Pasir Ris-Punggol   GRC,PAP
Pasir Ris-Punggol   GRC,People's Action Party
Pasir Ris-Punggol   GRC,People's Action Party
Pasir Ris-Punggol   GRC,People's Action Party
Pasir Ris-Punggol   GRC,People's Action Party
Pioneer   SMC,PAP
Potong Pasir   SMC,PAP
Punggol East   SMC,Workers' Party
Radin Mas   SMC,PAP
Sembawang   GRC,PAP
Sembawang   GRC,PAP
Sembawang   GRC,People's Action Party
Sembawang   GRC,PAP
Sembawang   GRC,People's Action Party
Sengkang West   SMC,PAP
Tampines   GRC,People's Action Party
Tampines   GRC,PAP
Tampines   GRC,PAP
Tampines   GRC,People's Action Party
Tampines   GRC,PAP
Tanjong Pagar   GRC,People's Action Party
Tanjong Pagar   GRC,People's Action Party
Tanjong Pagar   GRC,People's Action Party
Tanjong Pagar   GRC,People's Action Party
West Coast   GRC,People's Action Party
West Coast   GRC,People's Action Party
West Coast   GRC,PAP
West Coast   GRC,People's Action Party
West Coast   GRC,PAP
Whampoa   SMC,People's Action Party
Yuhua   SMC,People's Action Party
