col0,col1,col2,col3
2010,Anna Kendrick,Up in the Air,Natalie Keener
2010,Quinton Aaron,Blind Side,Michael Jerome Williams
2010,Zach Galifianakis,The Hangover,Alan Garner
2010,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson
2010,Chris Pine,Star Trek,Captain James T. Kirk
2010,Gabourey Sidibe,Precious,Claireece Precious Jones
2011,Chloë Grace Moretz,Kick-Ass,Hit-Girl
2011,Jay Chou,The Green Hornet,Kato
2011,Andrew Garfield,The Social Network,Eduardo Saverin
2011,Xavier Samuel,The Twilight Saga: Eclipse,Riley Biers
2011,Hailee Steinfeld,True Grit,Mattie Ross
2011,Olivia Wilde,Tron: Legacy,Quorra
2012,Shailene Woodley,The Descendants,Alexandra Alex King
2012,Elle Fanning,Super 8,Alice Dainard
2012,Melissa McCarthy,Bridesmaids,Megan Price
2012,Rooney Mara,The Girl with the Dragon Tattoo,Lisbeth Salander
2012,Liam Hemsworth,The Hunger Games,Gale Hawthorne
2013,Rebel Wilson,Pitch Perfect,Fat Amy
2013,Ezra Miller,The Perks of Being a Wallflower,Patrick
2013,Eddie Redmayne,Les Misérables,Marius Pontmercy
2013,Suraj Sharma,Life of Pi,Piscine Pi Patel
2013,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy
2014,Will Poulter,We're the Millers,Kenny Rossmore
2014,Liam James,"The Way, Way Back",Duncan
2014,Margot Robbie,The Wolf of Wall Street,Naomi Lapaglia
2014,Michael B. Jordan,Fruitvale Station,Oscar Grant
2014,Miles Teller,The Spectacular Now,Sutter Keely
2015,Dylan O'Brien,The Maze Runner,Thomas
2015,Ansel Elgort,The Fault in Our Stars,Augustus Waters
2015,David Oyelowo,Selma,Martin Luther King Jr.
2015,Ellar Coltrane,Boyhood,"Mason Evans, Jr."
2015,Rosamund Pike,Gone Girl,Amy Elliott-Dunne
2016,Daisy Ridley,Star Wars: The Force Awakens,Rey
2016,Amy Schumer,Trainwreck,Amy Townsend
2016,Brie Larson,Room,Joy Ma Newsome
2016,Dakota Johnson,Fifty Shades of Grey,Anastasia Steele
2016,John Boyega,Star Wars: The Force Awakens,Finn
2016,O'Shea Jackson Jr.,Straight Outta Compton,Ice Cube
2017,Daniel Kaluuya,Get Out,Chris Washington
2017,Riz Ahmed,Rogue One: A Star Wars Story,Bodhi Rook
2017,Chrissy Metz,This Is Us,Kate Pearson
2017,Issa Rae,Insecure,Issa Dee
2017,Yara Shahidi,Black-ish,Zoey Johnson
2018,Tiffany Haddish,Girls Trip,Dina
2018,Iain Armitage,Big Little Lies,Ziggy Chapman
2018,Iain Armitage,Young Sheldon,Sheldon Cooper
2018,Timothée Chalamet,Call Me by Your Name,Elio Perlman
2018,Katherine Langford,13 Reasons Why,Hannah Baker
2018,Katherine Langford,"Love, Simon",Leah Burke
2018,Nick Robinson,"Love, Simon",Simon Spier
2018,Letitia Wright,Black Panther,Shuri
2019,Noah Centineo,To All the Boys I've Loved Before,Peter Kavinsky
2019,Awkwafina,Crazy Rich Asians,Goh Peik Lin
2019,Ncuti Gatwa,Sex Education,Eric Effiong
2019,Haley Lu Richardson,Five Feet Apart,Stella
2019,Michaela Jaé Rodriguez,Pose,Blanca Rodriguez
