col0,col1,col2,col3
1980   (32nd),Donald David Dixon Ronald O’Connor,The 52nd Annual Academy Awards,ABC
1981   (33rd),Sassie Vaughan,Rhapsody and Song - A Tribute to George Gershwin (Great Performances),PBS
1982   (34th),Nell Carter,Ain't Misbehavin',NBC
1982   (34th),André De Shields,Ain't Misbehavin',National Broadcasting Company
1982   (34th),Gregory Hines,I Love Liberty,ABC
1983   (35th),Leontyne Price,"Leontyne Price, Zubin Mehta and the New York Philharmonic (Live from Lincoln Center)",PBS
1983   (35th),Carol Burnett,Texaco Star Theater... Opening Night,NBC
1983   (35th),Michael Jackson,"Motown 25: Yesterday, Today, Forever",National Broadcasting Company
1983   (35th),Luciano Pavarotti,Luciano Pavarotti and the New York Philharmonic (Live from Lincoln Center),PBS
1983   (35th),Richard Pryor,"Motown 25: Yesterday, Today, Forever",NBC
1984   (36th),Cloris Leachman,Screen Actors Guild 50th Anniversary Celebration,CBS
1984   (36th),Debbie Allen,Live... And in Person,National Broadcasting Company
1984   (36th),George Burns,George Burns Celebrates 80 Years in Show Business,National Broadcasting Company
1984   (36th),Eddie Murphy,Saturday Night Live,NBC
1984   (36th),Joe Piscopo,Saturday Night Live,National Broadcasting Company
1984   (36th),Lily Tomlin,Live... And in Person,NBC
1984   (36th),James Levine,Live from the Met Centennial Gala,PBS
1984   (36th),Leontyne Price,In Performance at the White House: An Evening of Spirituals and Gospel Music,PBS
1985   (37th),George Hearn,Sweeney Todd: The Demon Barber of Fleet Street (Great Performances),PBS
1985   (37th),Billy Crystal,Saturday Night Live,NBC
1985   (37th),Gregory Hines,Motown Returns to the Apollo,NBC
1985   (37th),Patti LaBelle,Motown Returns to the Apollo,National Broadcasting Company
1985   (37th),Angela Lansbury,Sweeney Todd: The Demon Barber of Fleet Street (Great Performances),Public Broadcasting Service
1985   (37th),Luciano Pavarotti,Rigoletto (Great Performances),Public Broadcasting Service
1986   (38th),Whitney Houston,The 28th Annual Grammy Awards,CBS
1986   (38th),Debbie Allen,An All-Star Celebration Honoring Martin Luther King Jr.,NBC
1986   (38th),Patti LaBelle,Sylvia Fine Kaye's Musical Comedy Tonight III (Great Performances),PBS
1986   (38th),Jon Lovitz,Saturday Night Live,NBC
1986   (38th),Sarah Vaughan,The 28th Annual Grammy Awards,CBS
1986   (38th),Stevie Wonder,An All-Star Celebration Honoring Martin Luther King Jr.,NBC
1986   (38th),Plácido Domingo,Cavalleria Rusticana (Great Performances),PBS
1987   (39th),Robin Williams,"A Carol Burnett Special: Carol, Carl, Whoopi & Robin",ABC
1987   (39th),Billy Crystal,The 29th Annual Grammy Awards,CBS
1987   (39th),Julie Kavner,The Tracey Ullman Show,Fox
1987   (39th),Angela Lansbury,The 1987 Tony Awards,CBS
1987   (39th),Jon Lovitz,Saturday Night Live,National Broadcasting Company
1987   (39th),Leonard Bernstein,Carnegie Hall: The Grand Reopening,CBS
1987   (39th),Isaac Stern,Carnegie Hall: The Grand Reopening,CBS
1988   (40th),Robin Williams,ABC Presents a Royal Gala,ABC
1988   (40th),Mikhail Baryshnikov,Celebrating Gershwin (Great Performances),PBS
1988   (40th),Ray Charles,Irving Berlin's 100th Birthday Celebration,CBS
1988   (40th),Billy Crystal,An All-Star Toast to the Improv,HBO
1988   (40th),Julie Kavner,The Tracey Ullman Show,Fox
1988   (40th),Mikhail Baryshnikov,Dance in America: David Gordon's Made in U.S.A. (Great Performances),PBS
1988   (40th),Plácido Domingo,Aida: From the Houston Grand Opera (Great Performances),PBS
1988   (40th),Billy Crystal,The 30th Annual Grammy Awards,CBS
1989   (41st),Linda Ronstadt,Canciones de Mi Padre (Great Performances),PBS
1989   (41st),Dana Carvey,Saturday Night Live,NBC
1989   (41st),Julie Kavner,The Tracey Ullman Show,Fox
1989   (41st),"Thom Fountain, Sandey Grinn, Maurice LaMarche, John Lovelady, Steve Sherman, Van Snowden, Fred Spencer, Allan Trautman and Todd Walcott",Sid and Marty Krofft's D.C. Follies  (Episode 202),Syndicated
1989   (41st),"Thom Fountain, Sandey Grinn, John Lovelady, John Roarke, Steve Sherman, Van Snowden, Fred Spencer, Allan Trautman and Todd Walcott",Sid and Marty Krofft's D.C. Follies  (Episode 211),Syndicated
1989   (41st),Mikhail Baryshnikov,Dance in America: Baryshnikov Dances Balanchine (Great Performances),PBS
1989   (41st),Billy Crystal,The 31st Annual Grammy Awards,CBS
