col0,col1,col2,col3
Best Actor in a Supporting Role,Best Actor in a Supporting Role,Best Actor in a Supporting Role,Oscar for Best Supporting Actor
Year,Name,Film,Role
1936,Mikhail Semyonovich Unskovsky,My Man Godfrey,Carlo
The 10th Academy Awards,Joseph Schildkraut,Life of Emile Zola,Captain Alfred Dreyfus
The 11th Academy Awards,John Garfield,Four Daughters,Mickey Borden
1948,Oscar Homolka,I Remember Mama,Uncle Chris Halverson
1950,Jeff Chandler,Broken Arrow,Cochise
1951,,Quo Vadis,Petronius
1951,Peter Ustinov,Quo Vadis,Nero
1953,Robert Strauss,Stalag 17,Sgt. Stanislas Animal Kasava
1954,Lee J. Cobb,On the Waterfront,Johnny Friendly
1957,Red Buttons,Sayonara,Airman Joe Kelly
1958,Theodore Bikel,The Defiant Ones,Sheriff Max Muller
1958,Lee J. Cobb,The Brothers Karamazov,Fyodor Karamazov
1959,Ed Wynn,The Diary of Anne Frank,Albert Dussell
1960,Peter Ustinov,Spartacus,Lentulus Batiatus
1960,Peter Falk,"Murder, Inc.",Abe Kid Twist Reles
1960,Jack Kruschen,The Apartment,Dr. Dreyfuss
1961,Peter Falk,Pocketful of Miracles,Joy Boy
1963,Melvyn Douglas,Hud,Homer Bannon
1964,Peter Ustinov,Topkapi,Arthur Simon Simpson
1965,Martin Balsam,A Thousand Clowns,Arnold Burns
1966,Walter Matthau,The Fortune Cookie,Willie Gingrich
1966,George Segal,Who's Afraid of Virginia Woolf?,Nick
1968,Jack Albertson,The Subject Was Roses,John Cleary
1968,Gene Wilder,The Producers,Leo Bloom
1969,Elliott Gould,Bob & Carol & Ted & Alice,Ted Henderson
1970,John Marley,Love Story,Phil Cavalleri
1971,Leonard Frey,Fiddler on the Roof,Motel Kamzoil
1972,Joel Grey,Cabaret,Master of Ceremonies
1972,James Caan,The Godfather,Sonny Corleone
1973,John Houseman,The Paper Chase,Charles W. Kingsfield Jr.
1973,Jack Gilford,Save the Tiger,Phil Greene
1974,Fred Astaire,The Towering Inferno,Harlee Claiborne
1974,Lee Strasberg,The Godfather Part II,Hyman Roth
1975,George Burns,The Sunshine Boys,Al Lewis
1979,Melvyn Douglas,Being There,Benjamin Turnbull Rand
1980,Judd Hirsch,Ordinary People,Dr. Tyrone C. Berger
1987,Albert Brooks,Broadcast News,Aaron Altman
1988,Kevin Kline,A Fish Called Wanda,Otto West
1988,Martin Landau,Tucker: The Man and His Dream,Abe Karatz
1988,River Phoenix,Running on Empty,Danny Pope
1989,Martin Landau,Crimes and Misdemeanors,Judah Rosenthal
1991,Harvey Keitel,Bugsy,Mickey Cohen
1991,Michael Lerner,Barton Fink,Jack Lipnick
1992,David Paymer,Mr. Saturday Night,Stan Young
1994,Martin Landau,Ed Wood,Bela Lugosi
2000,Joaquin Phoenix,Gladiator,Commodus
2002,Paul Newman,Road to Perdition,John Rooney
2005,Jake Gyllenhaal,Brokeback Mountain,Jack Twist
2006,Alan Arkin,Little Miss Sunshine,Edwin Hoover
2008,Robert Downey Jr.,Tropic Thunder,Kirk Lazarus
2011,Jonah Hill,Moneyball,Peter Brand
2012,Alan Arkin,Argo,Lester Siegel
2013,Jonah Hill,The Wolf of Wall Street,Donnie Azoff
2015,Sylvester Stallone,Creed,Rocky Balboa
2020/2021,Sacha Baron Cohen,The Trial of the Chicago 7,Abbie Hoffman
2022,Judd Hirsch,The Fabelmans,Boris Podgorny
2023,Robert Downey Jr.,Oppenheimer,Lewis Strauss
