col0,col1,col2
Gunaratnam Rajalingam,Athletics,Men's 100 metres
Gunaratnam Rajalingam,Athletics,Men's 200 metres
Victor Asirvatham,Athletics,Men's 400 metres
Ramasamy Subramaniam,Athletics,Men's 800 metres
Ramasamy Subramaniam,Athletics,Men's 1500 metres
Ramasamy Subramaniam,Athletics,Men's 5000 metres
Dilbagh Singh Kler,Athletics,Men's 3000 metres steeplechase
Andyappan Nathan,Athletics,Men's 400 metres hurdles
Zainal Salleh,Athletics,Men's high jump
Kamaruddin Maidin,Athletics,Men's long jump
Nashatar Singh Sidhu,Athletics,Men's shot put
Danapal Naidu,Athletics,Men's discus throw
Nashatar Singh Sidhu,Athletics,Men's javelin throw
,Athletics,Men's 4 × 400 metres relay
Cheryl Dorall,Athletics,Women's 100 metres
Mary Rajamani,Athletics,Women's 400 metres
Mary Rajamani,Athletics,Women's 800 metres
,Athletics,Women's 4 × 100 metres relay
Ng Boon Bee   Tan Yee Khan,Badminton,Men's doubles
Rosalind Singha Ang   Teoh Siew Yong,Badminton,Women's doubles
Yap Meng Soon,Weightlifting,Men's middle heavyweight
Zambrose Abdul Rahman,Athletics,Men's 400 metres hurdles
Shazar Amir,Athletics,Men's long jump
Kamaruddin Maidin,Athletics,Men's triple jump
M. Dattaya,Athletics,Men's discus throw
Ghenda Singh,Athletics,Men's hammer throw
Tien Teng Leng,Athletics,Men's javelin throw
J. V. Jayan,Athletics,Men's decathlon
Mary Rajamani,Athletics,Women's 200 metres
Chai Ng Mei,Athletics,Women's high jump
Rosalind Singha Ang,Badminton,Women's singles
Silvia Tan   Ho Cheng Yoke,Badminton,Women's doubles
Malaysia national basketball team,Basketball,Women's tournament
,Cycling,Men's 100 kilometre team time trial
Victor Lam,Diving,Men's springboard
,Sepak takraw,Men's tournament
,Shooting,Men's rifle three positions team
Chan Chee Seng,Swimming,Men's 1500 metres freestyle
Leong Wei Tat,Swimming,Men's 200 metres backstroke
Ong Lay Sinn,Swimming,Men's 100 metres breaststroke
Yek Bee Yong,Swimming,Men's 200 metres breaststroke
Foong Sek Seong   Lee Mun Chew,Table tennis,Men's doubles
Lim Hee Peng   Chong Siok Fong,Table tennis,Mixed doubles
,Table tennis,Women's team
,Tennis,Women's team
Malaysia national water polo team,Water polo,Men's tournament
Harbans Singh,Weightlifting,Men's heavyweight
Ishtiaq Mubarak,Athletics,Men's triple jump
Nashatar Singh Sidhu,Athletics,Men's hammer throw
Ooi Hock Kin   Gunaratnam Rajalingam   M. Ariffin   Zainuddin Wahab,Athletics,Men's 4 × 100 metres relay
Lee Nyeuk Moi,Athletics,Women's 400 metres
Vivien Ee,Athletics,Women's javelin throw
P. Savithri,Athletics,Women's discus throw
P. Savithri,Athletics,Women's pentathlon
Yew Cheng Hoe,Badminton,Men's singles
Billy Ng,Badminton,Men's singles
Yew Cheng Hoe   Khor Cheng Chye,Badminton,Men's doubles
Ng Boon Bee   Teh Siew Yong,Badminton,Mixed doubles
Lee Guan Chong   Yap Hei Lin,Badminton,Mixed doubles
Ng Joo Pong,Cycling,Men's 4000 metre individual pursuit
A. Michael   Choy Mow Thim   Low Poh Teck   Ng Joo Ngan,Cycling,Men's 4000 metre team pursuit
Low Poh Teck,Cycling,Men's 4800 metre massed start
Ng Joo Pong,Cycling,"Men's 10,000 metre massed start"
Choy Mow Thim,Cycling,Men's 1000 metre individual time trial
,Cycling,Men's 1000 metre team time trial
Ong Hock Seng,Diving,Men's high diving
C. B. Cheong,Diving,Men's high board
A. V. King,Diving,Women's springboard
Syed Mohamed   Sein Kyaing,Sailing,National Enterprise
Chang Kuo Hwa   Syed Mohd Yahya,Sailing,Flying Dutchman
Razali Lazim,Sailing,O. K. Dinghy
,Shooting,Men's free pistol
Leong Wei Tat,Swimming,Men's 100 metre backstroke
Lim Hee Peng,Table tennis,Men's singles
Chong Siok Fong,Table tennis,Women's singles
Chong Siok Fong   Fong Kwee Chin,Table tennis,Women's doubles
,Table tennis,Men's team
Lian Lai Yee,Tennis,Women's singles
Radhika Menon,Tennis,Women's singles
S. A. Azman   Radhika Menon,Tennis,Mixed doubles
Ng Chow Seng,Weightlifting,Men's lightweight
,Weightlifting,Men's flyweight
