col0,col1,col2
Republic of Argentina,Ciudad Autonoma de Buenos Aires,"Mahatma Gandhi Location on Google Maps of Mahatma Gandhi street in Buenos Aires (between Antezana, Ferrari) (accessed 15 December 2020)"
Belgium,Mechlin,Mahatma Gandhiwijk
Belgium,Gent,Mahatma Gandhistraat
Belgium,Molenbeek-Saint-Jean,Avenue Mahatma Gandhi/Mahatma Gandhilaan
Brazil,Rio de Janeiro city,Praça Mahatma Gandhi
Dominion of Canada,City of Winnipeg,Mahatma Gandhi Way
Croatia,Zagreb,Ulica Mahatme Gandhija
France,Courdimanche,Avenue Gandhi
France,Paris,Avenue du Mahatma Gandhi
Germany,Hanover,"Gandhi straße,"
Germany,Bremen,Gandhi Straße
Germany,Darmstadt,Mahatma-Gandhi-Straße
Germany,Düsseldorf,Mahatma-Gandhi-Straße
Germany,Bonn,Gandhi Straße
Germany,Stuttgart,Mahatma-Gandhi-Straße
Hungary,Dunaújváros,"Gandhi-Utca,"
Indonesia,Medan,Jalan Gandhi
Iran,Tehran,"North Gandhi, Tehran, Iran"
Iran,Tehran,"Gandhi Street, Tehran, Iran"
Italy,Milan,Via Mahatma Gandhi
Jamaica,Kingston,Gandhi Road
Jordan,Amman,"Mahatma Gandhi Street  

Kenya Nairobi   Gandhi Avenue.  Nairobi west. Near Langata road"
Mauritius,Goodlands,Gandhi Road
Mauritius,Roche Terre,S.I Gandhi Street
Mauritius,Beau Bassin-Rose Hill,M. Gandhi Street
Mauritius,Beau Bassin-Rose Hill,Mahatma Gandhi Lane
Mauritius,Quatre Bornes,Gandhi Avenue
Mauritius,Belle Rose,Gandhi Street
Mexico,Mexico City,Calzada Mahatma Gandhi
Mongolia,Ulaanbaatar,Mahatma Gandhi Street
Morocco,Casablanca,Boulevard Ghandi
Netherlands,Leiden,Gandhiburg
Netherlands,Utrecht,Gandhidreef
Netherlands,Delft,Gandhilaan
Netherlands,Leiden,Gandhistraat
Netherlands,Purmerend,Mahatma Gandhistraat
Netherlands,Rotterdam,Mahatma Gandhistraat
Netherlands,Culemborg,Gandhi
Netherlands,Zaandam,Gandhihof
Netherlands,Zeist,Gandhilaan
Netherlands,Stadskanaal,Gandhiplein
Netherlands,Maastricht,Gandhiplein
Netherlands,Zetten,Gandhistraat
Netherlands,Haarlem,Gandhistraat
Netherlands,Hengelo(O),Gandhistraat
Netherlands,Hoofddorp,Gandhistraat
Netherlands,Middelburg,Gandhistraat
Netherlands,Epe,Gandhiweg
Netherlands,Gouda,Gandhiweg
Netherlands,Amsterdam,M. Gandhilaan
Netherlands,Groningen,M. K. Gandhiplein
Netherlands,Heerhugowaard,Mahatma Gandhihof
Netherlands,Eindhoven,Mahatma Gandhilaan
Netherlands,Zoetermeer,Mahatma Gandhisingel
Netherlands,'s-Gravenhage,Mahatma Gandhistraat
Netherlands,Arnhem,Mahatma Gandhiweg
Netherlands,Assen,Mahatma Gandhiweg
Netherlands,Muntendam,Mahatma Gandhiweg
Philippines,Manila,"Mahatma Gandhi Street, Paco"
Poland,Warsaw,Mahatmy Gandhiego
Poland,Łódź,Mohandasa Gandhiego
Serbia,Blokovi,Gandijeva
South Africa,Durban,"Mahatma Gandhi Road, Durban"
South Africa,Johannesburg,Gandhi Square
Spain,Barcelona,Jardins de Gandhi
Sri Lanka,Jaffna,Mahathma Gandhi Road
Trinidad and Tobago,Debe,Gandhi Village Road
Trinidad and Tobago,San Fernando,Gandhi Street
Trinidad and Tobago,Saint Helena,Gandhi Street
Turkey,Ankara,Mahatma Gandhi Caddesi 76
Turkey,Ankara,Mahatma Gandhi Caddesi
United Kingdom,London,Gandhi Close
United Kingdom,Kingston upon Hull,Gandhi Way
United States,"Boulder, Colorado",Gandhi Drive
United States,"Davie, Florida",Gandhi Street
United States,"Crawfordsville, Indiana",Gandhi Street
United States,"Durham, North Carolina",Gandhi Drive
United States,"Fuquay-Varina, North Carolina",Gandhi Lane
United States,Houston,"Mahatma Gandhi District, Houston"
Uruguay,Montevideo,Rambla Mahatma Gandhi
