col0,col1,col2,col3,col4
Cheb,ČSSD,Miroslav Nenutil,STAN,Miroslav Plevný
Kolín,ČSSD,Emilie Třísková,STAN,Pavel Kárník
Vyškov,ČSSD,Ivo Bárek,STAN,Karel Zitterbart
Rychnov nad Kněžnou,ČSSD,Miroslav Antl,"Tradition, Responsibility, Prosperity",Jan Grulich
Znojmo,ČSSD,Pavel Štohl,Tradition Responsibility Prosperity,Tomáš Třetina
Karviná,ČSSD,Radek Sušil,ANO,Ondřej Feber
Strakonice,ČSSD,Karel Kratochvíle,ODS,Tomáš Fiala
Kladno,ČSSD,Jiří Dienstbier Jr.,Pirates,Adéla Šípová
Pelhřimov,ČSSD,Milan Štěch,Freedomites,Jaroslav Chalupský
Hradec Králové,ČSSD,Jaroslav Malý,HDK,Jan Holásek
Žďár nad Sázavou,KDU-ČSL,František Bradáč,KDU-ČSL,Josef Klement
Přerov,KDU-ČSL,Jitka Seitlová,KDU-ČSL,Jitka Seitlová
Prague 1,KDU-ČSL,Václav Hampl,ODS,Miroslava Němcová
Brno-City,KDU-ČSL,Zdeněk Papoušek,ODS,Roman Kraus
Olomouc,KDU-ČSL,Alena Šromová,STAN,Marek Ošťádal
Frýdek-Místek,KDU-ČSL,Jiří Carbol,STAN,Helena Pešatová
Prague 9,STAN,David Smoljak,STAN,David Smoljak
Děčín,STAN,Zbyněk Linhart,STAN,Zbyněk Linhart
Česká Lípa,SLK,Jiří Vosecký,SLK,Jiří Vosecký
Trutnov,STAN,Jan Sobotka,STAN,Jan Sobotka
Louny,ANO,Zdeňka Hamousová,STAN,Ivo Trešl
Ostrava-City,ANO,Peter Koliba,ODS,Ondřej Šimetka
Plzeň-City,ODS,Lumír Aschenbrenner,ODS,Lumír Aschenbrenner
Příbram,ODS,Jiří Burian,STAN,Petr Štěpánek
Prague 5,SEN 21,Václav Láska,SEN 21,Václav Láska
Zlín,SEN 21,Tomáš Goláň,SEN 21,Tomáš Goláň
Uherské Hradiště,Freeholders,Ivo Valenta,KDU-ČSL,Josef Bazala
