col0,col1,col2,col3
1990,Metropolitan,Whit Stillman,Whit Stillman
1990,House Party,Reginald Alan Hudlin,Warrington Hudlin
1990,Lightning Over Braddock BAM|Lightning Over Braddock,Tony Buba,Tony Buba
1990,The Natural History of Parking Lots,Everett Lewis,Aziz Ghazal
1990,Twister,Michael Almereyda,
1991,Straight Out of Brooklyn,Matty Rich,Matty Rich
1991,Chameleon Street,Wendell B. Harris Jr.,Wendell B. Harris Jr.
1991,Poison,Todd Haynes,Christine Vachon
1991,The Rapture,Michael Tolkin,"Karen Koch, Nancy Tenenbaum and Nick Wechsler"
1991,Slacker,Richard Linklater,Richard Linklater
1992,The Waterdance,Neal Jimenez and Michael Steinberg,"Gale Anne Hurd, Marie Cantin and Guy Riedel"
1992,Laws of Gravity,Nick Gomez,Bob Gosse and Larry Meistrich
1992,My New Gun,Stacy Cochran,Michael Flynn
1992,Reservoir Dogs,Quentin Tarantino,Lawrence Bender
1992,Swoon,Tom Kalin,Christine Vachon
1993,El Mariachi,Robert Rodriguez,Robert Rodriguez and Carlos Gallardo
1993,American Heart,Martin Bell,Jeff Bridges and Rosilyn Heller
1993,Combination Platter,Tony Chan,Tony Chan and Judy Moy
1993,Mac,John Turturro,Brenda Goodman and Nancy Tenenbaum
1993,Menace II Society,Allen and Albert Hughes,Darin Scott
1994,Spanking the Monkey,David O. Russell,Dean Silvers
1994,"Clean, Shaven",Lodge Kerrigan,Lodge Kerrigan
1994,Clerks,Kevin Smith,Kevin Smith and Scott Mosier
1994,I Like It Like That,Darnell Martin,Lane Janger
1994,Suture,David Siegel and Scott McGehee,"David Siegel, Scott McGehee, and Michele Petin"
1995,The Brothers McMullen,Edward Burns,Dick Fisher
1995,Kids,Larry Clark,Cary Woods
1995,Little Odessa,James Gray,Paul Webster
1995,Picture Bride,Kayo Hatta,Diane Mei Lin Mark and Lisa Onodera
1995,River of Grass,Kelly Reichardt,Jesse Hartman
1996,Sling Blade,Billy Bob Thornton,David L. Bushell and Brandon Rosser
1996,Big Night,Campbell Scott and Stanley Tucci,Jonathan Filley
1996,I Shot Andy Warhol,Mary Harron,Tom Kalin and Christine Vachon
1996,Manny & Lo,Lisa Krueger,Marlen Hecht and Dean Silvers
1996,Trees Lounge,Steve Buscemi,Chris Hanley and Brad Wyman
1997,Eve's Bayou,Kasi Lemmons,Caldecot Chubb and Samuel L. Jackson
1997,The Bible and Gun Club,Daniel J. Harris The Bible and Gun Club - Variety,Daniel J. Harris The Bible and Gun Club - Variety
1997,Hard Eight,Paul Thomas Anderson,Robert Jones and John S. Lyons
1997,In the Company of Men,Neil LaBute,Mark Archer and Stephen Pevner
1997,Star Maps,Miguel Arteta,Matthew Greenfield
1998,The Opposite of Sex,Don Roos,David Kirkpatrick and Michael Besman
1998,Buffalo '66,Vincent Gallo,Chris Hanley
1998,High Art,Lisa Cholodenko,"Dolly Hall, Jeffrey Levy-Hinte and Susan A. Stover"
1998,,Darren Aronofsky,Eric Watson
1998,Slums of Beverly Hills,Tamara Jenkins,Michael Nozik and Stan Wlodkowski
1999,Being John Malkovich,Spike Jonze,"Michael Stipe, Sandy Stern, Steve Golin and Vincent Landay"
1999,Boys Don't Cry,Kimberly Peirce,"Jeffrey Sharp, John Hart, Eva Kolodner and Christine Vachon"
1999,Three Seasons,Tony Bui,Jason Kliot and Joana Vicente
1999,Twin Falls Idaho,Michael Polish,"Marshall Persinger, Rena Ronson and Steven J. Wolfe"
1999,Xiu Xiu: The Sent Down Girl,Joan Chen,Joan Chen and Wai-Chung Chan
