col0,col1,col2,col3
"October 16, 2017",Philadelphia,United States,Union Transfer
"October 19, 2017",Balt.,United States,Soundstage
"October 21, 2017",Silver Spring,the United States,The Fillmore Silver Spring
"October 22, 2017",Atlanta,United States,The Masquerade
"October 24, 2017",Houston,United States,Warehouse Live
"October 25, 2017",Dallas,United States,RBC
"October 26, 2017",Austin,the U.S.,Grizzly Hall
"October 30, 2017",San Diego,United States,The Stage Room
"October 31, 2017",Los Angeles,United States,The Fonda Theatre
"November 1, 2017",Los Angeles,United States,The Fonda Theatre
"November 2, 2017",Las Vegas,United States,Vinyl
"November 4, 2017",Santa Cruz,United States,The Catalyst
"November 5, 2017",Santa Ana,United States,The Observatory
"November 7, 2017",Oakland,United States,The New Parish
"November 8, 2017",Sacramento,the U.S. of A,Harlow's
"November 10, 2017",Seattle,United States,Crocodile Cafe
"November 11, 2017",Victoria,Canada,Capital Ballroom
"November 12, 2017",Vancouver,Canada,Vogue Theatre
"November 13, 2017",Vancouver,Canada,Vogue Theatre
"November 15, 2017",Calgary,Canada,Palace Theatre
"November 16, 2017",Edmonton,Canada,Union Hall
"November 19, 2017",Detroit,United States,El Club
"November 20, 2017",Chicago,United States,Reggie's Rock Club
"November 22, 2017",New York City,United States,Music Hall of Williamsburg
"November 24, 2017",New York City,United States,Highline Ballroom
"November 25, 2017",Montreal,Canada,Théâtre Corona
"November 26, 2017",Ottawa,Canada,Algonquin Commons Theatre
"December 16, 2017",Toronto,Canada,Danforth Music Hall
"December 17, 2017",Toronto,Canada,Danforth Music Hall
"December 18, 2017",Toronto,Canada,Danforth Music Hall
"December 19, 2017",Toronto,Canada,Danforth Music Hall
"December 20, 2017",Toronto,Canada,Danforth Music Hall
"Europe Sources for tour dates in Europe:
*
*","Europe Sources for tour dates in Europe:
*
*","Europe Sources for tour dates in Europe:
*
*","Europe Sources for tour dates in Europe:
*
*"
"January 30, 2018",Cologne,Germany,Luxor
"January 31, 2018",Paris,France,Club Yoyo
"February 2, 2018",Manchester,England,Manchester Academy 2
"February 3, 2018",Birmingham,England,O 2  Institute
"February 5, 2018",London,England,KOKO
"February 6, 2018",London,England,KOKO
"February 8, 2018",Stockholm,Sweden,Debaser
"February 10, 2018",Copenhagen,Denmark,DR Koncerthuset 2
"February 11, 2018",Berlin,Germany,Lido
"February 13, 2018",Amsterdam,Netherlands,Melkweg
Asia,Asia,Asia,Asia
"March 3, 2018",Jakarta,Indonesia,Jakarta International Expo
"March 7, 2018",Seoul,South Korea,Yes24 Live Hall
"March 10, 2018",Muntinlupa,Philippines,Filinvest City Event Grounds
"March 12, 2018",Outram,Singapore,The Pavilion
"March 13, 2018",Outram,Singapore,The Pavilion
"March 14, 2018",Outram,Singapore,The Pavilion
Australasia,Australasia,Australasia,Australasia
"March 16, 2018",Auckland,New Zealand,Festival Playground Music Arena
"March 17, 2018",Brisbane,Australia,256 Wickham
"March 18, 2018",Sydney,Australia,Enmore Theatre
"March 20, 2018",Melbourne,Australia,Forum Theatre
