col0,col1,col2
1936,not assigned,Nini von Arx-Zogg
1937,not assigned,Elvira Osirnig
1938,not assigned,Christl Cranz
1939,not assigned,Erna Steuri
1940,not assigned,Nini von Arx-Zogg
1941,not assigned,Verena Fuchs
1942,not assigned,Verena Fuchs
1943,Fritz Kaufmann,Hedy Schlunegger
1944,Otto von Allmen,Erika Paroni-Gasche
1945,Karl Molitor,Antoinette Meyer
1946,Karl Molitor,Hedy Schlunegger
1947,Fernand Grosjean,Hedy Schlunegger
1948,Karl Molitor,Lina Mittner
1949,Rudolf Graf,Rosmarie Bleuer
1950,Alfred Rombaldi,Trina Vetsch-Steiner
1951,Fred Rubi,Olivia Ausoni
1952,René Rey,Ida Schöpfer
1953,Fred Rubi,Ida Schöpfer
1954,Georges Schneider,Ida Schöpfer
1955,Hans Forrer,Ruth Fridlin
1956,not assigned,not assigned
1957,Roland Bläsi,Margrit Gertsch
1958,Roger Staub,Frieda Dänzer
1959,Roger Staub,Annemarie Waser
1960,Roger Staub,Annemarie Waser
1961,not assigned,not assigned
1962,Willi Forrer,Theres Obrecht
1963,Jos Minsch,Sylvia Zimmermann
1964,Stefan Kälin,Theres Obrecht
1965,Edmund Bruggmann,Hiltbrand
1966,Edmund Bruggmann,Theres Obrecht
1967,Willy Favre,Hiltbrand
1968,Dumeng Giovanoli,Fernande Bochatay
1969,Dumeng Giovanoli,Fernande Bochatay
1970,Dumeng Giovanoli,Michèle Rubli
1971,Bernhard Russi,Bernadette Zurbriggen
1972,Walter Tresch,Bernadette Zurbriggen
1973,Willi Frommelt,Bernadette Zurbriggen
1974,Walter Tresch,Lise-Marie Morerod
1975,Willi Frommelt,Bernadette Zurbriggen
1976,Peter Lüscher,Marianne Jäger
1977,Andreas Wenzel,Lise-Marie Morerod
1978,Jean-Luc Fournier,Bernadette Zurbriggen
1979,Jacques Lüthy,Erika Hess
1980,Christian Welschen,Marlies Wittenwiler
1981,Thomas Bürgler,Erika Hess
1982,Peter Müller,Brigitte Oertli
1983,Thomas Bürgler,Brigitte Gadient
1984,Thomas Bürgler,Brigitte Oertli
1985,Thomas Bürgler,Maria Walliser
1986,Gustav Oehrli,Maria Walliser
1987,Paul Accola,Maria Walliser
1988,Hans Pieren,Sandra Burn
1989,Pirmin Zurbriggen,Marlis Spescha
1990,Xavier Gigandet,Sandra Reymond
1991,Paul Accola,Manuela Heubi
1992,Patrick Staub,Heidi Zurbriggen
1993,Paul Accola,Laura Schelbert
1994,Paul Accola,Marlies Oester
1995,Bruno Kernen,Sandra Reymond
1996,Paul Accola,Corinne Rey-Bellet
1997,Paul Accola,Catherine Borghi
1998,Paul Accola,Sylviane Berthod
1999,Paul Accola,Marlies Oester
2000,Marco Büchel,Tamara Schädler
2001,Paul Accola,Ella Alpiger
2002,not assigned,not assigned
2003,Daniel Albrecht,Fränzi Aufdenblatten
2004,Daniel Albrecht,Eliane Volken
2005,Stéphane de Siebenthal,Marianne Abderhalden
2006,Marc Berthod,Andrea Dettling
2007,Dimitri Cuche,Aline Bonjour
2008,Marc Gini,not assigned
2009,Silvan Zurbriggen,Jessica Pünchera
2010,Justin Murisier,Nadja Kamer
2011,Beat Feuz,Marianne Abderhalden
2012,Luca Aerni,Wendy Holdener
2013,not assigned,not assigned
2014,Sandro Viletta,Wendy Holdener
2015,Loïc Meillard,Denise Feierabend
2016,Loïc Meillard,Rahel Kopp
2017,Luca Aerni,Wendy Holdener
2018,Sandro Simonet,Vivianne Härri
2019,Sandro Simonet,Priska Nufer
