col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2007,RS Competições,Bora,INT,CTB,Autodromo Internacional Orlando Moura,INT,Autodromo Internacional Ayrton Senna,Autodromo Internacional de Santa Cruz do Sul,Autodromo Internacional de Curitiba,BSB,ARG,TAR,Autodromo Internacional Nelson Piquet,INT,40th,1
2008,K-Med Racing,Peugeot 307,SAO,Autodromo de Brasilia,CTB,Autodromo Internacional de Santa Cruz do Sul,CGD,SAO,RIO,Autodromo Internacional Ayrton Senna,CTB,BSB,TAR,SAO,31st,8
2009,Amir Nasr Racing,Peugeot 307,SAO,Autodromo Internacional de Curitiba,BSB,SCZ,SAO,SAL,Autodromo Internacional Nelson Piquet,Autodromo Internacional de Campo Grande,CTB,Autódromo de Brasília,TAR,SAO,15th,51
2010,Massageol-Hot Car,Chevrolet Vectra,SAO,Autodromo Internacional de Curitiba,VEL,RIO,RBP,São Salvador da Bahia de Todos os Santos,SAO,CGD,LON,Autodromo Internacional de Santa Cruz do Sul,Autodromo de Brasilia,Autodromo Internacional de Curitiba,23rd,31
2011,Amir Nasr Racing,Peugeot 408,Autodromo Internacional de Curitiba,SAO,RBP,VEL,CGD,RIO,,,,,,,26th,6
2011,Scuderia 111,Peugeot 408,,,,,,,SAO,Bahia,SCS,LON,BSB,VEL,26th,6
2012,Comprafacil Nascar JF,Peugeot 408,INT,CTB,VEL,RBP,LON,Autodromo Internacional Nelson Piquet,SAL,CGD,TAR,CUR,BRA,INT,15th,81
2014,Prati-Donaduzzi,Peugeot 408,INT   1,SCZ   1,Autodromo Internacional de Santa Cruz do Sul,BRA   1,BRA   2,Autodromo Internacional Ayrton Senna,GOI   2,Autodromo Internacional Ayrton Senna,CAS   1,CAS   2,Autodromo Internacional de Curitiba,CUR   2,9th,158.5
2015,Prati-Donaduzzi,Peugeot 408,GOI   1,RBP   1,RBP   2,VEL   1,VEL   2,CUR   1,CUR   2,SCZ   1,SCZ   2,Autodromo Internacional de Curitiba,CUR   2,GOI   1,18th,97
2016,Voxx Racing,Peugeot 408,CUR   1,VEL   1,VEL   2,Autodromo Internacional Ayrton Senna,GOI   2,SCZ   1,Autodromo Internacional de Santa Cruz do Sul,TAR   1,TAR   2,Autodromo Internacional de Cascavel,CAS   2,INT   1,NC,0
2017,RX Mattheis Motorsport,Chevrolet Cruze,GOI   1,Autodromo Internacional Ayrton Senna,VEL   1,VEL   2,SCZ   1,Autodromo Internacional de Santa Cruz do Sul,Autodromo Internacional de Cascavel,CAS   2,CUR   1,CRI   1,CRI   2,VCA   1,16th,126
2018,RX Mattheis Motorsport,Chevrolet Cruze,INT   1,Autodromo Internacional de Curitiba,CUR   2,VEL   1,VEL   2,LON   1,LON   2,SCZ   1,Autodromo Internacional de Santa Cruz do Sul,GOI   1,MOU   1,Autodromo Internacional Orlando Moura,21st,44
