col0,col1,col2,col3
1960,Angry Silence,Guy Green,United Kingdom
1960,I'm All Right Jack,John and Roy Boulting,United Kingdom
1960,General Della Rovere,Roberto Gastone Zeffiro Rossellini,Italy
1960,Hiroshima Mon Amour,Alain Resnais,France
1960,The World of Apu,Satyajit Ray,India
1961,The Bridge,Bernhard Wicki,West Germany
1961,La Dolce Vita,Federico Fellini,Italy
1961,Two Women,Vittorio De Sica,Italy
1961,Saturday Night and Sunday Morning,Karel Reisz,United Kingdom
1961,A Summer to Remember,Igor Talankin and Georgiy Daneliya,Soviet Union
1962,Barabbas,Richard Fleischer,Italy
1962,Divorce Italian Style,Pietro Germi,Italy
1962,Through a Glass Darkly,Ingmar Bergman,Sweden
1962,The Naked Island,Kaneto Shindo,Japan
1962,Sundays and Cybele,Serge Bourguignon,France
1963,Winter Light,Ingmar Bergman,Sweden
1963,Any Number Can Win,Henri Verneuil,France
1963,8½,Federico Fellini,Italy
1963,The Four Days of Naples,Nanni Loy,Italy
1963,The Leopard,Luchino Visconti,Italy
1964,Anatomy of a Marriage,André Cayatte,France
1964,World Without Sun,Jacques-Yves Cousteau,France
1964,The Organizer,Mario Monicelli,Italy
1964,Seduced and Abandoned,Pietro Germi,Italy
1964,"Yesterday, Today and Tomorrow",Vittorio De Sica,Italy
1965,La Bohème,Franco Zeffirelli,West Germany
1965,Gertrud,Carl Theodor Dreyer,Denmark
1965,Juliet of the Spirits,Federico Fellini,Italy
1965,La Tía Tula,Miguel Picazo,Spain
1965,The Overcoat,Aleksey Batalov,Soviet Union
1966,The Gospel According to St. Matthew,Pier Paolo Pasolini,Italy
1966,A Man and a Woman,Claude Lelouch,France
1966,The Shameless Old Lady,René Allio,France
1966,The Sleeping Car Murders,Costa-Gavras,France
1966,Hamlet,Grigori Kozintsev and Iosif Shapiro,Soviet Union
1967,Africa Addio,Gualtiero Jacopetti and Franco Prosperi,Italy
1967,Elvira Madigan,Bo Widerberg,Sweden
1967,Persona,Ingmar Bergman,Sweden
1967,The Great British Train Robbery,John Olden and Claus Peter Witt,West Germany
1967,The Hunt,Carlos Saura,Spain
1968,Hagbard and Signe,Gabriel Axel,"Denmark, Sweden, Iceland"
1968,The Bride Wore Black,François Truffaut,France
1968,The Two of Us,Claude Berri,France
1968,Hunger,Henning Carlsen,"Denmark, Norway, Sweden"
1968,War and Peace,Sergei Bondarchuk,Soviet Union
1969,Ådalen 31,Bo Widerberg,Sweden
1969,Shame,Ingmar Bergman,Sweden
1969,The Damned,Luchino Visconti,Italy
1969,La Femme Infidèle,Claude Chabrol,France
1969,Stolen Kisses,François Truffaut,France
