col0,col1,col2
William Owens,Conservative,Argenteuil
Joseph-Ena Girouard,Liberal,Arthabaska
Milton McDonald,Conservative,Bagot
Jean Blanchet,Conservative,Beauce
Élie-Hercule Bisson,Parti liberal du Quebec,Beauharnois
Adélard Turgeon,Liberal,Bellechasse
Cuthbert-Alphonse Chenevert,Liberal,Berthier
Honoré Mercier,Quebec Liberal Party,Bonaventure
Rufus Nelson England,Conservative,Brome
Antoine Rocheleau,Liberal,Chambly
Pierre Grenier,Conservative,Champlain
Joseph Morin,Quebec Liberal Party,Charlevoix
Joseph-Émery Robidoux,Parti liberal du Quebec,Châteauguay
,Onésime Côté,Parti National
John McIntosh,Conservative,Compton
Benjamin Beauchamp,Conservative Independent,Deux-Montagnes
Louis-Philippe Pelletier,Conservative,Dorchester
William John Watts,Liberal,Drummond
Achille-Ferdinand Carrier,Liberal,Gaspé
Joseph-Octave Villeneuve,Conservative,Hochelaga
Alexander Cameron,Parti liberal du Quebec,Huntingdon
François Gosselin,Parti liberal du Quebec,Iberville
François-Gilbert Miville Dechêne,Liberal,Islet
Arthur Boyer,Liberal,Jacques Cartier
Louis Basinet,PLQ,Joliette
Charles-Alfred Desjardins,Conservative,Kamouraska
Pierre-Léandre Marcotte,Parti liberal du Quebec,Lac St-Jean
,Georges Duhamel,Parti national
Joseph Marion,Conservative,L'Assomption
Pierre-Évariste Leblanc,Conservative,Laval
François-Xavier Lemieux,Liberal,Lévis
Édouard-Hippolyte Laliberté,Liberal,Lotbinière
Joseph Lessard,Conservative,Maskinongé
Louis-Félix Pinault,Parti liberal du Quebec,Matane
Andrew Stuart Johnson,Conservative,Mégantic
Elijah Edmund Spencer,Conservative,Missisquoi
Joseph-Alcide Martin,Conservative,Montcalm
Nazaire Bernatchez,Parti liberal du Quebec,Montmagny
Charles Langelier,Parti liberal du Quebec,Montmorency
Joseph Béland,Parti ouvrier,Montréal division no. 1
Joseph Brunet,Parti liberal du Quebec,Montréal division no. 2
Henri-Benjamin Rainville,Liberal,Montréal division no. 3
William C. Clendinneng,Conservative,Montréal division no. 4
John Smythe Hall,Conservative,Montréal division no. 5
James McShane,Liberal,Montréal division no. 6
Louis Sainte-Marie,Conservative,Napierville
,Joseph-Victor Monfette,Parti national
Alfred Rochon,Liberal,Ottawa
William Joseph Poupore,Conservative,Pontiac
Jules Tessier,Liberal,Portneuf
Charles Fitzpatrick,Liberal,Québec-Comté
Rémi-Ferdinand Rinfret dit Malouin,Liberal,Québec-Centre
Joseph Shehyn,Liberal,Québec-Est
Owen Murphy,Quebec Liberal Party,Québec-Ouest
Louis-Pierre-Paul Cardin,Liberal,Richelieu
Joseph Bédard,Conservative,Richmond
Auguste Tessier,Parti liberal du Quebec,Rimouski
Alfred Girard,Liberal,Rouville
Odilon Desmarais,Liberal,St. Hyacinthe
Félix-Gabriel Marchand,Liberal,St. Jean
Nérée Duplessis,Conservative,St. Maurice
Simon-Napoléon Parent,Liberal,St. Sauveur
Tancrède Boucher de Grosbois,Liberal,Shefford
Joseph Gibb Robertson,Conservative,Sherbrooke
,Avila-Gonzague Bourbonnais,Parti national
Moodie Brock Lovell,Parti liberal du Quebec,Stanstead
Charles-Eugène Pouliot,Liberal,Témiscouata
Guillaume-Alphonse Nantel,Conservative,Terrebonne
Télesphore-Eusèbe Normand,Conservative,Trois-Rivières
"Émery Lalonde, Jr.",Liberal,Vaudreuil
Albert-Alexandre Lussier,Quebec Liberal Party,Verchères
Jacques Picard,Conservative,Wolfe
Victor Gladu,Quebec Liberal Party,Yamaska
