col0,col1
Larbi Lazhari,"Algiers, Algeria"
Murray Chessell,"Melbourne, Victoria"
Georgi Mirtchev Adamov,Sofija
Rumen Gabrovski,"Haskovo, Bulgaria"
Bozhidar Ivanov,"Ruse, Bulgaria"
Raycho Khristov,"Haskovo, Bulgaria"
Ivan Kondev,"Sliven, Bulgaria"
Stefan Zoev,Sofija
Barry Brooker,"Toronto, Ontario"
Roger Dion,"Quebec City, Quebec"
Sid Jensen,"Halifax, Nova Scotia"
Gilbert Larose,"Montreal, Quebec"
Steve Mitruk,"Hamilton, Ontario"
Cheng Fu,"Chinchiang, Taiwan"
Lai Chu-Long,"Changhua, Taiwan"
Luis Navarrete,"Havana, Cuba"
Roberto Pumpido,"Havana, Cuba"
Héctor Ramírez,"Havana, Cuba"
Luis Ramírez,"Havana, Cuba"
Jorge Rodríguez,"Havana, Cuba"
Octavio Suárez,"Havana, Cuba"
František Bočko,"Veľké Čaníkovce, Czechoslovakia"
Jiří Fejtek,"Prague, Czechoslovakia"
Václav Kubička,"Písek, Czechoslovakia"
Bohumil Mudřík,"Zlín, Czechoslovakia"
Miloslav Netušil,"Chomutov, Czechoslovakia"
Václav Skoumal,"Zlín, Czechoslovakia"
Hans Peter Nielsen,"Esbjerg, Denmark"
Arne Thomsen,"Esbjerg, Denmark"
Günter Beier,"Altenburg, Germany"
Matthias Brehme,"Markkleeberg, East Germany"
Gerhard Dietrich,"Brandenburg an der Havel, East Germany"
Siegfried Fülle,"Greiz, East Germany"
Klaus Köste,"Frankfurt an der Oder, East Germany"
Peter Weber,"Finsterwalde, East Germany"
Sergio Luna,"San Gabriel, Ecuador"
Eduardo Nájera,"Quito, Ecuador"
Pedro Rendón,"Guayaquil, Ecuador"
Reino Heino,"Tampere, Finland"
Olli Laiho,"Savonlinna, Finland"
Mauno Nissinen,"Oulu, Finland"
Juhani Rahikainen,"Mikkeli, Finland"
Hannu Rantakari,"Tampere, Finland"
Heikki Sappinen,"Turku, Finland"
Michel Bouchonnet,"Reuilly, France"
Christian Deuza,"Boulogne-sur-Mer, France"
Christian Guiffroy,"Toulouse, France"
Michael Booth,"Huddersfield, England"
Stan Wild,"Bolton upon Dearne, England"
István Aranyos,"Budapest, Hungary"
Dezső Bordán,"Eger, Hungary"
Béla Herczeg,"Debrecen, Hungary"
Sándor Kiss,"Tura, Hungary"
Konrád Mentsik,"Budapest, Hungary"
Endre Tihanyi,"Budapest, Hungary"
Giovanni Carminucci,"San Benedetto del Tronto, Italy"
Pasquale Carminucci,"San Benedetto del Tronto, Italy"
Luigi Cimnaghi,"Meda, Italy"
Bruno Franceschetti,"Minerbe, Italy"
Franco Menichelli,"Rome, Italy"
Vincenzo Mori,"Taranto, Italy"
Yukio Endō,"Akita, Japan"
Sawao Katō,"Gosen, Japan"
Takeshi Katō,"Aichi Prefecture, Japan"
Eizo Kenmotsu,"Okayama Prefecture, Japan"
Akinori Nakayama,"Nagoya, Japan"
Mitsuo Tsukahara,"Tokyo, Japan"
Enrique García,"Chihuahua, Mexico"
José González,"Tlaxcala, Mexico"
Rogelio Mendoza,"Mexico City, Mexico"
Armando Valles,"Mexico City, Mexico"
Fernando Valles,"Mexico City, Mexico"
José Vilchis,"Mexico City, Mexico"
Zagdbazaryn Davaanyam,"Ulaanbaatar, Mongolia"
Ernesto Beren,"Manila, Philippines"
Norman Henson,"Arayat, Philippines"
Andrzej Gonera,"Toruń, Poland"
Jerzy Kruża,"Ruda Śląska, Poland"
Mikołaj Kubica,"Niedobczyce, Poland"
Sylwester Kubica,"Niedobczyce, Poland"
Wilhelm Kubica,"Niedobczyce, Poland"
Aleksander Rokosa,"Brzeziny, Poland"
José Filipe Abreu,"Lisbon, Portugal"
Kim Chung-tae,"Seoul, South Korea"
Sergey Diomidov,"Turtkul, Uzbek SSR"
Valery Ilyinykh,"Nobosibirsk, Russian SFSR"
Valery Karasyov,"Moscow, Russian SFSR"
Viktor Klimenko,"Moscow, Russian SFSR"
Viktor Lisitsky,"Magnitogorsk, Russian SFSR"
Mikhail Voronin,"Moscow, Russian SFSR"
Finn Johannesson,"Copenhagen, Denmark"
Christer Jönsson,"Helsingborg, Sweden"
Evert Lindgren,"Gothenburg, Sweden"
Meinrad Berchtold,"Baden, Switzerland"
Hans Ettlin,"Kerns, Switzerland"
Edwin Greutmann,"Beggingen, Switzerland"
Roland Hürzeler,"Uerkheim, Switzerland"
Paul Müller,"Udligenswil, Switzerland"
Peter Rohner,"St. Gallen, Switzerland"
Kanati Allen,"Los Angeles, California"
Steve Cohen,"Philadelphia, Pennsylvania"
Sid Freudenstein,"New Orleans, Louisiana"
Steve Hug,"Highland, Illinois"
Fred Roethlisberger,"Milwaukee, Wisconsin"
Dave Thor,"Van Nuys, California"
Heinz Häussler,"Lindau, West Germany"
Erich Hess,"Mannheim, West Germany"
Hermann Höpfner,"Bad Dürkheim, West Germany"
Willi Jaschek,"Olomouc, Czechoslovakia"
Heiko Reinemer,"Bierstadt, West Germany"
Helmut Tepasse,"Essen, West Germany"
Damir Anić,"Zagreb, Yugoslavia"
Janez Brodnik,"Golnik, Yugoslavia"
Miroslav Cerar,"Ljubljana, Yugoslavia"
Milenko Kersnić,"Ljubljana, Yugoslavia"
Martin Šrot,"Celje, Yugoslavia"
Miloš Vratič,"Ljubljana, Yugoslavia"
