col0,col1
Moshe Arens,Likud
Yoram Aridor,Likud
Menachem Begin,Likud (politická strana)
Eliyahu Ben-Elissar,Likud Party
Yitzhak Berman,Likud
Meir Cohen-Avidov,Likud
Yigal Cohen-Orgad,Likud
Yigal Cohen,Likud
Haim Corfu,Likud
Michael Dekel,Likud
Sarah Doron,Likud
Simha Erlich,Likud (politická strana)
Miriam Glazer-Ta'asa,Likud
Pinhas Goldstein,Likud-National Liberal Movement
Pesach Grupper,Likud
Moshe Katsav,Likud
Haim Kaufman,Likud
Eliezer Kulas,Consolidation
David Levy,Likud
Amnon Linn,Likud (politická strana)
Eitan Livni,Likud-National Liberal Movement
David Magen,Likud
Ya'akov Meridor,Likud
Roni Milo,Likud
Yitzhak Moday,Consolidation
Amal Nasser el-Din,Likud
Moshe Nissim,Consolidation
Akiva Nof,Likud Party
Ehud Olmert,Likud (politická strana)
Gideon Patt,Likud
Yehuda Perah,Likud
Yitzhak Peretz,Consolidation
Michael Reisser,Likud
Zvi Rener,Likud Party
Yosef Rom,Likud
Menachem Savidor,Consolidation
Yitzhak Seyger,Likud
Benny Shalita,Likud
Yitzhak Shamir,Likud
Avraham Sharir,Likud
Ariel Sharon,Likud
Meir Sheetrit,Likud
David Shiffman,Likud-National Liberal Movement
Dov Shilansky,Likud
Eliezer Shostak,Consolidation
Dan Tichon,Likud Party
Dror Zeigerman,Likud
Mordechai Tzipori,Likud
Jacques Amir,Alignment
Adiel Amorai,Alignment
Nava Arad,Alignment
Shoshana Arbeli-Almozlino,Alignment
Haim Bar-Lev,Alignment
Michael Bar-Zohar,Alignment
Uzi Baram,Alignment
Dov Ben-Meir,Alignment
Naftali Blumenthal,Alignment
Abba Eban,Alignment
Rafael Edri,Alignment
Tamar Eshel,Alignment
Naftali Feder,Alignment
Ya'akov Gil,Alignment
Elazar Granot,Alignment
Mordechai Gur,Alignment
Menachem Hacohen,Alignment
Aharon Harel,Alignment
Moshe Harif,Alignment
Michael Harish,Alignment
Yehuda Hashai,Alignment
Chaim Herzog,Alignment
Shlomo Hillel,Alignment
Avraham Katz-Oz,Alignment
Hamad Khalaily,Alignment
Yeruham Meshel,Alignment
Aharon Nahmias,Alignment
Ra'anan Naim,Alignment
Ora Namir,Alignment
Aryeh Nehemkin,Alignment
Shimon Peres,Alignment
Yitzhak Rabin,Alignment
Emri Ron,Alignment
Daniel Rosolio,Alignment
Yossi Sarid,Alignment
Uri Sebag,Alignment
Moshe Shahal,Alignment
Victor Shem-Tov,Alignment
Eliyahu Speiser,Alignment
Rafael Suissa,Alignment
Yair Tsaban,Alignment
Ya'akov Tzur,Alignment
Muhammed Wattad,Alignment
Shevah Weiss,Alignment
Gad Yaacobi,Alignment
Yehezkel Zakai,Alignment
Dov Zakin,Alignment
Eliezer Avtabi,National Religious Party
Yehuda Ben-Meir,National Religious Party
Yosef Burg,National Religious Party
Haim Drukman,National Religious Party
Zevulun Hammer,National Religious Party
Avraham Melamed,National Religious Party
Shmuel Halpert,Agudat Yisrael
Shlomo Lorincz,Agudat Yisrael
Menachem Porush,Agudat Yisrael
Avraham Yosef Shapira,Agudat Yisrael
Charlie Biton,Hadash
Tawfik Toubi,Hadash
Meir Vilner,Hadash
Tawfiq Ziad,Hadash
Geula Cohen,Tehiya
Yuval Ne'eman,Tehiya
Hanan Porat,Tehiya
Aharon Abuhatzira,Tami
Ben-Zion Rubin,Tami
Aharon Uzan,Tami
Moshe Dayan,Telem
Mordechai Ben-Porat,Telem
Amnon Rubinstein,Shinui
Mordechai Virshubski,Shinui
Shulamit Aloni,Ratz
