col0,col1
Fabrizio Bucci,List
Alberto Cutillo,List
Cristiano Gallo,List
Fabrizio Lucentini,List
Alfonso Di Riso,List
Paolo Crudele,List
Claudio Taffuri,List
Enrico Nunziata,List
Paola Amadei,List
Mario Giorgio Stefano Baldi,List
Federica Favi,List
Francesco Tafuri,List
Marco Di Ruzza,List
Alessandro Cortese,List
Giuseppina Zarra,List
Andrea Romussi,List
Filippo Scammacca del Murgo,List
Valeria Biagiotti,List
vacant,List
Gherardo Amaduzzi,List
Alberto Colella,List
Pierfrancesco Sacco,List
Roberto Vellano,List
federica Ferrari Bravo,List
Mauro Marsili,List
Alberto Petrangeli,List
Stefania Rosini,List
Stefano Queirolo Palmas,List
Caterina Bertolini,List
Edoardo Pucci,List
Marco Mancini,List
Daniele Rampazzo,List
Agostino Palese,List
Sergio Pagano,List
Emanuela D'Alessandro,List
Gabriele Di Muzio,List
Enrico Valvo,List
Armando Varricchio,List
Daniela D’Orlandi,List
Patrizia Falcinelli,List
Paolo De Nicolò,List
Stefano Pontesilli,List
"Embassy closed on December 31, 2014.",List
Francesco Di Nitto,List
Manuel Jacoangeli,List
Vincenzo de Luca,List
Benedetto Latteri,List
Maurizio Greganti,List
Ruggero Corrias,List
Sergio Barbanti,List
Arturo Luzzi,List
Gianluigi Benedetti,List
Luciano Pezzotti,List
Marco Alberti,List
Roberto Natali,List
Antonello De Riu,List
Carlo Baldocci,List
Alessandro Monti,List
Nicoletta Bombardiere,List
Giuseppe Maria Buccino Grimaldi,List
Diego Ungaro,List
Massimo Rustico,List
Damiano Francovigh,List
Fabrizio Romano,List
Lorenzo Tomassoni,List
Giulio Alaimo,List
Laura Bottà,List
Andreina Marsella,List
Armando Barucco,List
Gianni Bardini,List
Nicolò Tassoni Estense,List
Giorgio Novello,List
Francesco Calogero,List
Simone De Santi,List
Emilia Gatto,List
Stefano De Leo,List
Andrea Silvestri,List
Pierluigi D'Elia,List
Stefano Baldi,List
Andreas Ferrarese,List
Fabrizio Nicoletti,List
Marcello Fondi,List
Giancarlo Maria Curcio,List
Marco Clemente,List
Carlo Formosa,List
Paolo Toschi,List
Luigi Diodati,List
Alfredo Maria Durante Mangoni,List
Giorgio Starace,List
Sergio Mercuri,List
Roberto Cantone,List
Giovanni Umberto De Vito,List
Luca Gori,List
Mario Andrea Vattani,List
Catherine Flumiani,List
Carlo Campanile,List
Alberto Vecchi,List
Paolo Cuculi,List
Federico Failla,List
Rita Giuliana Mannella,List
Michele Tommasi,List
Vinicio Mati,List
Diplomatic relations are currently suspended,List
Marco Lombardi,List
Paolo Dionisi,List
Fabrizio Saggio,List
Luigi Ferrari,List
Massimiliano Mazzanti,List
Pier Francesco Zazo,List
Lorenzo Fanara,List
Inigo Lambertini,List
Bruno Archi,List
Mariangela Zappia,List
Giovanni Battista Iannuzzi,List
Agostino Pinna,List
Placido Vigo,List
Antonio Alessandro,List
Andrea Barbalonga,List
Enrico De Agostini,List
Umberto Malnati,List
