col0,col1
Likud Party,Ariel Sharon
Likud Party,Binyamin Netanyahu
Likud,Tzachi Hanegbi
Likud-National Liberal Movement,Silvan Shalom
Likud,Dan Naveh
Likud,Limor Livnat
Likud,Yisrael Katz
Likud Party,Gideon Ezra
Likud,Naomi Blumenthal
Likud Party,Uzi Landau
Likud,Gila Gamliel
Likud,Yuval Steinitz
Consolidation,Tzipi Livni
Consolidation,Michael Eitan
Likud (politická strana),Meir Sheetrit
Likud,David Levy
Likud,Ruhama Avraham
Likud,Gideon Sa'ar
Likud,Daniel Benlulu
Consolidation,Michael Ratzon
Likud,Majalli Wahabi
Likud (politická strana),Yaakov Edri
Likud,Ehud Yatom
Likud (politická strana),Eli Aflalo
Likud,Moshe Kahlon
Likud Party,Omri Sharon
Likud,Michael Gorlovsky
Likud,Inbal Gavrieli
Likud Party,Gilad Erdan
Likud,Roni Bar-On
Likud,Yehiel Hazan
Likud,Ehud Olmert
Likud (politická strana),Leah Ness
Likud-National Liberal Movement,Ze'ev Boim
Likud Party,Avraham Hirschson
Consolidation,Reuven Rivlin
Likud (politická strana),Haim Katz
Likud,Ayoob Kara
Labor Party-Meimad,Amram Mitzna
Labor Party-Meimad,Binyamin Ben-Eliezer
Labor Party-Meimad,Shimon Peres
Labor Party-Meimad,Matan Vilnai
Labor Party-Meimad,Avraham Burg
Labor Party-Meimad,Dalia Itzik
Labor Party-Meimad,Ophir Pines-Paz
Labor Party-Meimad,Efraim Sneh
Labor Party-Meimad,Yuli Tamir
Labor Party-Meimad,Michael Melchior
Labor Party-Meimad,Isaac Herzog
Labor Party-Meimad,Haim Ramon
Labor Party-Meimad,Danny Yatom
Labor Party-Meimad,Eitan Cabel
Labor Party-Meimad,Avraham Shochat
Labor Party-Meimad,Colette Avital
Labor Party-Meimad,Shalom Simhon
Labor Party-Meimad,Orit Noked
Labor Party-Meimad,Eli Ben-Menachem
Shinui,Tommy Lapid
Shinui,Avraham Poraz
Shinui,Yehudit Naot
Shinui,Yosef Paritzky
Shinui,Eliezer Sandberg
Shinui,Victor Brailovsky
Shinui,Ilan Shalgi
Shinui,Meli Polishook-Bloch
Shinui,Reshef Hen
Shinui,Roni Brizon
Shinui,Ehud Rassabi
Shinui,Eti Livni
Shinui,Ilan Leibovitch
Shinui,Hemi Doron
Shinui,Yigal Yasinov
Shas,Eli Yishai
Shas,Shlomo Benizri
Shas,Nissim Dahan
Shas,Amnon Cohen
Shas,Yitzhak Cohen
Shas,David Azulai
Shas,Meshulam Nahari
Shas,Yitzhak Vaknin
Shas,Yair Peretz
Shas,Nissim Ze'ev
Shas,Ya'akov Margi
National Union,Avigdor Lieberman
National Union,Binyamin Elon
National Union,Yuri Stern
National Union,Zvi Hendel
National Union,Michael Nudelman
National Union,Uri Ariel
National Union,Aryeh Eldad
Meretz-Yachad,Yossi Sarid
Meretz-Yachad,Haim Oron
Meretz-Yachad,Ran Cohen
Meretz-Yachad,Zehava Gal-On
Meretz-Yachad,Roman Bronfman
Meretz-Yachad,Avshalom Vilan
National Religious Party,Effi Eitam
National Religious Party,Zevulun Orlev
National Religious Party,Shaul Yahalom
National Religious Party,Yitzhak Levy
National Religious Party,Nissan Slomiansky
United Torah Judaism,Ya'akov Litzman
United Torah Judaism,Avraham Ravitz
United Torah Judaism,Meir Porush
United Torah Judaism,Moshe Gafni
United Torah Judaism,Yisrael Eichler
Hadash,Mohammad Barakeh
Hadash,Issam Makhoul
Hadash,Ahmad Tibi
One Nation,Amir Peretz
One Nation,Ilana Cohen
One Nation,David Tal
Balad,Azmi Bishara
Balad,Jamal Zahalka
Balad,Wasil Taha
Yisrael BaAliyah,Marina Solodkin
Yisrael BaAliyah,Yuli-Yoel Edelstein
United Arab List,Taleb el-Sana
