col0,col1,col2
"Over  the years, the Club has been host to over 1,000 prominent leaders and figures  on the national and international stage.

A partial listing from their honor roll of  speakers follows:","Over  the years, the Club has been host to over 1,000 prominent leaders and figures  on the national and international stage.

A partial listing from their honor roll of  speakers follows:","Over  the years, the Club has been host to over 1,000 prominent leaders and figures  on the national and international stage.

A partial listing from their honor roll of  speakers follows:"
Abdullah II ibn al-Hussein,Dag Hjalmar Agne Carl Hammarskjöld,George A. Papandreou
Dean Acheson,Mr Hammond,George Pataki
Giovanni Agnelli,Stephen Harper,Henry M. Paulson Jr.
Corazon C. Aquino,W. Averell Harriman,Peter G. Peterson
Sheila C. Bair,William Randolph Hearst,General (Ret) David H. Petraeus
"James A. Baker, III",Felipe Calderon Hinojosa,Harvey L. Pitt
Steve Ballmer,Reid Hoffman,Karl Otto Pohl
Menachem Begin,Herbert C. Hoover,Ruth Porat
Lloyd Bentsen,Charles Evans Hughes,Ian Read
Ben S. Bernanke,Edward L. Hyman,Ronald Reagan
Jeff Bezos,Jeffrey R. Immelt,Donald Regan
Lloyd Blankfein,Robert Kaplan,Walter P. Reuther
Alan S. Blinder,Margaret Keane,Condoleezza Rice
Michael R. Bloomberg,Anthony M. Kennedy,Elliot L. Richardson
Roger Blough,John F. Kennedy,Edward V. Rickenbacker
John A. Boehner,Robert F. Kennedy,David Rockefeller
Clare Boothe,Nikita S. Khrushchev,"John D. Rockefeller, III"
Erskine Bowles,Mervyn A. King,Nelson Rockefeller
Bill Bradley,Jeanne J. Kirkpatrick,Ginni Rometty
Lael Brainard,Henry Kissinger,Eric S. Rosengren
Louis D. Brandeis,Edward I. Koch,Wilbur L. Ross Jr.
William Jennings Bryan,Lawrence Kudlow,Robert E. Rubin
Zbigniew Brzezinski,Christine Lagarde,David M. Rubenstein
James L. Buckley,Fiorello H. LaGuardia,Dean Rusk
Warren E. Burger,Melvin Laird,Paul Ryan
George H.W. Bush,Arthur Levitt,Anwar Sadat
George W. Bush,Jacob J. Lew,Carlos Salinas de Gortari
Nicholas Murray Butler,Walter Lippman,Paul Sarbanes
Michel Camdessus,Li Keqiang,Antonin Scalia
Fernando Henrique Cardoso,Henry R. Luce,Mary L. Schapiro
Andrew Carnegie,Jack Ma,Eric Schmidt
Mark J. Carney,John Major,Dan Schulman
Robert J. Carr,David Malpass,Brent Scowcroft
Jimmy Carter,Paul Martin,William W. Scranton
Stephen Case,William McChesney Martin Jr.,Yitzhak Shamir
William J. Casey,Larry Merlo,Masaaki Shirakawa
Richard B. Cheney,William G. McAdoo,George Shultz
Brian Chesky,John McCain,Ben Silbermann
Jacques Chirac,William J. McDonough,Adam Silver
Jean Chretien,Doug McMillon,Alan Simpson
Winston Churchill,Robert S. McNamara,Alfred P. Sloan Jr.
Mark Clark,Anastas Mikoyan,Jan Smets
Lucius D. Clay,G. William Miller,John W. Snow
William Colby,Francois Mitterrand,John W. Snyder
John B. Connally,Walter Mondale,Gene B. Sperling
Felipe Calderon,Henry Morgenthau,Herbert Stein
Jay Clayton,Daniel Patrick Moynihan,George M. Steinbrenner
Hillary Clinton,"Robert S. Mueller, III",Randall Stephenson
Charlie Cook,Brian Mulroney,Robert S. Strauss
Michael Corbat,Edmund S. Muskie,Lawrence H. Summers
Francesco Cossigna,Richard B. Myers,William H. Taft
Christopher Cox,Satya Nadella,John A. Thain
Mario Cuomo,Richard E. Neal,U Thant
Carlos Salinas de Gortari,B.K. Nehru,Margaret Thatcher
Douglas Dillon,Adam Neumann,Peter Thiel
Jamie Dimon,Enrique Peña Nieto,Craig Thompson
Barry Diller,Richard Nixon,Hans Tietmeyer
Elizabeth Dole,Paul H. O'Neill,Juan T. Trippe
Valdis Dombrovskis,Thomas P. Tip O'Neill Jr.,Jean-Claude Trichet
Robert J. Dole,Michael Oxley,Pierre Elliott Trudeau
William H. Donaldson,,Justin P.J. Trudeau
Alec Douglas-Home,,Donald Trump
Mario Draghi,,C. H. Tung
William C. Dudley,,Stansfield Turner
Willem F. Duisenberg,,Peter V. Uberroth
John Foster Dulles,,Paul A. Volcker
Dwight D. Eisenhower,,Caspar Weinberger
Ludwig Erhard,,Mary Jo White
David Farr,,Christine Todd Whitman
Martin S. Feldstein,,John C. Williams
Gerald R. Ford,,Wendell L. Willkie
Henry H. Fowler,,Harold Wilson
Stuart Fraser,,Woodrow Wilson
Kenneth C. Frazier,,James D. Wolfensohn
J. William Fulbright,,Janet L. Yellen
Indira Gandhi,,Lee Kuan Yew
Gao Xiqing,,Ernesto Zedillo
Timothy F. Geithner,,Zhu Rongji
