col0,col1,col2,col3,col4
2010,Zachary Knight Galifianakis,The Hangover,Alan Garner,Note: Click on the 'Winners' tab.
2010,Sandra Bullock,Proposal,Margaret Tate,Note: Click on the 'Winners' tab.
2010,Bradley Charles Cooper,The Hangover,Phil Wenneck,Note: Click on the 'Winners' tab.
2010,Ryan Reynolds,Proposal,Andrew Paxton,Note: Click on the 'Winners' tab.
2010,Ben Stiller,Night at the Museum: Battle of the Smithsonian,Larry Daley,Note: Click on the 'Winners' tab.
2011,Emma Stone,Easy A,Olive Penderghast,Note: Click on the 'Winners' tab.
2011,Russell Brand,Get Him to the Greek,Aldous Snow,Note: Click on the 'Winners' tab.
2011,Will Forte,MacGruber,MacGruber,Note: Click on the 'Winners' tab.
2011,Zach Galifianakis,Due Date,Ethan Tremblay / Ethan Chase,Note: Click on the 'Winners' tab.
2011,Ashton Kutcher,No Strings Attached,Adam Franklin,Note: Click on the 'Winners' tab.
2011,Adam Sandler,Just Go with It,Danny Maccabee,Note: Click on the 'Winners' tab.
2012,Melissa McCarthy,Bridesmaids,Megan Price,Note: Click on the 'Winners' tab.
2012,Jonah Hill,21 Jump Street,Morton Schmidt,Note: Click on the 'Winners' tab.
2012,Kristen Wiig,Bridesmaids,Annie Walker,Note: Click on the 'Winners' tab.
2012,Oliver Cooper,Project X,Costa,Note: Click on the 'Winners' tab.
2012,Zach Galifianakis,The Hangover Part II,Alan Garner,Note: Click on the 'Winners' tab.
2014,Jonah Hill,The Wolf of Wall Street,Donnie Azoff,Note: Click on the 'Winners' tab.
2014,Jason Sudeikis,We're the Millers,David Clark,Note: Click on the 'Winners' tab.
2014,Johnny Knoxville,Jackass Presents: Bad Grandpa,Irving Zisman,Note: Click on the 'Winners' tab.
2014,Kevin Hart,Ride Along,Ben Barber,Note: Click on the 'Winners' tab.
2014,Melissa McCarthy,The Heat,Shannon Mullins,Note: Click on the 'Winners' tab.
2014,Simon Pegg,The World's End,Gary King,Note: Click on the 'Winners' tab.
2015,Channing Tatum,22 Jump Street,Greg Jenko,Note: Click on the 'Winners' tab.
2015,Chris Pratt,Guardians of the Galaxy,Peter Quill / Star-Lord,Note: Click on the 'Winners' tab.
2015,Chris Rock,Top Five,Andre Allen,Note: Click on the 'Winners' tab.
2015,Kevin Hart,The Wedding Ringer,Jimmy Callahan,Note: Click on the 'Winners' tab.
2015,Rose Byrne,Neighbors,Kelly Radner,Note: Click on the 'Winners' tab.
2016,Golfian,Deadpool,Wade Wilson / Deadpool,
2016,Amy Schumer,Trainwreck,Amy Townsend,
2016,Kevin Hart,Ride Along 2,Ben Barber,
2016,Melissa McCarthy,Spy,Susan Cooper,
2016,Rebel Wilson,Pitch Perfect 2,Fat Amy,
2016,Will Ferrell,Get Hard,James King,
2017,Lil Rel Howery,Get Out,Rod Williams,
2017,Will Arnett,The Lego Batman Movie,Batman,
2017,Adam DeVine,Workaholics,Adam Dwayne DeMamp,
2017,"Ilana Glazer, Abbi Jacobson",Broad City,"Ilana Wexler, & Abbi Abrams",
2017,Seth Rogen,Sausage Party,Frank the Sausage,
2017,Seth MacFarlane,Family Guy,"Peter Griffin, Stewie Griffin, Brian Griffin, Glenn Quagmire, Tom Tucker, Carter Pewterschmidt, Dr. Elmer Hartman, Seamus, Kevin Swanson, Jesus, others",
2018,Tiffany Haddish,Girls Trip,Dina,
2018,Jack Black,Jumanji: Welcome to the Jungle,Sheldon Shelly Oberon,
2018,Dan Levy,Schitt's Creek,David Rose,
2018,Kate McKinnon,"Saturday Night Live, Rough Night, The Magic School Bus Rides Again","Various, Pippa, Miss Fiona Felicity Frizzle",
2018,Amy Schumer,I Feel Pretty,Renee Bennett,
2019,Dan Levy,Schitt's Creek,David Rose,
2019,Awkwafina,Crazy Rich Asians,Goh Peik Lin,
2019,Marsai Martin,Little,Jordan Sanders,
2019,John Mulaney,Big Mouth,Andrew Glouberman,
2019,Zachary Levi,Shazam!,Shazam,
