col0,col1,col2,col3
The Elephant Man,David Lynch,Jonathan Sanger,the United States of America
Being There,William Hal Ashby,Andrew Braunsberg,United States
"Kagemusha (影武者, Kagemusha)",Akira Kurosawa,Akira Kurosawa,Japan
Kramer vs. Kramer,Robert Benton,Stanley R. Jaffe,the USA
Chariots of Fire,Hugh Hudson,David Puttnam,United Kingdom
Atlantic City,Louis Malle,"Denis Héroux, John Kemeny",France   Canada   United States
The French Lieutenant's Woman,Karel Reisz,Leon Clore,United Kingdom
Gregory's Girl,Bill Forsyth,"Davina Belling, Clive Parsons",United Kingdom
Raiders of the Lost Ark,Steven Spielberg,Frank Marshall,USA
Gandhi,Richard Attenborough,Richard Attenborough,United Kingdom   India
E.T. the Extra-Terrestrial,Steven Spielberg,"Kathleen Kennedy, Steven Spielberg",United States
Missing,Costa Gavras,"Edward Lewis, Mildred Lewis",United States
On Golden Pond,Mark Rydell,Bruce Gilbert,United States
Educating Rita,Lewis Gilbert,Lewis Gilbert,United Kingdom
Heat and Dust,James Ivory,Ismail Merchant,United Kingdom
Local Hero,Bill Forsyth,David Puttnam,United Kingdom
Tootsie,Sydney Pollack,"Sydney Pollack, Dick Richards",United States
The Killing Fields,Roland Joffé,David Puttnam,United Kingdom
The Dresser,Peter Yates,"Ronald Harwood, Peter Yates",United Kingdom
"Paris, Texas",Wim Wenders,"Anatole Dauman, Don Guest",West Germany   France
A Private Function,Malcolm Mowbray,Mark Shivas,United Kingdom
The Purple Rose of Cairo,Woody Allen,"Robert Greenhut, Woody Allen",United States
Amadeus,Miloš Forman,"Saul Zaentz, Miloš Forman",United States
Back to the Future,Robert Zemeckis,"Neil Canton, Bob Gale, Robert Zemeckis",US of America
A Passage to India,David Lean,"John Brabourne, Richard B. Goodwin, David Lean",United Kingdom
Witness,Peter Weir,"Edward S. Feldman, Peter Weir",United States
A Room with a View,James Ivory,"Ismail Merchant, James Ivory",United Kingdom
Hannah and Her Sisters,Woody Allen,"Robert Greenhut, Woody Allen",United States
The Mission,Roland Joffé,"Fernando Ghia, David Puttnam, Roland Joffé",United Kingdom
Mona Lisa,Neil Jordan,"Patrick Cassavetti, Stephen Woolley, Neil Jordan",United Kingdom
Jean de Florette,Claude Berri,Claude Berri,France   Switzerland   Italy
Cry Freedom,Richard Attenborough,Richard Attenborough,United Kingdom
Hope and Glory,John Boorman,John Boorman,United Kingdom
Radio Days,Woody Allen,Robert Greenhut,United States
The Last Emperor (L'ultimo imperatore),Bernardo Bertolucci,"Jeremy Thomas, Bernardo Bertolucci",United Kingdom   Italy   China
Au revoir les enfants,Louis Malle,Louis Malle,France   West Germany
Babette's Feast,Gabriel Axel,"Just Betzer, Bo Christensen",Denmark
A Fish Called Wanda,Charles Crichton,Michael Shamberg,United Kingdom   United States
Dead Poets Society,Peter Weir,"Steven Haft, Paul Junger Witt, Tony Thomas",United States
My Left Foot,Jim Sheridan,Noel Pearson,Ireland
Shirley Valentine,Lewis Gilbert,Lewis Gilbert,United Kingdom
When Harry Met Sally...,Rob Reiner,"Rob Reiner, Andrew Scheinman",United States
