col0,col1,col2,col3
Albania,Albania,"Gules, a two-headed eagle Sable; in chief the helmet of Skanderbeg or.",state emblem of Albania
Andorra,Principality of the Valleys of Andorra,"Quarterly: I Gules, a bishop's mitre or lined Argent (for La Seu d'Urgell); II Or, three pales Gules (for Foix); III or, four pallets Gules (for the Crown of Aragon); IV or, two cows passant per pale Gules (for Béarn).",Coat of arms of Andorra
Armenia,Armenia,"Four symbols of Armenian dynasties (Artashesian, Arshakunian, Bagratuni, and Rubinian); In the center of a shield is a depiction of Mount Ararat with Noah's Ark sitting atop it.",Coat of arms of Armenia
Austria,Austria,"Gules a fess Argent, escutcheon on the breast of an eagle displayed Sable, langued Gules, beaked or, crowned with a mural crown of three visible merlons or, armed or, dexter talon holding sickle, sinister talon holding hammer, both talons shackled with chain broken Argent.",Coat of arms of Austria
Azerbaijan,Azerbaijan,Fire with stalk of wheat and oak on escutcheon.,National emblem of Azerbaijan
Belarus,Belarus,"Globe, rising sun and an outline of Belarus in Or.",National emblem of Belarus
Belgium,Belgium,"Sable, a lion rampant or, armed and langued gules.",Coat of arms of Belgium
Bosnia and Herzegovina,Bosnia and Herzegovina,"Per bend enhanced or and azure, a bend of mullets palewise argent.",Coat of arms of Bosnia and Herzegovina
Bulgaria,Bulgaria,"Gules, a crowned lion rampant or.",Coat of arms of Bulgaria
Croatia,Croatia,Chequy gules and argent.,Coat of arms of Croatia
Czech Republic,Czech Republic,"Quarterly:  1 and 4 Gules, a lion rampant queue fourché in saltire argent armed, langued and crowned or (for Bohemia); 2 Azure, an eagle Chequy gules and argent armed, beaked, langued and crowned or (for Moravia); 3 or, an eagle Sable charged with a crescent trefly Argent ending in crosses armed, beaked and langued gules crowned or (for Silesia).",Coat of arms of the Czech Republic
Cyprus,Cyprus,"Or (specified to be copper-yellow), a dove rising proper, in its beak argent an olive branch proper vert.",Coat of arms of Cyprus
Denmark,Denmark,"Or, three lions passant in pale Azure crowned and armed or langued Gules, nine hearts Gules.",Coat of arms of Denmark
Estonia,Estonia,"Or, three lions passant guardant azure.",Coat of arms of Estonia
Finland,Finland,"Gules, a crowned lion rampant or striking a sword Argent on armoured dexter arm, trampling on a sabre Argent; surmounted by nine roses Argent.",Coat of arms of Finland
France,France,"A shield at the corners of the head of a lion and an eagle with the monogram RF, standing for . A shield is placed on a fasces with crossed laurel branch and an oak branch, all or.",Coat of arms of France
Georgia,Georgia,"Gules, with an image of Saint George, riding a horse trampling upon a crawling dragon, whose head is pierced by the saint's spear, all of them Argent.",Coat of arms of Georgia
Germany,Germany,"Or, an eagle sable, armed, beaked and langued gules.",Coat of arms of Germany
Greece,Greece,"Azure, a Cross Argent.",National emblem of Greece
Hungary,Hungary,"Per pale: 1 barry of eight Gules and Argent; 2 Gules, on a mount Vert a crown or, issuant therefrom a double cross Argent.",Coat of arms of Hungary
Iceland,Iceland,"Azure, a cross gules fimbriated argent.",Coat of arms of Iceland
Ireland,Ireland,"Azure, a harp or stringed argent.",Coat of arms of Ireland
Italy,Italy,"The Stella d’Italia, which is the oldest national symbol of Italy, since it dates back to ancient Greece,   supported by branches of olive and oak. The cogwheel surrounding the star refers to Article 1 of the Constitution of the Italian Republic, which states: Italy is a democratic republic, built on labour.",Emblem of Italy
Kazakhstan,Kazakhstan,"A Sky-blue yurt with a yellow pentagonal star in the top, Shanyrak in the centre-half, two tulpars in the right and left, and motto of Kazakhstan in the bottom.",Emblem of Kazakhstan
Latvia,Latvia,At left: A red lion rampant sinister against a silver background (for Kurzeme and Zemgale); At right: A silver griffon rampant with a silver sword in its right paw against a red background (for Vidzeme and Latgale); At top:  A golden rising sun against a blue background.,Coat of arms of Latvia
Liechtenstein,Liechtenstein,"Quarterly: 1 or, an Eagle displayed Sable crowned and armed or, charged with a crescent trefly Argent ending in crosses (for Silesia); 2 Barry of eight or and Sable charged with crancelin Vert (for the Kuenring family of Saxony); 3 Per pale Gules and Argent (for the Duchy of Troppau); (4) or, a maiden eagle displayed Sable the human part Argent crowned and armed or (for the Cirksena family of East Frisia). In base: Azure, a Hunting Horn stringed or (for the Duchy of Jägerndorf). An Escutcheon per fess or and Gules.",Coat of arms of Liechtenstein
Lithuania,Lithuania,"Gules, an armoured knight armed cap-à-pie mounted on a horse salient holding in his dexter hand a sword Argent above his head. A shield Azure hangs on the sinister shoulder charged with a double cross (Cross of Jagiellonian dynasty) or. The horse saddles, straps, and belts Azure. The hilt of the sword, and the fastening of the sheath, the stirrups, the curb bits of the bridle, the horseshoes, as well as the decoration of the harness, all or.",Coat of arms of Lithuania
Luxembourg,Luxembourg,"Barry of ten Argent and Azure, a lion rampant queue fourché in Saltire (with tail forked and crossed) Gules crowned, armed and langued or.",Coat of arms of Luxembourg
North Macedonia,North Macedonia,"Two curved garlands of sheaves of wheat, tobacco leaves and opium poppy fruits, tied by a ribbon decorated with embroidery of traditional Macedonian folk motifs. In the centre a mountain, a lake and a sunrise.",National emblem of North Macedonia
Malta,Malta,"Per pale Argent and Gules, a representation of George Cross Argent fimbriated Gules in Dexter Chief.",Coat of arms of Malta
Moldova,Moldova,"Party per fess, Gules and Azure; an aurochs, an eight-pointed star, a rose, and a crescent moon, all or.",Coat of arms of Moldova
Monaco,Monaco,Fusily (lozengy) argent and gules.,Coat of arms of Monaco
Montenegro,Montenegro,"Azure, a base Vert, a lion passant or armed and langued Gules; a bordure or.",Coat of arms of Montenegro
Netherlands,Netherlands,"Azure, billetty or, a lion with a coronet or armed and langued Gules holding in his dexter paw a sword Argent hilted or and in the sinister paw seven arrows Argent pointed and bound together or.",Coat of arms of the Netherlands
Norway,Norway,"Gules, a lion rampant or, crowned and bearing an axe with blade argent.",Coat of arms of Norway
Poland,Poland,"Gules, an eagle argent armed, crowned and beaked or, langued argent.",Coat of arms of Poland
Portugal,Portugal,"Argent, five Escutcheons Azure, each charged with five Bezants or, crosswise; a bordure Gules charged with seven Castles or, all surmounting an armillary sphere or.",Coat of arms of Portugal
Romania,Romania,"Quarterly: 1 Azure, an Eagle displayed or, beaked and taloned Gules, holding in its beak an Orthodox cross or, between in dexter chief a Sun in splendour and in sinister chief an Increscent, both or (for Wallachia); 2 a Bull's head caboshed Sable, between in dexter base a Rose and in sinister base a decrescent, both Argent, between the Bull's horns, a Mullet of five points or (for Moldavia); 3 Gules, issuant from water in base proper, a Lion rampant or, holding in its dexter paw a Sabre Argent, hilted or, behind a Bridge of two arches embattled or, masoned Sable (for Banat and Oltenia); 4 Per fess Azure, a Demi-Eagle Sable between in dexter chief a Sun in splendour or and in sinister chief a Decrescent Argent; and or, seven Castles Gules, a Barrulet Gules (for Transylvania); Entree en point, two Dolphins urinant respectant or (for Dobruja).",Coat of arms of Romania
Russia,Russia,"Gules, a two-headed eagle each head imperially crowned holding in its dexter talon a sceptre and in its sinister talon a globus cruciger and ensigned with an imperial crown all or. An Inescutcheon Gules, a representation of Saint George upon horseback argent slaying a dragon or.",Coat of arms of Russia
San Marino,San Marino,Azure on three mountain tops vert three towers argent masoned and windowed sable each weather vaned with an ostrich plume argent.,Coat of arms of San Marino
Serbia,Serbia,"Gules, a two-headed eagle Argent armed or, two fleurs-de-lys or. Overall an escutcheon Gules, a St. George's cross Argent between four firesteels Argent (Serbian cross).",Coat of arms of Serbia
Slovakia,Slovakia,"Gules, on a mount Azure, issuant therefrom a double cross Argent.",Coat of arms of Slovakia
Slovenia,Slovenia,"A representation of Mount Triglav in white on a blue background, with two blue bending lines below and three gold stars above.",Coat of arms of Slovenia
Spain,Spain,"Quarterly: 1 Gules, a three towered castle or, masoned sable and ajouré azure (for Castile); 2 Argent, a lion rampant purpure (for León); 3 or, four pallets gules (for Aragon); 4 Gules, a cross, saltire and orle of chains linked together or, a centre point vert (for Navarre); En point: Argent, a pomegranate proper seeded gules, supported, sculpted and leafed in two leaves vert (for Granada); Inescutcheon: Azure bordure gules, three fleur-de-lis or (for the House of Bourbon).",Coat of arms of Spain
Sweden,Sweden,"Quarterly: 1 and 4 Azure, three coronets or, placed two above one (the Three Crowns); 2 and 3 Three sinisterbendwise streams argent, a lion crowned with an open crown or armed gules (for the House of Bjelbo).  Inescutcheon party per pale Bendwise azure, argent and gules, a vasa or (for the House of Vasa); and Azure, issuant from a wavy base a bridge with three arches and two towers embattled argent, in honor point an eagle regardant with wings inverted resting on thunderbolts or, and in chief the Big Dipper constellation of the same (for the House of Bernadotte).",Coat of arms of Sweden
Switzerland,Switzerland,"Gules, a Cross couped Argent.",Coat of arms of Switzerland
Turkey,Turkey,A crescent and mullet gules,National emblem of Turkey
Ukraine,Ukraine,"Azure, a Tryzub (trident) or.",Coat of arms of Ukraine
