col0,col1,col2
People's Socialist Republic of Albania,Tirana,Tirana International Airport Nënë Tereza
Algeria,Algiers,Algiers International Airport
Argentina,Buenos Aires,Ministro Pistarini International Airport
BEL,Brussels,Brussels Airport
Brazil,Rio de Janeiro,Rio de Janeiro/Galeão International Airport
Brazil,São Paulo,São Paulo/Guarulhos International Airport
Bulgaria,Sofia,Sofia Airport
Canada,Toronto,Toronto Pearson International Airport
Croatia,Split,Split Airport
Egypt,Cairo,Cairo International Airport
Egypt,Hurghada,Hurghada International Airport
Egypt,Sharm El Sheikh,Sharm El Sheikh International Airport
France,Nice,Nice Côte d'Azur Airport
France,Paris,Charles de Gaulle Airport
France,Paris,Orly Airport
Germany,Düsseldorf,Düsseldorf Airport
Germany,Frankfurt,Frankfurt Airport
Germany,Hamburg,Hamburg Airport
Germany,Munich,Munich Airport
Germany,Rostock,Rostock-Laage Airport
Germany,Stuttgart,Stuttgart Airport
Ghana,Accra,Kotoka International Airport
Greece,Athens,Athens International Airport
Greece,Corfu,Corfu International Airport
Greece,Heraklion,Heraklion International Airport
Greece,Kefalonia,Kefalonia International Airport
Greece,Rhodes,Rhodes International Airport
Greece,Thessaloniki,Thessaloniki Airport
India,New Delhi,Indira Gandhi International Airport
Israel,Tel Aviv,Ben Gurion Airport
Italy,Alghero,Alghero-Fertilia Airport
Italy,Brindisi,Brindisi Airport
Italy,Bologna,Bologna Guglielmo Marconi Airport
Italy,Bari,Bari Karol Wojtyła Airport
Italy,Cagliari,Cagliari Elmas Airport
Italy,Catania,Catania-Fontanarossa Airport
Italy,Florence,Florence Airport
Italy,Genoa,Genoa Cristoforo Colombo Airport
Italy,Lamezia Terme,Lamezia Terme International Airport
Italy,Lampedusa,Lampedusa Airport
Italy,Milan,Linate Airport
Italy,Milan,Milan Malpensa Airport
Italy,Naples,Naples International Airport
Italy,Olbia,Olbia Costa Smeralda Airport
Italy,Palermo,Palermo Airport
Italy,Pantelleria,Pantelleria Airport
Italy,Pescara,Abruzzo Airport
Italy,Reggio Calabria,Reggio Calabria Airport
Italy,Rome,Rome Fiumicino Airport
Italy,Trieste,Trieste Airport
Italy,Turin,Turin Airport
Italy,Venice,Venice Marco Polo Airport
Italy,Verona,Verona Villafranca Airport
Japan,Tokyo,Haneda Airport
Luxembourg,Luxembourg City,Luxembourg Airport
Maldives,Malé,Velana International Airport
Malta,Valletta,Malta International Airport
Martinique,Fort-de-France,Martinique Aimé Césaire International Airport
Netherlands,Amsterdam,Amsterdam Airport Schiphol
Saudi Arabia,Jeddah,King Abdulaziz International Airport
Saudi Arabia,Riyadh,King Khalid International Airport
Senegal,Dakar,Blaise Diagne International Airport
Spain,Barcelona,Josep Tarradellas Barcelona-El Prat Airport
Spain,Ibiza,Ibiza Airport
Spain,Madrid,Adolfo Suárez Madrid-Barajas Airport
Spain,Menorca,Menorca Airport
Spain,Palma de Mallorca,Palma de Mallorca Airport
Switzerland,Geneva,Geneva Airport
Switzerland,Zürich,Zurich Airport
Thailand,Bangkok,Suvarnabhumi Airport
Tunisia,Tunis,Tunis-Carthage International Airport
United Arab Emirates,Dubai,Dubai International Airport
United Kingdom,London,Gatwick Airport
United Kingdom,London,Heathrow Airport
United Kingdom,London,London City Airport
United States,Boston,Logan International Airport
United States,Chicago,O'Hare International Airport
United States,Los Angeles,Los Angeles International Airport
United States,Miami,Miami International Airport
United States,New York City,John F. Kennedy International Airport
United States,San Francisco,San Francisco International Airport
United States,"Washington, D.C.",Dulles International Airport
