col0,col1,col2
Windsor,Conservative,2005
Eastbourne,Conservatives,2019
Wycombe,Conservative,"General election, 2010"
Mole Valley,Conservative,1997
Reigate,Independent,1997 general election
Worthing West,Conservative,"United Kingdom general election, 1997"
Winchester,Conservative,"United Kingdom general election, 2010"
Aylesbury,Conservative Party (Great Britain) -- Elections,2019
Lewes,Conservative,2015
Gillingham and Rainham,Conservative,"United Kingdom general election, 2010"
Tunbridge Wells,Conservative Party (Great Britain) -- Elections,2005
Folkestone and Hythe,Conservative,2010
Witney,Conservative,2016 by-election
East Surrey,Conservative,2019
Chatham and Aylesford,Conservative,2010 UK general election
Mid Sussex,Conservative Party (Great Britain) -- Records and correspondence,2019
Slough,Labour,2017
Gosport,Conservative,2010 general election
Aldershot,Conservative,2017
Oxford East,Labour Co-op,2017
Meon Valley,Conservative Party (UK),2019
Canterbury,Labour,2017
Dover,Labour,2019
Milton Keynes North,Conservative,2019
Newbury,Conservative Party (UK),2019
Fareham,Conservative Party (Great Britain) -- Elections,2015
North Thanet,Conservative,1983
Wealden,Conservatives,2015
Bognor Regis and Littlehampton,Conservative,1997 general election
Chesham and Amersham,1992,None
Surrey Heath,UK Conservative Party,2005 general election
Maidstone and The Weald,British Conservative Party,2010
Epsom and Ewell,Conservative Party (Great Britain) -- Elections,2001
Ashford,Conservative,"General election, 1997"
Chesham and Amersham,2021 by-election,None
Arundel and South Downs,Tories,2019
Hastings and Rye,Conservative,2019
Sittingbourne and Sheppey,Conservatives,2010
East Hampshire,Conservative,2010
Gravesham,Conservative,"General election, 2005"
Eastleigh,Conservative,2019
Henley,Conservative,2008 by-election
South West Surrey,Conservative,2005
North East Hampshire,Conservative,2015
Dartford,Conservative Party (UK),2010
Wantage,Conservative Party (Great Britain) -- Records and correspondence,2019
Chichester,Conservative,2017
Spelthorne,Conservative Party (UK),2010
Hove,Labour,2015
New Forest East,1997,None
Woking,Conservative and Unionist Party,"UK general election, 2010"
East Worthing and Shoreham,British Conservative Party,"General election, 1997"
Brighton Pavilion,Green,"United Kingdom general election, 2010"
South Thanet,Conservative Party (UK),2015
Havant,Conservative,2015
North West Hampshire,British Conservative Party,2015
Maidenhead,Conservative,1997
Bexhill and Battle,Conservative,2015
Basingstoke,Conservative Party (Great Britain) -- Elections,2005
Oxford West and Abingdon,Liberal Democrats,2017
Portsmouth North,Conservative,2010
Portsmouth South,Labour,2017
Beaconsfield,Conservative and Unionist Party,2019
Romsey and Southampton North,Conservative,"General election, 2010"
Banbury,Conservative Party (Great Britain) -- Elections,2015
Horsham,Conservative Party (UK),2015
Esher and Walton,Conservative Party (Great Britain) -- Records and correspondence,2010
Wokingham,Conservative,1987
Guildford,United Kingdom Conservative Party,2019
Reading East,Labour,2017
Brighton Kemptown,Independent,2017
Isle of Wight,UK Conservative Party,2017
Reading West,Conservative,"United Kingdom general election, 2010"
Buckingham,Conservative,2019
Crawley,Conservative,2010
Southampton Itchen,Tories,2015
Runnymede and Weybridge,Conservative,2019
Milton Keynes South,Conservative,2010
Bracknell,Conservative,2019
New Forest West,Conservative,"United Kingdom general election, 1997"
Rochester and Strood,Conservative,2015
Sevenoaks,Conservative,2019
Tonbridge and Malling,United Kingdom Conservative Party,2015
Southampton Test,Labour,1997
Faversham and Mid Kent,Tories,2015
