col0,col1,col2,col3
1972,Michael John Bennett,Dave Rowe,Steve Heffernan
1973,Ian Hallam,Michael John Bennett,Rik Evans
1974,Ian Hallam,Mick Bennett,Willi Moore
1975,Ian Hallam,Paul Medhurst,Trevor Gadd
1976,Ian Hallam,Trevor John Gadd,Andy Coady
1977,Trevor John Gadd,Paul Fennell,Andy Coady
1978,Trevor Gadd,Steve Cronshaw,Paul Fennell
1979,Paul Swinnerton,Terry Tinsley,Paul McGowan
1980,Gary Sadler,Terry Tinsley,Russell Oliver
1981,Terry Tinsley,Shaun Wallace,Brad Thurrell
1982,Gary Sadler,Terry Tinsley,Mark Barry
1983,Shaun Wallace,Mark Barry,Gary Sadler
1984,Shaun Wallace,Mark Barry,Eddie Alexander
1986,Gary Coltman,Guy Rowland,R Bryant
1987,Eddie Alexander,Colin Sturgess,Steve Paulding
1988,Gary Neiwand (Aus),Eddie Alexander,Paul McHugh
1989  A,Steve Paulding,Stewart Brydon,Adrian Hawkins
1989  P,Paul McHugh,Gary Coltman,Russell Williams
1990,Steve Paulding,Adrian Hawkins,Eddie Alexander
1991,Glen Sword,Anthony Stirrat,Steve Paulding
1992,Anthony Stirrat,Steve Paulding,Stephen Whitcombe
1993,Rob Hayles,Anthony Stirrat,Steve Paulding
1994,Rob Hayles,Glen Sword,Richard Prince
1995,Shaun Wallace,Rob Hayles,Anthony Stirrat
1996,Shaun Wallace,Jason Queally,Craig MacLean
1997,Craig MacLean,Jason Queally,Chris Hoy
1998,Craig MacLean,Jason Queally,Chris Hoy
1999,Craig MacLean,Chris Hoy,Neil Campbell
2000,Jason Queally,Craig MacLean,Neil Campbell
2001,Craig MacLean,Andy Slater,Jonathan Norfolk
2002,Jonathan Norfolk,Anton Quist,Barney Storey
2003,Craig MacLean,Jason Queally,Chris Hoy
2004,Matthew Haynes,Barney Storey,Neil Potter
2005,Chris Hoy,Jonathan Norfolk,Matthew Crampton
2006,Chris Hoy,Rob Hayles,Jason Kenny
2007,Jamie Staff,Ed Clancy,Jason Kenny
2008,Matthew Crampton,Steven Burke,David Daniell
2009,Steven Burke,Ed Clancy,David Daniell
2010,Bruce Croall,Andrew Kelly,Ieuan Williams
2011,Matt Rotherham,Steven Burke,Sam Harrison
2012,Kian Emadi,Bruce Croall,Matt Rotherham
2013,Kian Emadi,Ed Clancy,Matthew Crampton
2014,Callum Skinner,Matthew Crampton,Matt Rotherham
2015,Jason Kenny,Matthew Crampton,Steven Burke
2017,Daniel Bigham,Thomas Rotherham,Jonathan Mitchell
2018,Joseph Truman,Callum Skinner,Kian Emadi
2019,Matt Rotherham,Bede Constantinides,Jonathan Wale
2020,Jonathan Wale,Daniel Bigham,Kyle Gordon
2021 not held due to COVID-19,2021 not held due to COVID-19,2021 not held due to COVID-19,2021 not held due to COVID-19
2022,Matt Rotherham,Jonathan Wale,Harvey McNaughton
2023,Joe Holt,Calum Moir,Tom Ward
2024,Aaron Pope,Niall Monks,Henry Hobbs
