col0,col1,col2
2000   (27th),Bryan Jay Singer,X-Men
2000   (27th),Clint Eastwood,Space Cowboys
2000   (27th),Ron Howard,How the Grinch Stole Christmas
2000   (27th),Ang Lee,"Crouching Tiger, Hidden Dragon"
2000   (27th),Ridley Scott,Gladiator
2000   (27th),Robert Zemeckis,What Lies Beneath
2001   (28th),Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
2001   (28th),Alejandro Amenábar,The Others
2001   (28th),Chris Columbus,Harry Potter and the Philosopher's Stone
2001   (28th),Christophe Gans,Brotherhood of the Wolf
2001   (28th),David Lynch,Mulholland Drive
2001   (28th),Steven Spielberg,A.I. Artificial Intelligence
2002   (29th),Steven Spielberg,Minority Report
2002   (29th),Chris Columbus,Harry Potter and the Chamber of Secrets
2002   (29th),Peter Jackson,The Lord of the Rings: The Two Towers
2002   (29th),George Lucas,Star Wars: Episode II - Attack of the Clones
2002   (29th),Bill Paxton,Frailty
2002   (29th),Sam Raimi,Spider-Man
2003   (30th),Peter Jackson,The Lord of the Rings: The Return of the King
2003   (30th),Danny Boyle,28 Days Later
2003   (30th),Bryan Singer,X2
2003   (30th),Quentin Tarantino,Kill Bill: Volume 1
2003   (30th),Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
2003   (30th),Edward Zwick,The Last Samurai
2004   (31st),Sam Raimi,Spider-Man 2
2004   (31st),Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban
2004   (31st),Michel Gondry,Eternal Sunshine of the Spotless Mind
2004   (31st),Michael Mann,Collateral
2004   (31st),Quentin Tarantino,Kill Bill: Volume 2
2004   (31st),Zhang Yimou,House of Flying Daggers
2005   (32nd),Peter Jackson,King Kong
2005   (32nd),Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
2005   (32nd),George Lucas,Star Wars: Episode III - Revenge of the Sith
2005   (32nd),Mike Newell,Harry Potter and the Goblet of Fire
2005   (32nd),Christopher Nolan,Batman Begins
2005   (32nd),Steven Spielberg,War of the Worlds
2006   (33rd),Bryan Singer,Superman Returns
2006   (33rd),J. J. Abrams,Mission: Impossible III
2006   (33rd),Alfonso Cuarón,Children of Men
2006   (33rd),Guillermo del Toro,Pan's Labyrinth
2006   (33rd),Mel Gibson,Apocalypto
2006   (33rd),Tom Tykwer,Perfume: The Story of a Murderer
2007   (34th),Zack Snyder,300
2007   (34th),Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street
2007   (34th),Frank Darabont,The Mist
2007   (34th),Paul Greengrass,The Bourne Ultimatum
2007   (34th),Sam Raimi,Spider-Man 3
2007   (34th),David Yates,Harry Potter and the Order of the Phoenix
2008   (35th),Jon Favreau,Iron Man
2008   (35th),Clint Eastwood,Changeling
2008   (35th),David Fincher,The Curious Case of Benjamin Button
2008   (35th),Christopher Nolan,The Dark Knight
2008   (35th),Bryan Jay Singer,Valkyrie
2008   (35th),Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull
2008   (35th),Andrew Stanton,WALL-E
2009   (36th),James Cameron,Avatar
2009   (36th),J. J. Abrams,Star Trek
2009   (36th),Kathryn Bigelow,The Hurt Locker
2009   (36th),Neill Blomkamp,District 9
2009   (36th),Guy Ritchie,Sherlock Holmes
2009   (36th),Zack Snyder,Watchmen
2009   (36th),Quentin Tarantino,Inglourious Basterds
