col0,col1,col2,col3,col4,col5,col6,col7
Italy,Pallacanestro Varese,Spain,Zaragoza,Belgium,Aarschot,Slovenia,Olimpija Ljubljana
Italy,Auxilium Torino,Spain,Estudiantes Madrid,Belgium,Standard Liège,Slovenia,Postojna
Italy,Virtus Bologna,Spain,Real Madrid Basketball,Belgium,Oostende,Slovenia,Slovan Ljubljana
Italy,Scaligera Verona,Spain,Joventut Badalona,Belgium,Spirou Charleroi,Greece,Panionios
Italy,Victoria Libertas Pesaro,Spain,Sevilla,Belgium,Belfius Mons-Hainaut,Greece,Panathinaikos
Italy,Treviso Basket,Spain,Taugrés,Cyprus,AEL Limassol,Greece,Olympiacos
Italy,Olimpia Milano,Spain,Barça Bàsquet,Cyprus,APOEL,Ukraine,Budivelnyk Kiev
Italy,Pallacanestro Trieste,Spain,Valencia,Cyprus,Pezoporikos Larnaca,Ukraine,Azovmash Mariupol
Italy,Fortitudo Bologna,Spain,CB Canarias,Cyprus,PAEE Kyrenia,Ukraine,Khimik Yuzhne
Italy,Mens Sana Siena,Turkey,Galatasaray,Cyprus,Apollon Limassol,Poland,KK Włocławek
Italy,Pallacanestro Cantù,Turkey,Türk Telekom Ankara,Hungary,Csepel Budapest,Poland,Zielona Góra
Italy,Orlandina,Turkey,Fenerbahçe,Hungary,Debreceni Vadkakasok,Poland,Rosa Radom
France,Le Mans Sarthe,Turkey,TED Ankara,Hungary,Alba Fehérvár,Latvia,Skonto Riga
France,Pau Orthez,Turkey,Karşıyaka İzmir,Hungary,Szolnoki Olaj,Latvia,VEF Riga
France,Olympique Antibes,Turkey,Beşiktaş,Lithuania,Žalgiris Kaunas,Latvia,Ventspils
France,ASVEL,Turkey,Uşak Sportif,Lithuania,Lietuvos Rytas Vilnius,Romania,Steaua Bucharest
France,Mulhouse,Turkey,Gaziantep,Lithuania,Alita Alytus,Romania,Universitatea Cluj-Napoca
France,Limoges,Israel,Hapoel Ramat Gan,Lithuania,Neptūnas,Bosnia & Her.,Bosna Sarajevo
France,Cholet,Israel,Hapoel Galil Elyon,Germany,Alba Berlin,Bosnia & Her.,Široki Brijeg
France,Le Havre,Israel,Maccabi Rishon LeZion,Germany,Skyliners Frankfurt,Austria,Sparkasse Wels
France,Gravelines,Israel,Maccabi Tel Aviv,Germany,Oldenburg,Austria,UBSC Vienna
France,Chorale Roanne,Israel,Hapoel Tel Aviv,Germany,Ludwigsburg,England,Sunderland Saints
France,Chalon,Israel,Ironi Ramat Gan,Bulgaria,Levski Sofia,England,London Towers
Russia,Dynamo Moscow,Croatia,Zadar,Bulgaria,CSKA Sofia,Estonia,Kalev Tallinn
Russia,Samara,Croatia,Cibona Zagreb,Bulgaria,Academic Sofia,Estonia,Tartu
Russia,CSKA Moscow,Croatia,KK Zagreb,Serbia,Partizan Belgrade,Sweden,Södertälje
Russia,Lokomotiv Kuban,Croatia,Zrinjevac Zagreb,Serbia,Red Star Belgrade,Montenegro,Budućnost
Russia,UNICS Kazan,Croatia,KK Split,Serbia,KK Vršac,Netherlands,Den Bosch
Russia,Khimki Moscow,,,Portugal,Ovarense,Finland,Lappeenrannan
