col0,col1,col2,col3
1960,Soviet Union,Czechoslovakia,Poland
1962,not included in the program,not included in the program,not included in the program
1964,Soviet Union,Czechoslovakia,Poland
1966,Soviet Union,Japan,Czechoslovakia
1968,Soviet Union,Japan,Finland
1970,Soviet Union,East Germany,Japan
1972,Soviet Union,Japan,United States
1975,Soviet Union,Czechoslovakia,Poland
1978,Soviet Union,Czechoslovakia,Bulgaria
1981,Soviet Union,Japan,Finland
1983,Soviet Union,Bulgaria,Finland
1985,Soviet Union,Italy,Canada
1987,Soviet Union,Czechoslovakia,Yugoslavia
1989,Soviet Union,Czechoslovakia,Austria
1991,Japan,Germany,Switzerland
1993,Russia,Japan,Austria
1995,Russia,Poland,Ukraine
1997,Slovakia,Belarus,Ukraine
1999,Slovakia,Belarus,Russia
2001,Russia,Ukraine,Poland
2003,Russia,Czech Republic,Kazakhstan
2005,Kazakhstan,Russia,Ukraine
2007,Kazakhstan,France,Russia
2009,Russia,Japan,Czech Republic
2011,France,Russia,Kazakhstan
2013,Kazakhstan,Russia,Finland
2015,Russia,Kazakhstan,Czech Republic
2017,Russia,Kazakhstan,Czech Republic
2019,Russia,Kazakhstan,Finland
