col0,col1
1,"South Africa Act Further Amendment Act, 1957"
2,"South Africa Act Amendment Act, 1957"
3,"Witchcraft Suppression Act, 1957"
4,"Prisons and Reformatories Amendment Act, 1957"
5,"Wage Act, 1957"
6,"Unauthorized Expenditure (1955-1956) Act, 1957"
7,"Part Appropriation Act, 1957"
8,"Electoral Laws Further Amendment Act, 1957"
9,"Unemployment Insurance Amendment Act, 1957"
10,"Housing Act, 1957"
11,"Medical, Dental and Pharmacy Amendment Act, 1957"
12,"Railways and Harbours Additional Appropriation Act, 1957"
13,"Railways and Harbours Unauthorized Expenditure Act, 1957"
14,"Hire-Purchase Amendment Act, 1957"
15,"Additional Appropriation Act, 1957"
16,"Diamond Export Duty Act, 1957"
17,"Trustee Investment in Union Government Securities Act, 1957"
18,"Flags Amendment Act, 1957"
19,"Special Justices of the Peace Act, 1957"
20,"State Liability Act, 1957"
21,"Railways and Harbours Appropriation Act, 1957"
22,"National Parks and Native Trust Lands Amendment Act, 1957"
23,"Immorality Act, 1957 (before 1988)    Sexual Offences Act, 1957 (after 1988)"
24,"Official Languages (Local Authorities) Amendment Act, 1957"
25,"Wine, Spirits and Vinegar Act, 1957 (before 1968)    Wine, Other Fermented Beverages and Spirits Act, 1957 (after 1968)"
26,"Artificial Insemination of Animals Amendment Act, 1957"
27,"Fruit Export Act, 1957"
28,"Registration of Pedigree Livestock Act, 1957"
29,"Simon's Bay Dockyard Port Regulations Amendment Act, 1957"
30,"University of Pretoria (Private) Act Amendment (Private) Act, 1957"
31,"State Attorney Amendment Act, 1957"
32,"Police Amendment Act, 1957"
33,"Interpretation Act, 1957"
34,"Railways and Harbours Acts Amendment Act, 1957"
35,"Electrical Wiremen and Contractors Amendment Act, 1957"
36,"Native Laws Amendment Act, 1957 (before 1964)    Bantu Laws Amendment Act, 1957 (from 1964 to 1978)    Black Laws Amendment Act, 1957 (after 1978)"
37,"Mental Disorders Amendment Act, 1957"
38,"Financial Relations Amendment Act, 1957"
39,"Transvaal Gold Law Amendment Act, 1957"
40,"Natal Mines Amendment Act, 1957"
41,"Cape Town Foreshore Amendment Act, 1957"
42,"Agricultural Pests Act, 1957"
43,"Deeds Registries Amendment Act, 1957"
44,"Defence Act, 1957"
45,"Hartebeestpoort Irrigation Scheme (Crocodile River) Amendment Act, 1957"
46,"State-aided Institutions Amendment Act, 1957"
47,"Wine and Spirits Control Amendment Act, 1957"
48,"Merchant Shipping (Certificates of Competency) Amendment Act, 1957"
49,"Railway Construction Act, 1957"
50,"Perishable Products Export Control Amendment Act, 1957"
51,"National Roads and Transport (Co-ordination) Amendment Act, 1957"
52,"Motor Carrier Transportation Amendment Act, 1957"
53,"Native Transport Services Act, 1957 (before 1964)    Bantu Transport Services Act, 1957 (from 1964 to 1978)    Black Transport Services Act, 1957 (after 1978)"
54,"Public Service Act, 1957"
55,"South-West Africa Constitution Amendment Act, 1957"
56,"State Attorney Act, 1957"
57,"Group Areas Amendment Act, 1957"
58,"Liquor Amendment Act, 1957"
59,"Estate Duty Amendment Act, 1957"
60,"Land Bank Amendment Act, 1957"
61,"Income Tax Act, 1957"
62,"Pension Laws Amendment Act, 1957"
63,"Dairy Industry Act, 1957"
64,"Public Accountants' and Auditors' Amendment Act, 1957"
65,"Customs Amendment Act, 1957"
66,"Parliamentary Service Pensions Amendment Act, 1957"
67,"Excise Amendment Act, 1957"
68,"General Law Amendment Act, 1957"
69,"Nursing Act, 1957"
70,"Railways and Harbours Control and Management (Consolidation) Act, 1957"
71,"Railways and Harbours Second Additional Appropriation Act, 1957"
72,"Vocational Education Amendment Act, 1957"
73,"Statistics Act, 1957"
74,"Financial Relations Further Amendment Act, 1957"
75,"Water Amendment Act, 1957"
76,"Census Act, 1957"
77,"Group Areas Act, 1957"
78,"Export Credit Re-insurance Act, 1957 (before 1981)    Export Credit and Foreign Investments Re-insurance Act, 1957 (from 1981 to 2001)    Export Credit and Foreign Investments Insurance Act, 1957 (after 2001)"
79,"Native Laws Further Amendment Act, 1957 (before 1964)    Bantu Laws Further Amendment Act, 1957 (from 1964 to 1978)    Black Laws Further Amendment Act, 1957 (after 1978)"
80,"Pensions (Supplementary) Act, 1957"
81,"Finance Act, 1957"
82,"Appropriation Act, 1957"
83,"Canned Fruit and Vegetables Export Control Amendment Act, 1957"
