col0,col1,col2
1st,29 May 1949,
2nd,29 May 1949,
3rd,29 May 1950,
4th,22 February 1951,
5th,8 May 1952,
6th,5 March 1953,
7th,25 March 1954,
8th,10 March 1955,Jack Buchanan     Leslie Mitchell     Anthony Havelock-Allan
9th,1 March 1956,Vivien Leigh
10th,11 July 1957,
11th,6 March 1958,Ian Dalrymple     Leslie Mitchell
12th,18 March 1959,
13th,22 March 1960,"Prince Philip, Duke of Edinburgh"
14th,6 April 1961,
15th,5 April 1962,
16th,7 May 1963,"Prince Philip, Duke of Edinburgh"
17th,3 April 1964,Anthony Havelock-Allan
18th,30 March 1965,"Prince Philip, Duke of Edinburgh"
19th,23 March 1966,Leslie Caron
20th,1967,
21st,28 March 1968,
22nd,26 March 1969,Lord Mountbatten
23rd,8 March 1970,David Frost
24th,4 March 1971,Richard Attenborough
25th,23 February 1972,Richard Attenborough
26th,28 February 1973,Michael Parkinson     John Mills
27th,6 March 1974,Eamonn Andrews     Petula Clark
28th,26 February 1975,David Niven
29th,17 March 1976,Diana Rigg     Eamonn Andrews
30th,24 March 1977,Esther Rantzen     Roger Moore
31st,16 March 1978,Andrew Gardner     Susannah York
32nd,22 March 1979,Sue Lawley     Michael York
33rd,20 March 1980,Anna Ford     Edward Fox
34th,22 March 1981,David Frost
35th,18 March 1982,Denis Norden
36th,20 March 1983,Frank Bough     Selina Scott
37th,25 March 1984,Michael Aspel
38th,5 March 1985,Terry Wogan
39th,16 March 1986,Michael Aspel
40th,22 March 1987,Ronnie Corbett     Ronnie Barker
41st,20 March 1988,Michael Aspel
42nd,19 March 1989,David Dimbleby     Anna Ford
43rd,11 March 1990,Magnus Magnusson     Sally Magnusson
44th,17 March 1991,Noel Edmonds
45th,22 March 1992,Michael Aspel
46th,21 March 1993,Griff Rhys Jones
47th,15 April 1994,Sheena McDonald
48th,9 April 1995,Billy Connolly
49th,23 April 1996,Angus Deayton
50th,29 April 1997,Lenny Henry
51st,18 April 1998,Rory Bremner
52nd,11 April 1999,Jonathan Ross
53rd,9 April 2000,Jack Docherty
54th,25 February 2001,Stephen Fry     Mariella Frostrup
55th,24 February 2002,Stephen Fry
56th,23 February 2003,Stephen Fry
57th,15 February 2004,Stephen Fry
58th,12 February 2005,Stephen Fry
59th,19 February 2006,Stephen Fry
60th,11 February 2007,Jonathan Ross
61st,10 February 2008,Jonathan Ross
62nd,8 February 2009,Jonathan Ross
63rd,21 February 2010,Jonathan Ross
64th,13 February 2011,Jonathan Ross
65th,12 February 2012,Stephen Fry
66th,10 February 2013,Stephen Fry
67th,16 February 2014,Stephen Fry
68th,8 February 2015,Stephen Fry
69th,14 February 2016,Stephen Fry
70th,12 February 2017,Stephen Fry
71st,18 February 2018,Joanna Lumley
72nd,10 February 2019,Joanna Lumley
73rd,2 February 2020,Graham Norton
74th,10-11 April 2021,Clara Amfo     Dermot O'Leary     Edith Bowman
75th,13 March 2022,Rebel Wilson
76th,19 February 2023,Richard E. Grant     Alison Hammond
77th,18 February 2024,David Tennant
