col0,col1,col2,col3
GoodFellas,Martin Scorsese,"Robert Chartoff, Irwin Winkler",United States
Crimes and Misdemeanors,Woody Allen,Robert Greenhut,United States
Driving Miss Daisy,Bruce Beresford,"Lili Fini Zanuck, Richard D. Zanuck",United States
Pretty Woman,Garry Marshall,"Arnon Milchan, Steven Reuther",the States
The Commitments,Alan Parker,"Lynda Myles, Roger Randall-Cutler",Ireland   United Kingdom
Dances with Wolves,Kevin Costner,"Kevin Costner, Jim Wilson",United States
The Silence of the Lambs,Jonathan Demme,"Ron Bozman, Edward Saxon, Kenneth Utt",United States
Thelma & Louise,Ridley Scott,Mimi Polk Gitlin,US
Howards End,James Ivory,Ismail Merchant,United Kingdom
The Crying Game,Neil Jordan,Stephen Woolley,United Kingdom   Ireland
The Player,Robert Altman,"David Brown, Michael Tolkin, Nick Wechsler",United States
Strictly Ballroom,Baz Luhrmann,Tristram Miall,Australia
Unforgiven,Clint Eastwood,Clint Eastwood,United States
Schindler's List,Steven Spielberg,"Branko Lustig, Gerald R. Molen, Steven Spielberg",United States
The Piano,Jane Campion,Jan Chapman,New Zealand   Australia   France
The Remains of the Day,James Ivory,"John Calley, Ismail Merchant, Mike Nichols, James Ivory",United Kingdom   United States
Shadowlands,Richard Attenborough,"Richard Attenborough, Brian Eastman",United Kingdom
Four Weddings and a Funeral,Mike Newell,Duncan Kenworthy,United Kingdom
Forrest Gump,Robert Zemeckis,"Wendy Finerman, Steve Starkey, Steve Tisch",United States
Pulp Fiction,Quentin Tarantino,Lawrence Bender,United States
Quiz Show,Robert Redford,"Michael Jacobs, Julian Krainin, Michael Nozik",the US
Sense and Sensibility,Ang Lee,Lindsay Doran,United Kingdom
Babe,Chris Noonan,"Bill Miller, George Miller, Doug Mitchell",Australia   United States
The Madness of King George,Nicholas Hytner,"Stephen Evans, David Parfitt",United Kingdom
The Usual Suspects,Bryan Singer,Michael McDonnell,US of America
The English Patient,Anthony Minghella,Saul Zaentz,United States
Fargo,Joel Coen,Ethan Coen,United States
Secrets & Lies,Mike Leigh,Simon Channing-Williams,United Kingdom
Shine,Scott Hicks,Jane Scott,Australia
The Full Monty,Peter Cattaneo,Uberto Pasolini,United Kingdom
L.A. Confidential,Curtis Hanson,"Curtis Hanson, Arnon Milchan   Michael Nathanson",United States
Mrs Brown,John Madden,Sarah Curtis,United Kingdom
Titanic,James Cameron,"James Cameron, Jon Landau",United States
Shakespeare in Love,John Madden,"Donna Gigliotti, Marc Norman, David Parfitt, Harvey Weinstein, Edward Zwick",United States
Elizabeth,Shekhar Kapur,"Tim Bevan, Eric Fellner, Alison Owen",United Kingdom
Saving Private Ryan,Steven Spielberg,"Ian Bryce, Mark Gordon, Gary Levinsohn, Steven Spielberg",U.S.A.
The Truman Show,Peter Weir,"Edward S. Feldman, Andrew Niccol, Scott Rudin, Adam Schroeder",United States
American Beauty,Sam Mendes,"Bruce Cohen, Dan Jinks",US of America
East is East,Damien O'Donnell,Leslee Udwin,United Kingdom
The End of the Affair,Neil Jordan,"Neil Jordan, Stephen Woolley",United Kingdom   United States
The Sixth Sense,M. Night Shyamalan,"Frank Marshall, Kathleen Kennedy, Barry Mendel",United States
The Talented Mr. Ripley,Anthony Minghella,"William Horberg, Tom Sternberg",United States
