col0,col1,col2,col3,col4
German military personnel stubs,German military personnel stubs,1,Kingbotk,17 October 2006
Australian military stubs,Australian military stubs,1,PlangeBot,19 October 2006
Australian military stubs,Australian military stubs,2,PlangeBot,19 October 2006
Australian military stubs,Australian military stubs,3,PlangeBot,19 October 2006
Australian military personnel killed in World War Two,Australian military personnel killed in World War Two,1,Kingbotk,6 April 2007
American Civil War killed in action,American Civil War killed in action,1,Kingbotk,6 April 2007
British World War II killed in action,British World War II killed in action,1,Kingbotk,6 April 2007
German military personnel killed in World War Two,German military personnel killed in World War Two,1,Kingbotk,6 April 2007
American World War II killed in action,American World War II killed in action,1,Kingbotk,6 April 2007
Japanese World War II killed in action,Japanese World War II killed in action,1,Kingbotk,6 April 2007
Soviet World War II people killed in action,Soviet World War II people killed in action,1,Kingbotk,6 April 2007
American World War I killed in action,American World War I killed in action,1,Kingbotk,6 April 2007
Canadian World War I killed in action,Canadian World War I killed in action,1,Kingbotk,6 April 2007
German military personnel killed in World War One,German military personnel killed in World War One,1,Kingbotk,6 April 2007
British World War I killed in action,British World War I killed in action,1,Kingbotk,6 April 2007
French military personnel killed in World War One,French military personnel killed in World War One,1,Kingbotk,6 April 2007
Japanese warriors killed in battle,Japanese warriors killed in battle,1,Kingbotk,6 April 2007
Australian military personnel killed in World War One,Australian military personnel killed in World War One,1,Kingbotk,6 April 2007
Aviators killed in shootdowns,Aviators killed in shootdowns,1,Kingbotk,6 April 2007
Military personnel by cause of death,Military personnel by cause of death,1,Kingbotk,6 April 2007
Viking warriors,Viking warriors,1,Kingbotk,6 April 2007
Various medieval battle casualties,,1,Kingbotk,6 April 2007
British Indian Army deaths and deaths of British Army in India,,1,Kingbotk,6 April 2007
British military personnel killed in action,British military personnel killed in action,1,Kingbotk,6 April 2007
Ancient Romans killed in action,Ancient Romans killed in action,1,Kingbotk,6 April 2007
English military personnel killed in action,English military personnel killed in action,1,Kingbotk,6 April 2007
American military personnel killed in action,American military personnel killed in action,1,Kingbotk,6 April 2007
Asian military personnel stubs,Asian military personnel stubs,1,Kingbotk,7 April 2007
African military personnel stubs,African military personnel stubs,1,Kingbotk,7 April 2007
Japanese military personnel stubs,Japanese military personnel stubs,1,Kingbotk,7 April 2007
Canadian military personnel stubs,Canadian military personnel stubs,1,Kingbotk,7 April 2007
European military personnel stubs,European military personnel stubs,1,Kingbotk,7 April 2007
Polish military personnel stubs,Polish military personnel stubs,1,Reedy Bot,7 April 2007
Warfare of the Medieval era,Warfare of the Medieval era,1,Kingbotk,8 April 2007
