col0,col1,col2
Windsor,Conservative,2005
Eastbourne,Conservative,2015
Wycombe,Conservative,2010
Newbury,Conservative,2005
Buckingham,Speaker,1997
Mole Valley,United Kingdom Conservative Party,1997
Oxford West and Abingdon,Conservative,2005
Reigate,Conservative Party (UK),1997
Worthing West,Conservative Party (Great Britain) -- Records and correspondence,1997
Canterbury,Conservative and Unionist Party,1987
Winchester,Tories,"UK general election, 2010"
Witney,Conservative,2016 by-election
Lewes,Conservative and Unionist Party,2015
Gillingham and Rainham,Conservative and Unionist Party,"UK general election, 2010"
Tunbridge Wells,Conservative,2005
Folkestone and Hythe,Conservative,2010
Chatham and Aylesford,Conservative,2010
Eastleigh,UK Conservative Party,2015
Gosport,Conservative,2010
Portsmouth South,Conservative,"UK general election, 2015"
Dover,Conservative,"UK general election, 2010"
Sevenoaks,Conservative,1997
Fareham,Conservative,2015 UK general election
North Thanet,Conservatives,1983
Wealden,Conservative,2015
Bognor Regis and Littlehampton,Conservative,1997
Chesham and Amersham,Conservative,1992
Surrey Heath,Conservative,2005 UK general election
Maidstone and The Weald,Conservative,2010
Epsom and Ewell,Conservative,2001
Ashford,Conservative,1997
Beaconsfield,Conservative Party (Great Britain) -- Records and correspondence,1997
East Surrey,Conservative,2010 general election
Runnymede and Weybridge,Conservative,1997
Sittingbourne and Sheppey,Conservatives,2010
Arundel and South Downs,British Conservative Party,2005
East Hampshire,United Kingdom Conservative Party,2010 general election
Meon Valley,Conservative,2010
Gravesham,Conservative,"General election, 2005"
Aldershot,Conservative,1997
Henley,Conservative,2008 by-election
South West Surrey,Conservative,2005 UK general election
North East Hampshire,Conservative Party (Great Britain) -- Records and correspondence,2015
Dartford,Conservative,2010
Brighton Kemptown,Conservative,"United Kingdom general election, 2010"
Spelthorne,Conservative,"General election, 2010"
Hove,Labour,2015
Milton Keynes North,Conservative,2010 general election
Bracknell,Conservative,2010
New Forest East,Conservative Party (Great Britain) -- Elections,1997
Aylesbury,Conservative,1992
Woking,Conservative,2010
East Worthing and Shoreham,Conservative,1997
Brighton Pavilion,Green,2010
South Thanet,UK Conservative Party,2015
Slough,Labour,1997
Havant,Conservative,2015 UK general election
North West Hampshire,Conservative,"United Kingdom general election, 2015"
Maidenhead,Conservative,1997
Bexhill and Battle,Conservative,2015
Basingstoke,British Conservative Party,2005
Guildford,Conservative,2005
Portsmouth North,Conservative,2010
Romsey and Southampton North,Tories,2010
Banbury,Conservative,"United Kingdom general election, 2015"
Horsham,Conservative,"United Kingdom general election, 2015"
Esher and Walton,Conservatives,"UK general election, 2010"
Wokingham,Conservative,1987
Hastings and Rye,Tory Party,2010 UK general election
Reading West,Conservative,2010
Oxford East,Labour,1987
Crawley,Conservative,"UK general election, 2010"
Southampton Itchen,Conservative,2015
Mid Sussex,Conservatives,1997
Milton Keynes South,Conservative and Unionist Party,2010
New Forest West,Conservative,1997
Rochester and Strood,Conservative and Unionist Party,2015
Tonbridge and Malling,Conservative,2015
Isle of Wight,British Conservative Party,2001
Chichester,Conservative,1997
Wantage,UK Conservative Party,2005
Southampton Test,Labour,1997
Faversham and Mid Kent,Conservative Party (Great Britain) -- Records and correspondence,2015 general election
Reading East,Conservative,"General election, 2005"
