col0,col1,col2
Hugh Jackman,X-Men,James Howlett
Jim Carrey,How the Grinch Stole Christmas,Grinch
Russell Ira Crowe,Gladiator,Maximus Decimus Meridius
Clint Eastwood,Space Cowboys,Colonel Frank Corvin
Arnold Schwarzenegger,The 6th Day,Adam Gibson / Adam Gibson Clone
Chow Yun-fat,"Crouching Tiger, Hidden Dragon",Li Mu Bai
Tom Cruise,Vanilla Sky,David Aames
Johnny Depp,From Hell,Inspector Frederick Abberline
Anthony Hopkins,Hannibal,Hannibal Lecter
Guy Pearce,Memento,Leonard Shelby
Kevin Spacey,K-PAX,Prot / Robert Porter
Billy Bob Thornton,The Man Who Wasn't There,Ed Crane
Robin Williams,One Hour Photo,Seymour Parrish
Pierce Brosnan,Die Another Day,James Bond
George Clooney,Solaris,Chris Kelvin
Tom Cruise,Minority Report,John Anderton
Tobey Maguire,Spider-Man,Peter Parker / Spider-Man
Viggo Mortensen,The Lord of the Rings: The Two Towers,Aragorn
Elijah Wood,The Lord of the Rings: The Return of the King,Frodo Baggins
Tom Cruise,The Last Samurai,Nathan Algren
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Jack Sparrow
Albert Finney,Big Fish,old Edward Bloom
Crispin Glover,Willard,Willard Stiles
Viggo Mortensen,The Lord of the Rings: The Return of the King,Aragorn
Tobey Maguire,Spider-Man 2,Peter Parker / Spider-Man
Christian Bale,The Machinist,Trevor Reznik
Jim Eugene Carrey,Eternal Sunshine of the Spotless Mind,Joel Barish
Tom Cruise,Collateral,Vincent
Matt Damon,The Bourne Supremacy,Jason Bourne
Johnny Depp,Finding Neverland,Sir James Matthew Barrie
Christian Bale,Batman Begins,Bruce Wayne / Batman
Pierce Brosnan,The Matador,Julian Noble
Hayden Christensen,Star Wars: Episode III - Revenge of the Sith,Anakin Skywalker / Darth Vader
Tom Cruise,War of the Worlds,Ray Ferrier
Robert Downey Jr.,Kiss Kiss Bang Bang,Harry Lockhart
Viggo Mortensen,A History of Violence,Tom Stall / Joey Cusack
Brandon Routh,Superman Returns,Clark Kent / Superman
Daniel Craig,Casino Royale,James Bond
Tom Cruise,Mission: Impossible III,Ethan Hunt
Will Ferrell,Stranger than Fiction,Harold Crick
Hugh Jackman,The Fountain,Tomas / Tommy / Tom Creo
Clive Owen,Children of Men,Theo Faron
Will Smith,I Am Legend,Dr. Robert Neville
Gerard Butler,300,King Leonidas
John Cusack,1408,Mike Enslin
Daniel Day-Lewis,There Will Be Blood,Daniel Plainview
Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,Benjamin Barker / Sweeney Todd
Viggo Mortensen,Eastern Promises,Nikolai Luzhin
Robert Downey Jr.,Iron Man,Tony Stark / Iron Man
Christian Bale,The Dark Knight,Bruce Wayne / Batman
Tom Cruise,Valkyrie,Colonel Claus von Stauffenberg
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones
Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button
Will Smith,Hancock,John Hancock
Sam Worthington,Avatar,Jake Sully
Robert Downey Jr.,Sherlock Holmes,Sherlock Holmes
Tobey Maguire,Brothers,Capt. Sam Cahill
Viggo Mortensen,The Road,Man
Sam Rockwell,Moon,Sam Bell
Denzel Washington,The Book of Eli,Eli
