col0,col1,col2,col3
Best Supporting Actress,Best Actress in a Supporting Role,Best Actress in a Supporting Role,Best Actress in a Supporting Role
Year,Name,Film,Role
1943,Paulette Goddard,So Proudly We Hail!,Joan O'Doul
The 17th Academy Awards,Aline MacMahon,Dragon Seed,Ling Tan's Wife
1945,Mary Madeline Ellis,The Corn is Green,Bessie Watty
1951,Joan Blondell,The Blue Veil,Annie Rawlins
1951,Lee Grant,Detective Story,The Shoplifter
1957,Carolyn Jones,The Bachelor Party,The Existentialist
1958,Martha Hyer,Some Came Running,Gwen French
1958,Cara Williams,The Defiant Ones,Billy's Mother
1959,Shelley Winters,The Diary of Anne Frank,Petronella van Daan
1959,Susan Kohner,Imitation of Life,Sarah Jane Johnson
1963,Lilia Skala,Lilies of the Field,Mother Maria Marthe
1964,Grayson Hall,The Night of the Iguana,Judith Fellowes
1966,Shelley Winters,A Patch of Blue,Rose-ann D'Arcey
1967,Carol Channing,Thoroughly Modern Millie,Muzzy von Hossmere
1969,Goldie Hawn,Cactus Flower,Toni Simmons
1969,Dyan Cannon,Bob & Carol & Ted & Alice,Alice Henderson
1969,Sylvia Miles,Midnight Cowboy,Cass
1970,Lee Grant,The Landlord,Joyce Enders
1972,Jeannie Berlin,The Heartbreak Kid,Lila Kolodny
1972,Shelley Winters,The Poseidon Adventure,Belle Rosen
1973,Tatum O'Neal,Paper Moon,Addie Loggins
1973,Madeline Kahn,Paper Moon,Trixie Delight
1973,Sylvia Sidney,"Summer Wishes, Winter Dreams",Mrs. Pritchett
1974,Madeline Kahn,Blazing Saddles,Lili von Shtupp
1975,Lee Grant,Shampoo,Felicia Karpf
1975,Sylvia Miles,"Farewell, My Lovely",Jessie Halstead Florian
1976,Lee Grant,Voyage of the Damned,Lee Rosen
1976,Piper Laurie,Carrie,Margaret White
1977,Leslie Browne,The Turning Point,Emilia Rodgers
1978,Dyan Cannon,Heaven Can Wait,Julia Farnsworth
1979,Barbara Barrie,Breaking Away,Evelyn Stoller
1982,Kim Stanley,Frances,Lillian Van Ornum Farmer
1982,Lesley Ann Warren,Victor/Victoria,Norma Cassidy
1983,Amy Irving,Yentl,Hadass Vishkower
1986,Piper Laurie,Children of a Lesser God,Mrs. Norman
1993,Winona Ryder,The Age of Innocence,May Welland
1995,Mare Winningham,Georgia,Georgia Flood
1996,Lauren Bacall,The Mirror Has Two Faces,Hannah Morgan
1996,Barbara Hershey,The Portrait of a Lady,Madame Serena Merle
2000,Kate Hudson,Almost Famous,Penny Lane
2001,Jennifer Connelly,A Beautiful Mind,Alicia Nash
2004,Sophie Okonedo,Hotel Rwanda,Tatiana Rusesabagina
2004,Natalie Portman,Closer,Jane Jones/Alice Ayres
2005,Rachel Weisz,The Constant Gardener,Tessa Abbott-Quayle
2006,Abigail Breslin,Little Miss Sunshine,Olive Hoover
2009,Maggie Gyllenhaal,Crazy Heart,Jean Craddock
2010,Helena Bonham Carter,The King's Speech,Queen Elizabeth
2010,Hailee Steinfeld,True Grit,Mattie Ross
2012,Helen Hunt,The Sessions,Cheryl Cohen-Greene
2013,June Squibb,Nebraska,Kate Grant
2014,Patricia Arquette,Boyhood,Olivia Evans
2015,Jennifer Jason Leigh,The Hateful Eight,Daisy Domergue
2018,Rachel Weisz,The Favourite,"Sarah Churchill, Duchess of Marlborough"
2019,Scarlett Johansson,Jojo Rabbit,Rosie Betzler
2022,Jamie Lee Curtis,Everything Everywhere All at Once,Deirdre Beaubeirdre
