col0,col1,col2,col3,col4
12 October 2022,Glasgow,Alba,SWG3,Tom Rasmussen
13 October 2022,"Glasgow, Scotland","Scotland, United Kingdom",SWG3,Tom Rasmussen
15 October 2022,Dublin,Ireland (state),Olympia Theatre,Tom Rasmussen
16 October 2022,Dublin,Ireland,Olympia Theatre,Tom Rasmussen
18 October 2022,Nottingham,England,Rock City,Joesef   Tom Rasmussen
20 October 2022,Manchester,England,Manchester Academy 1,Joesef   Tom Rasmussen
21 October 2022,Birmingham,England,O 2  Academy Birmingham,Joesef   Tom Rasmussen
23 October 2022,Brighton,England,Brighton Dome,Joesef   Tom Rasmussen
24 October 2022,Cardiff,Wales,Great Hall of Cardiff University,Joesef   Tom Rasmussen
26 October 2022,London,England,O 2  Academy Brixton,Joesef   Tom Rasmussen
Leg 2 - North America,Leg 2 - North America,Leg 2 - North America,Leg 2 - North America,Leg 2 - North America
1 November 2022,New York,United States,Avant Gardner  (great hall),--
11 November 2022,Dallas,United States,South Side Ballroom,Lauren Aquilina
12 November 2022,Austin,United States,Emo's,Lauren Aquilina
13 November 2022,Houston,United States,White Oak Music Hall  (downstairs),Lauren Aquilina
16 November 2022,Phoenix,United States,The Van Buren,Lauren Aquilina
18 November 2022,San Diego,United States,SOMA  (mainstage),Lauren Aquilina
19 November 2022,Los Angeles,United States,Hollywood Palladium,Lauren Aquilina
21 November 2022,Oakland,United States,Fox Theatre,Adam Kraft
23 November 2022,Los Angeles,United States,Hollywood Palladium,Alex Chapman
28 November 2022,New York,United States,Avant Gardner  (great hall),rowspan=3
29 November 2022,Silver Spring,United States,The Fillmore,None
30 November 2022,Charlotte,United States,The Fillmore,None
2 December 2022,Boston,United States,Roadrunner,DJ Coleslaw
Leg 3 - Oceania,Leg 3 - Oceania,Leg 3 - Oceania,Leg 3 - Oceania,Leg 3 - Oceania
9 January 2023,Auckland,New Zealand,The Powerstation,rowspan=5
10 January 2023,Melbourne,Australia,170 Russell,None
12 January 2023,Sydney,Australia,UNSW Roundhouse,None
13 January 2023,Melbourne,Australia,170 Russel,None
14 January 2023,Brisbane,Australia,The Triffid,None
Leg 4 - Asia,Leg 4 - Asia,Leg 4 - Asia,Leg 4 - Asia,Leg 4 - Asia
17 January 2023,Nagoya,Japan,Diamond Hall,rowspan=3
18 January 2023,Osaka,Japan,Zepp Osaka Bayside,None
20 January 2023,Tokyo,Japan,Tokyo Garden Theater,None
Leg 5 - Europe,Leg 5 - Europe,Leg 5 - Europe,Leg 5 - Europe,Leg 5 - Europe
10 February 2023,London,England,Lafayette,
14 February 2023,Brussels,Belgium,Ancienne Belgique,Empress Of
15 February 2023,Paris,France,Olympia,Empress Of
16 February 2023,Zürich,Switzerland,Volkshaus,Empress Of
18 February 2023,Milan,Italy,Fabrique,Sans Soucis
19 February 2023,Munich,Germany,Muffathalle,Empress Of
21 February 2023,Utrecht,Netherlands,TivoliVredenburg  (Ronda),Empress Of
23 February 2023,Warsaw,Poland,Klub Stodoła,Empress Of
24 February 2023,Berlin,Germany,Huxleys Neue Welt,Empress Of
26 February 2023,Stockholm,Sweden,Berns Salonger,Empress Of
27 February 2023,Oslo,Norway,Rockefeller Music Hall,Empress Of
