col0,col1,col2
2010,David Fincher,Social Network
2010,Benjamin Géza Affleck-Boldt,The Town
2010,Darren Aronofsky,Black Swan
2010,Danny Boyle,127 Hours
2010,Lisa Cholodenko,The Kids Are All Right
2010,Debra Granik,Winter's Bone
2010,Tom Hooper,The King's Speech
2010,David Michôd,Animal Kingdom
2010,Christopher Nolan,Inception
2010,Roman Polanski,The Ghost Writer
2011,Nicolas Winding Refn,Drive
2011,Woody Allen,Midnight in Paris
2011,Tomas Alfredson,Tinker Tailor Soldier Spy
2011,Michel Hazanavicius,The Artist
2011,John Michael McDonagh,The Guard
2011,Steve McQueen,Shame
2011,Alexander Payne,The Descendants
2011,Martin Scorsese,Hugo
2011,Steven Spielberg,War Horse
2011,Tate Taylor,The Help
2012,David O. Russell,Silver Linings Playbook
2012,Ben Géza Affleck,Argo
2012,Kathryn Bigelow,Zero Dark Thirty
2012,Kim Ki-duk,Pietà
2012,Ben Lewin,The Sessions
2012,Steven Spielberg,Lincoln
2013,Steve McQueen,12 Years a Slave
2013,Woody Allen,Blue Jasmine
2013,Joel Coen and Ethan Coen,Inside Llewyn Davis
2013,Alfonso Cuarón,Gravity
2013,Paul Greengrass,Captain Phillips
2013,Ron Howard,Rush
2013,David O. Russell,American Hustle
2013,Martin Scorsese,The Wolf of Wall Street
2014,Richard Linklater,Boyhood
2014,Damien Chazelle,Whiplash
2014,Ava DuVernay,Selma
2014,David Fincher,Gone Girl
2014,Alejandro G. Iñárritu,Birdman
2014,Morten Tyldum,The Imitation Game
2015,Tom McCarthy,Spotlight
2015,Lenny Abrahamson,Room
2015,Tom Hooper,The Danish Girl
2015,Alejandro G. Iñárritu,The Revenant
2015,Ridley Scott,The Martian
2015,Steven Spielberg,Bridge of Spies
2016,Kenneth Lonergan,Manchester by the Sea
2016,Damien Chazelle,La La Land
2016,Tom Ford,Nocturnal Animals
2016,Mel Gibson,Hacksaw Ridge
2016,Barry Jenkins,Moonlight
2016,Pablo Larraín,Jackie
2016,Denzel Washington,Fences
2017,Jordan Peele,Get Out
2017,Sean Baker,The Florida Project
2017,Guillermo del Toro,The Shape of Water
2017,Greta Gerwig,Lady Bird
2017,Christopher Nolan,Dunkirk
2017,Dee Rees,Mudbound
2018,Alfonso Cuarón,Roma
2018,Bradley Cooper,A Star Is Born
2018,Peter Farrelly,Green Book
2018,Barry Jenkins,If Beale Street Could Talk
2018,Yorgos Lanthimos,The Favourite
2018,Spike Lee,BlacKkKlansman
2019,James Mangold,Ford v Ferrari
2019,Pedro Almodóvar,Pain and Glory
2019,Noah Baumbach,Marriage Story
2019,Bong Joon-ho,Parasite
2019,Sam Mendes,1917
2019,Quentin Tarantino,Once Upon a Time in Hollywood
