col0,col1,col2,col3,col4,col5,col6,col7
24 October 2009,Draw,New Zealand,20 - 20,Australia,Twickenham Stoop,"12,360",2009 Rugby League Four Nations match
8 May 2009,Australia,Australia,38 - 10,New Zealand,Suncorp Stadium,"37,152",2009 Anzac Test match
22 November 2008,New Zealand,Australia,20 - 34,New Zealand,Suncorp Stadium,"50,599",2008 Rugby League World Cup final
26 October 2008,Australia,Australia,30 - 6,New Zealand,Allianz Stadium,"34,157",2008 Rugby League World Cup Group A match
9 May 2008,Australia,Australia,28 - 12,New Zealand,SCG,"34,571",2008 Centenary Rugby League Test match
October 2007,Australia,New Zealand,0 - 58,Australia,Westpac Stadium,"16,061",Test match
20 April 2007,Australia,Australia,30 - 6,New Zealand,Brisbane Stadium,"35,241",2007 Anzac Test match
25 November 2006,Australia,Australia,16 - 12,New Zealand,Allianz Stadium,"27,325",2006 Rugby League Tri-Nations Final
21 October 2006,Australia,Australia,20 - 15,New Zealand,Telstra Dome,"30,732",2006 Rugby League Tri-Nations match
14 October 2006,Australia,New Zealand,18 - 30,Australia,Ericsson Stadium,"17,887",2006 Rugby League Tri-Nations match
5 May 2006,Australia,Australia,50 - 12,New Zealand,Suncorp Stadium,"44,191",2006 Anzac Test match
26 November 2005,New Zealand,Australia,0 - 24,New Zealand,Elland Road,"26,514",2005 Rugby League Tri-Nations Final
21 October 2005,Australia,New Zealand,26 - 28,Australia,Ericsson Stadium,"18,000",2005 Rugby League Tri-Nations match
15 October 2005,New Zealand,Australia,28 - 38,New Zealand,Telstra Stadium,"28,255",2005 Rugby League Tri-Nations match
22 April 2005,Australia,Australia,32 - 16,New Zealand,Suncorp Stadium,"40,317",2005 Anzac Test match
23 October 2004,Australia,Australia,32 - 12,New Zealand,Loftus Road,"16,725",2004 Rugby League Tri-Nations match
16 October 2004,Draw,New Zealand,16 - 16,Australia,North Harbour Stadium,"19,118",2004 Rugby League Tri-Nations match
23 April 2004,Australia,Australia,37 - 10,New Zealand,EnergyAustralia Stadium,"21,537",2004 Anzac Test match
18 October 2003,New Zealand,Australia,16 - 30,New Zealand,North Harbour Stadium,"21,926",
25 July 2003,Australia,Australia,48 - 6,New Zealand,Allianz Stadium,"30,605",
12 October 2002,Australia,Australia,32 - 24,New Zealand,Wellington Stadium,"25,015",
13 July 2001,Australia,Australia,28 - 10,New Zealand,Wellington Stadium,"26,580",
25 November 2000,Australia,Australia,40 - 12,New Zealand,Old Trafford,"44,329",2000 Rugby League World Cup final
21 April 2000,Australia,Australia,52 - 0,New Zealand,Stadium Australia,"26,023",2000 Anzac Test match
