col0,col1,col2,col3
1960-1961,Weekday,Late Night,Saturday Morning
1961-1962,Weekday,Late Night,Saturday Morning
1962-1963,Weekday,Late Night,Saturday Morning
1963-1964,Weekday,Late Night,Saturday Morning
1964-1965,Weekday,Late Night,Saturday Morning
1965-1966,Weekday,Late Night,Saturday Morning
1966-1967,Weekday,Late Night,Saturday Morning
1967-1968,Weekday,Late Night,Saturday Morning
1968-1969,Weekday,Late Night,Saturday Morning
1969-1970,Weekday,Late Night,Saturday Morning
1970-1971,Weekday,Late Night,Saturday Morning
1971-1972,Weekday,Late Night,Saturday Morning
1972-1973,Weekday,Late Night,Saturday Morning
1973-1974,Weekday,Late Night,Saturday Morning
1974-1975,Weekday,Late Night,Saturday Morning
1975-1976,Weekday,Late Night,Saturday Morning
1976-1977,Weekday,Late Night,Saturday Morning
1977-1978,Weekday,Late Night,Saturday Morning
1978-1979,Weekday,Late Night,Saturday Morning
1979-1980,Weekday,Late Night,Saturday Morning
1980-1981,Weekday,Late Night,Saturday Morning
1981-1982,Weekday,Late Night,Saturday Morning
1982-1983,Weekday,Late Night,Saturday Morning
1983-1984,Weekday,Late Night,Saturday Morning
1984-1985,Weekday,Late Night,Saturday Morning
1985-1986,Weekday,Late Night,Saturday Morning
1986-1987,Weekday,Late Night,Saturday Morning
1987-1988,Weekday,Late Night,Saturday Morning
1988-1989,Weekday,Late Night,Saturday Morning
1989-1990,Weekday,Late Night,Saturday Morning
1990-1991,Weekday,Late Night,Saturday Morning
1991-1992,Weekday,Late Night,Saturday Morning
1992-1993,Weekday,Late Night,Saturday Morning
1993-1994,Weekday,Late Night,Saturday Morning
1994-1995,Weekday,Late Night,Saturday Morning
1995-1996,Weekday,Late Night,Saturday Morning
1996-1997,Weekday,Late Night,Saturday Morning
1997-1998,Weekday,Late Night,Saturday Morning
1998-1999,Weekday,Late Night,Saturday Morning
1999-2000,Weekday,Late Night,Saturday Morning
2000-2001,Weekday,Late Night,Saturday Morning
2001-2002,Weekday,Late Night,Saturday Morning
2002-2003,Weekday,Late Night,Saturday Morning
2003-2004,Weekday,Late Night,Saturday Morning
2004-2005,Weekday,Late Night,Saturday Morning
2005-2006,Weekday,Late Night,Saturday Morning
2006-2007,Weekday,Late Night,Saturday Morning
2007-2008,Weekday,Late Night,Saturday Morning
2008-2009,Weekday,Late Night,Saturday Morning
2009-2010,Weekday,Late Night,Saturday Morning
2010-2011,Weekday,Late Night,Saturday Morning
2011-2012,Weekday,Late Night,Saturday Morning
2012-2013,Weekday,Late Night,Saturday Morning
1954-1955,Weekday,Late Night,None
1955-1956,Weekday,Late Night,None
1956-1957,Weekday,Late Night,None
1957-1958,Weekday,Late Night,None
1958-1959,Weekday,Late Night,None
1959-1960,Weekday,Late Night,None
