col0,col1,col2,col3
"2000
 (7th)",Brian Dennehy,Death of a Salesman,Willy Loman
"2000
 (7th)",Alec Baldwin,Nuremberg,Justice Robert H. Jackson
"2000
 (7th)",Brian Cox,Nuremberg,Hermann Wilhelm Göring
"2000
 (7th)",Danny Glover,Freedom Song,Will Walker
"2000
 (7th)",John Lithgow,Don Quixote,Don Quixote
"2000
 (7th)",James Woods,Dirty Pictures,Dennis Barrie
"2001
 (8th)",Ben Kingsley,Anne Frank: The Whole Story,Otto Frank
"2001
 (8th)",Alan Alda,Club Land,Willie Walters
"2001
 (8th)",Richard Dreyfuss,The Day Reagan Was Shot,Alexander Haig
"2001
 (8th)",James Franco,James Dean,James Dean
"2001
 (8th)",Gregory Hines,Bojangles,Bill Bojangles Robinson
"2002
 (9th)",William H. Macy,Door to Door,Bill Porter
"2002
 (9th)",Albert Finney,The Gathering Storm,Winston Churchill
"2002
 (9th)",Brad Garrett,Gleason,Jackie Gleason
"2002
 (9th)",Sean Hayes,Martin and Lewis,Jerry Lewis
"2002
 (9th)",John Turturro,Monday Night Mayhem,Howard Cosell
"2003
 (10th)",Al Pacino,Angels in America,Roy Cohn
"2003
 (10th)",Justin Kirk,Angels in America,Prior Walter / Man in Park
"2003
 (10th)",Jeffrey Wright,Angels in America,Mr. Lies / Belize / Homeless Man / The Angel Europa
"2003
 (10th)",Paul Newman,Our Town,Stage Manager
"2003
 (10th)",Forest Whitaker,Deacons for Defense,Marcus Clay
"2004
 (11th)",Geoffrey Rush,The Life and Death of Peter Sellers,Peter Sellers
"2004
 (11th)",Jamie Foxx,Redemption: The Stan Tookie Williams Story,Stan Tookie Williams
"2004
 (11th)",William H. Macy,The Wool Cap,Charlie Gigot
"2004
 (11th)",Barry Pepper,3: The Dale Earnhardt Story,Dale Earnhardt
"2004
 (11th)",Jon Voight,The Five People You Meet in Heaven,Eddie
"2005
 (12th)",Paul Newman,Empire Falls,Max Roby
"2005
 (12th)",Kenneth Branagh,Warm Springs,Franklin D. Roosevelt
"2005
 (12th)",Ted Danson,Knights of the South Bronx,David MacEnulty
"2005
 (12th)",Ed Harris,Empire Falls,Miles Roby
"2005
 (12th)",Christopher Plummer,Our Fathers,Cardinal Bernard Law
"2006
 (13th)",Jeremy Irons,Elizabeth I,"Robert Dudley, Earl of Leicester"
"2006
 (13th)",Thomas Haden Church,Broken Trail,Tom Harte
"2006
 (13th)",Robert Duvall,Broken Trail,Prentice Ritter
"2006
 (13th)",William H. Macy,Nightmares & Dreamscapes: From the Stories of Stephen King,Det. Clyde Umney / Sam Landry
"2006
 (13th)",Matthew Perry,The Ron Clark Story,Ron Clark
"2007
 (14th)",Kevin Kline,As You Like It,Jacques
"2007
 (14th)",Michael Keaton,The Company,James Jesus Angleton
"2007
 (14th)",Oliver Platt,The Bronx Is Burning,George Steinbrenner
"2007
 (14th)",Sam Shepard,Ruffian,Frank Whiteley
"2007
 (14th)",John Turturro,The Bronx Is Burning,Billy Martin
"2008
 (15th)",Paul Giamatti,John Adams,John Adams
"2008
 (15th)",Tom Wilkinson,John Adams,Benjamin Franklin
"2008
 (15th)",Ralph Fiennes,Bernard and Doris,Bernard Lafferty
"2008
 (15th)",Kevin Spacey,Recount,Ron Klain
"2008
 (15th)",Kiefer Sutherland,24: Redemption,Jack Bauer
"2009
 (16th)",Kevin Bacon,Taking Chance,Michael Strobl
"2009
 (16th)",Cuba Gooding Jr.,Gifted Hands: The Ben Carson Story,Ben Carson
"2009
 (16th)",Jeremy Irons,Georgia O'Keeffe,Alfred Stieglitz
"2009
 (16th)",Kevin Kline,Cyrano de Bergerac,Cyrano de Bergerac
"2009
 (16th)",Tom Wilkinson,A Number,Salter
