col0,col1,col2,col3
1970,Confession,Costa-Gavras,"France, Italy"
1970,Que la bete meure,Claude Henri Jean Chabrol,"France, Italy"
1970,En passion,Ernst Ingmar Bergman,Sweden
1970,My Night at Maud's,Éric Rohmer,France
1970,The Wild Child,François Truffaut,France
1971,The Conformist,Bernardo Bertolucci,"Italy, France, West Germany"
1971,The Clowns,Federico Fellini,Italy
1971,The Garden of the Finzi-Continis,Vittorio De Sica,Italy
1971,Bed and Board,François Truffaut,"France, Italy"
1971,Claire's Knee,Éric Rohmer,France
1972,The Emigrants,Jan Troell,Sweden
1972,Chloe in the Afternoon,Éric Rohmer,France
1972,The Discreet Charm of the Bourgeoisie,Luis Buñuel,France
1972,The Sorrow and the Pity,Marcel Ophuls,France
1972,Uncle Vanya,Andrey Konchalovskiy,Soviet Union
1973,"Alfredo, Alfredo",Pietro Germi,Italy
1973,Cries and Whispers,Ingmar Bergman,Sweden
1973,The New Land,Jan Troell,Sweden
1973,Day for Night,François Truffaut,France
1973,The Tall Blond Man with One Black Shoe,Yves Robert,France
1973,Trafic,Jacques Tati,"Italy, France"
1974,The Pedestrian,Maximilian Schell,Germany
1974,Amarcord,Federico Fellini,Italy
1974,"Lacombe, Lucien",Louis Malle,France
1974,The Phantom of Liberty,Luis Buñuel,"Italy, France"
1974,Scenes from a Marriage,Ingmar Bergman,Sweden
1975,Swept Away,Lina Wertmüller,Italy
1975,A Brief Vacation,Vittorio De Sica,Italy
1975,The Story of Adele H.,François Truffaut,France
1975,Special Section,Costa-Gavras,France
1975,Stavisky,Alain Resnais,France
1976,Face to Face,Ingmar Bergman,Sweden
1976,The Clockmaker,Bertrand Tavernier,France
1976,Cousin Cousine,Jean-Charles Tacchella,France
1976,Small Change,François Truffaut,France
1976,The Marquise of O,Éric Rohmer,West Germany
1977,The Man Who Loved Women,François Truffaut,France
1977,The American Friend,Wim Wenders,West Germany
1977,Cría Cuervos,Carlos Saura,Spain
1977,A Special Day,Ettore Scola,Italy
1977,That Obscure Object of Desire,Luis Buñuel,"France, Spain"
1978,Autumn Sonata,Ingmar Bergman,Sweden
1978,Dear Detective,Philippe de Broca,France
1978,Madame Rosa,Moshé Mizrahi,France
1978,Bread and Chocolate,Franco Brusati,Italy
1978,A Slave of Love,Nikita Mikhalkov,Soviet Union
1979,La Cage aux Folles,Édouard Molinaro,"France, Italy"
1979,The Marriage of Maria Braun,Rainer Werner Fassbinder,West Germany
1979,Nosferatu the Vampyre,Werner Herzog,West Germany
1979,Peppermint Soda,Diane Kurys,France
1979,The Tree of Wooden Clogs,Ermanno Olmi,Italy
