col0,col1,col2
Adilson Silva Fernandes,MpD,Santo Antão Island
Clóvis Isildo Barbosa da Silva,PAICV,Brava Island
David Lima Gomes,MpD,Brava Island
Jorge Pedro Maurício dos Santos,MPD,Santo Antão
Arlindo Nascimento do Rosário,MPD,Santo Antão
Damião da Cruz Medina,MPD,Santo Antão Island
Calos Alberto Delgado,PAICV,Santo Antão Island
Vera Helena Pires Almeida da Cruz,PAICV,Santo Antão
Odailson Jorge da Luz Bandeira,PAICV,Santo Antão Island
João da Luz Gomes,MPD,São Vicente
Rui Alberto de Figueiredo Soares,MpD,São Vicente
Humberto Elísio Lélis Sousa Duarte,MpD,São Vicente
Maria Celeste Fonseca,MpD,São Vicente
Mircéia Isidora Araújo Delgado,MpD,São Vicente
António Delgado Monteiro,UCID,São Vicente
João dos Santos Luís,UCID,São Vicente
Dora Oriana Gomes Pires dos Reis,UCID,São Vicente
Manuel Inocêncio Sousa,PAICV,São Vicente
João do Carmo Brito Soares,PAICV,São Vicente
Filomena de Fátima Ribeiro Vieira Martins,PAICV,São Vicente
Nelson do Rosário Brito,MPD,São Nicolau
Américo Sabino Soares Nascimento,PAICV,São Nicolau
Francisco Marcelino Lopes Correia,MpD,Sal
Janine Tatiana Santos Lélis,MPD,Sal
Ana Paula Dias Santos,PAICV,Sal
José Luís Santos,MpD,Boa Vista
Walter Emanuel da Silva Évora,PAICV,Boa Vista
Joana Gomes Rosa Amado,MpD,Maio
Fernando Jorge Spencer Ferreira Frederico,PAICV,Maio
Austelino Tavares Correia,MPD,Santiago Norte
João Gomes Duarte,MPD,Santiago Norte
David Elias Mendes Gomes,MPD,Santiago Norte
José Manuel Soares Tavares,MPD,Santiago Norte
Anilda Ideida Monteiro Tavares,MpD,Santiago Norte
José Eduardo Mendes Moreno,MpD,Santiago Norte
Hélio de Jesus Pina Sanches,MPD,Santiago Norte
Celita Annie Alfama Pereira,MpD,Santiago Norte
José Maria Gomes da Veiga,PAICV,Santiago Norte
José Maria Fernandes da Veiga,PAICV,Santiago Norte
José Jorge Monteiro Silva,PAICV,Santiago Norte
Moisés António do Espírito Santo Tavares Borges,PAICV,Santiago Norte
João Baptista Correia Pereira,PAICV,Santiago Norte
José Manuel Sanches Tavares,PAICV,Santiago Norte
José Ulisses de Pina Correia e Silva,MpD,Santiago Sul
Fernando Elísio Leboucher Freire de Andrade,MPD,Santiago Sul
Filomena Mendes Gonçalves,MpD,Santiago Sul
Olavo Avelino Garcia Correia,MPD,Santiago Sul
Luís Filipe Lopes Tavares,MpD,Santiago Sul
José Luís do Livramento Monteiro Alves de Brito,MPD,Santiago Sul
Abraão Aníbal Fernandes Barbosa Vicente,MPD,Santiago Sul
José Filomeno Carvalho Dias Monteiro,MPD,Santiago Sul
Isa Filomena Pereira Soares da Costa,MPD,Santiago Sul
Alcides Monteiro de Pina,MPD,Santiago Sul
Lúcia Maria Mendes Gonçalves dos Passos,MpD,Santiago Sul
Janira Isabel Fonseca Hopffer Almada,PAICV,Santiago Sul
Felisberto Alves Vieira,PAICV,Santiago Sul
Rui Mendes Semedo,PAICV,Santiago Sul
Nilda Maria Gonçalves de Pina Fernandes,PAICV,Santiago Sul
Júlio Lopes Correia,PAICV,Santiago Sul
Ana Paula Elias Curado da Moeda,PAICV,Santiago Sul
Julião Correia Varela,PAICV,Santiago Sul
Jorge Arcanjo Livramento Nogueira,MpD,Fogo
Filipe Alves Gomes dos Santos,MPD,Fogo
Carlos Alberto Gonçalves Lopes,MpD,Fogo
Eva Verona Teixeira Andrade Ortet,PAICV,Fogo
Nuías Mendes Barbosa da Silva,PAICV,Fogo
Estevão Barros Rodrigues,PAICV,Africa
Orlando Pereira Dias,MpD,Africa
João de Brito Lopes de Pina,PAICV,Americas
Alberto Mendes Montrond,MpD,Americas
Francisco Correia Pereira,PAICV,Europe and rest of the world
Emanuel Alberto Duarte Barbosa,MpD,Europe and rest of the world
Source: CNE,Source: CNE,Source: CNE
