col0,col1,col2,col3,col4
1908,Dem,William Jennings Bryan,William Jennings Bryan,William Howard Taft
1912,Dem,Judson Harmon,Thomas Woodrow Wilson,Woodrow Wilson
1916,Rep,Governor Hughes,Charles Evans Hughes,Woodrow Wilson
1920,Rep,not held,Warren Gamaliel Harding,Warren G. Harding
1924,Dem,John W. Davis,John W. Davis,Calvin Coolidge
1928,Dem,Al Smith,Al Smith,Herbert Hoover
1932,Dem,Franklin D. Roosevelt,Franklin D. Roosevelt,Franklin D. Roosevelt
1936,Rep,Arthur Vandenberg,Alf Landon,Franklin D. Roosevelt
1940,Rep,Charles L. McNary,Wendell Willkie,Franklin D. Roosevelt
1944,Rep,not held,Thomas E. Dewey,Franklin D. Roosevelt
1948,Rep,Arthur Vandenberg,Thomas E. Dewey,Harry S. Truman
1952,Rep,Dwight D. Eisenhower,Dwight D. Eisenhower,Dwight D. Eisenhower
1956,Dem,Adlai Stevenson,Adlai Stevenson,Dwight D. Eisenhower
1960,Dem,John F. Kennedy,John F. Kennedy,John F. Kennedy
1964,Rep,Barry Goldwater,Barry Goldwater,Lyndon B. Johnson
1968,Rep,Richard Nixon,Richard Nixon,Richard Nixon
1972,Dem,Ted Kennedy,George McGovern,Richard Nixon
1976,Dem,Jimmy Carter,Jimmy Carter,Jimmy Carter
1980,Rep,Ronald Reagan,Ronald Reagan,Ronald Reagan
1984,Dem,Walter Mondale,Walter Mondale,Ronald Reagan
1988,Dem,Michael Dukakis,Michael Dukakis,George H.W. Bush
1992,Dem,Bill Clinton,Bill Clinton,Bill Clinton
1996,Rep,Bob Dole,Bob Dole,Bill Clinton
2000,Rep,George W. Bush,George W. Bush,George W. Bush
2004,Dem,John Kerry,John Kerry,George W. Bush
2008,Dem,Hillary Clinton,Barack Obama,Barack Obama
2012,Rep,Mitt Romney,Mitt Romney,Barack Obama
2016,Rep,Donald Trump,Donald Trump,Donald Trump
2020,Dem,Bernie Sanders,Joe Biden,Joe Biden
2024,Rep,Donald Trump https://www.mockconvention.com/2024-livestream,Donald Trump,TBD
