col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
1990,Agneepath,Dharma Productions,Weston,1991,Ajooba,Aasia Films,tseries,1992,Angaar,Aarishaa International,Saregama
1990,Amba,Emkay Productions,Super Cassettes Industries Private Limited,1991,Akayla,M.R. Productions,Venus,1992,Apradhi,Ratan International,Tips Industries
1990,Amiri Garibi,Tutu Films,T-Series,1991,Banjaran,Bhawani Pictures,Weston,1992,Dil Hi To Hai,Magnum Films International,Tips Industries
1990,Hum Se Na Takrana,Bahry Films,tseries,1991,Benaam Badshah,Tina Films Enterprises,Sa Re Ga Ma,1992,Heer Ranjha,Eastern Films,Tips Industries
1990,Izzatdaar,Divya Films International,Super Cassettes Industries Private Limited,1991,Hum,Romesh Films,Saregama,1992,Khuda Gawah,Glamour Films,Tips Industries
1990,Veeru Dada,Sri Haripriya Cine Creations,Saregama,1991,Khoon Ka Karz,Bhappi Sonie Productions,Weston,1992,Kshatriya,Pushpa Movies,Tips Industries
1990,Kroadh,Verma Films,Venus Records & Tapes,1991,Lakshmanrekha,Om Shakti Films,Venus,1992,Prem Deewane,Suneha Arts,Saregama
1990,Pati Patni Aur Tawaif,Shankar Movies,T-Series,1991,Mast Kalandar,Rahul Rawail,Weston,1992,Humlaa,Seven Arts Pictures,
1990,Pratibandh,Geetha Arts,Tips Industries,1991,Paap Ki Aandhi,Shivkala Movies,Super Cassettes Industries Private Limited,1992,Swarg Se Pyara Ghar Hamara,Waris Pictures,HMV/Saregama
1990,Pyar Ka Karz,Shiromanee Chitra,Venus,1991,Mast Kalandar,Rahul Rawail,Weston,1993,Phool,Aryan Films,Anand-Milind HMV/Saregama
1990,Qayamat Ki Raat,Kumar Mangat Productions,Tips Industries,1991,Pyar Hua Chori Chori,Anirudh Arts,Sterling,1993,Chahoonga Main Tujhe,A.H. Movies,Royal
1990,Sher Dil,Akshar International Productions,T-Series,1991,Pyar Ka Devta,AMU Enterprises,Tips Industries,1993,Gumrah,Dharma Productions,HMV/Saregama
1990,Sheshnaag,AA Films,T-Series,1991,Khilaaf,Krishna Movies,Tips Industries,1993,Khal Nayak,Mukta Arts,Tips Industries
1990,Majboor,Bhagavati Pictures,,1991,Dhun,BNA International,HMV/Saregama,1993,Bedardi,Lama Productions,Tips Industries
,,,,1991,Chauraha,Revati Films,Time,1994,Aurat Aurat Aurat,S.S. Khimanni Movitone,Tarana
