col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2014,DeltaWing Racing Cars,P,DeltaWing DWC13,Élan (Mazda) 1.9 L I4 Turbo,DAY,SEB,LBH,LGA,DET,WGL,MOS,IMS,ELK,COA,PET,19th,131
2015,DeltaWing Racing Cars w/ Claro/TracFone,P,DeltaWing DWC13,Élan (Mazda) 1.9 L I4 Turbo,DAY,SEB,LBH,LGA,DET,WGL,MOS,ELK,COA,PET,,8th,207
2016,Panoz DeltaWing Racing,P,DeltaWing DWC13,Élan (Mazda) 1.9 L I4 Turbo,DAY,SEB,LBH,LGA,,WGL,MOS,ELK,COA,PET,,10th,247
2017,Michael Shank Racing,GTD,Acura NSX GT3,Acura 3.5 L Turbo V6,2017 Rolex 24 at Daytona,SEB,LBH,COA,DET,WGL,MOS,LIM,ELK,VIR,LGA,6th,286
2018,Michael Shank Racing w/ Curb-Agajanian,GTD,Acura NSX GT3,Acura 3.5 L Turbo V6,DAY,SEB,MDO,DET,WGL,MOS,LIM,ELK,VIR,LGA,PET,2nd,329
2019,Heinricher Racing w/ Meyer Shank Racing,GTD,Acura NSX GT3,Acura 3.5 L Turbo V6,DAY,SEB,MDO,DET,WGL,MOS,LIM,ELK,VIR,LGA,PET,9th,221
2020,GRT,GTD,Lamborghini Huracán GT3 Evo,Lamborghini 5.2 L V10,DAY,DAY,SEB,ELK,VIR,ATL,MDO,CLT,PET,LGA,SEB,57th,15
2021,Earl Anderson Bamber,GTD,Porsche 911 GT3 R,Porsche 4.0 L Flat-6,DAY,SEB,MDO,2021 Chevrolet Detroit Grand Prix,WGL,WGL,LIM,ELK,LGA,LBH,VIR,9th,2400
2022,Team Hardpoint,GTD,Porsche 911 GT3 R,Porsche MA1.76/MDG.G 4.0 L Flat-6,DAY,SEB,LBH,LGA,MDO,DET,WGL,MOS,LIM,ELK,VIR,16th,1292
2023,Gradient Racing,GTD,Acura NSX GT3 Evo22,Acura 3.5 L Turbo V6,DAY,SEB,LBH,LGA,WGL,MOS,LIM,ELK,VIR,IMS,PET,11th,2552
2024,Gradient Racing,GTD,Acura NSX GT3 Evo22,Acura 3.5 L Turbo V6,DAY,SEB,LBH,LGA,WGL,MOS,ELK,VIR,IMS,PET,,23rd*,309*
