col0,col1,col2,col3,col4,col5,col6
Date,Commissioners,Commissioners,Commissioners,Commissioners,Commissioners,Commissioners
"As a commission of four, nominated by the Governor, by and with the consent of the State Senate","As a commission of four, nominated by the Governor, by and with the consent of the State Senate","As a commission of four, nominated by the Governor, by and with the consent of the State Senate","As a commission of four, nominated by the Governor, by and with the consent of the State Senate","As a commission of four, nominated by the Governor, by and with the consent of the State Senate","As a commission of four, nominated by the Governor, by and with the consent of the State Senate","As a commission of four, nominated by the Governor, by and with the consent of the State Senate"
"May 3, 1865",Charles C. Pinckney,James W. Booth,James W. Booth,James Wadsworth Booth,Philip W. Engs,Philip W. Engs
"May 4, 1865",elected president,,,,elected treasurer,elected treasurer
"August 30, 1865",,"resigned, position vacant","resigned, position vacant","resigned, position vacant",,
"September 1, 1865",,Joshua G. Abbe,Joshua G. Abbe,Joshua G. Abbe,,
"As a commission of five, nominated by the Governor, by and with the consent of the State Senate","As a commission of five, nominated by the Governor, by and with the consent of the State Senate","As a commission of five, nominated by the Governor, by and with the consent of the State Senate","As a commission of five, nominated by the Governor, by and with the consent of the State Senate","As a commission of five, nominated by the Governor, by and with the consent of the State Senate","As a commission of five, nominated by the Governor, by and with the consent of the State Senate","As a commission of five, nominated by the Governor, by and with the consent of the State Senate"
"May 1, 1867",Joshua G. Abbe   elected treasurer,Joshua G. Abbe   elected treasurer,Joshua G. Abbe   elected treasurer,Theodorus Bailey Myers,Theodorus Bailey Myers,James Galway
"September 21, 1868","died, position vacant","died, position vacant","died, position vacant",,,
"November 18, 1868",James M. McLean,James M. McLean,James M. McLean,,,
"As a commission of five, nominated by the Mayor, with the consent of the City Aldermen","As a commission of five, nominated by the Mayor, with the consent of the City Aldermen","As a commission of five, nominated by the Mayor, with the consent of the City Aldermen","As a commission of five, nominated by the Mayor, with the consent of the City Aldermen","As a commission of five, nominated by the Mayor, with the consent of the City Aldermen","As a commission of five, nominated by the Mayor, with the consent of the City Aldermen","As a commission of five, nominated by the Mayor, with the consent of the City Aldermen"
late April 1870,William Hitchman,William Hitchman,William Hitchman,James S. Hennessy,James S. Hennessy,James Galway
"April 30, 1870",elected president,elected president,elected president,elected treasurer,elected treasurer,
"As a commission of three, nominated by the Mayor, with the consent of the City Aldermen","As a commission of three, nominated by the Mayor, with the consent of the City Aldermen","As a commission of three, nominated by the Mayor, with the consent of the City Aldermen","As a commission of three, nominated by the Mayor, with the consent of the City Aldermen","As a commission of three, nominated by the Mayor, with the consent of the City Aldermen","As a commission of three, nominated by the Mayor, with the consent of the City Aldermen","As a commission of three, nominated by the Mayor, with the consent of the City Aldermen"
"May 16, 1873",Joseph L. Perley,Joseph L. Perley,Roswell D. Hatch,Roswell D. Hatch,Roswell D. Hatch,Roswell D. Hatch
"May 19, 1873",elected president,elected president,elected treasurer,elected treasurer,elected treasurer,elected treasurer
"May 1, 1877",,,term ended,term ended,term ended,term ended
"May 3, 1877",,,John J. Gorman,John J. Gorman,John J. Gorman,John J. Gorman
"May 5, 1877",,,elected treasurer,elected treasurer,elected treasurer,elected treasurer
"August 10, 1881",elected treasurer,elected treasurer,elected president,elected president,elected president,elected president
"November 16, 1883",,,resigned    Richard Croker,resigned    Richard Croker,resigned    Richard Croker,resigned    Richard Croker
"May 9, 1885",remaining term taken by Purroy   elected president,remaining term taken by Purroy   elected president,elected treasurer,elected treasurer,elected treasurer,elected treasurer
"May 9, 1887",,,resigned to take Smith's remaining term    position vacant,resigned to take Smith's remaining term    position vacant,resigned to take Smith's remaining term    position vacant,resigned to take Smith's remaining term    position vacant
"May 10, 1888",,,Fitz John Porter,Fitz John Porter,Fitz John Porter,Fitz John Porter
"May 2, 1889",resigned to take Porter's remaining term    Anthony Eickhoff   elected treasurer,resigned to take Porter's remaining term    Anthony Eickhoff   elected treasurer,Purroy (second term),Purroy (second term),Purroy (second term),Purroy (second term)
"January 1, 1893",,,resigned to become New York County Clerk    position vacant,resigned to become New York County Clerk    position vacant,resigned to become New York County Clerk    position vacant,resigned to become New York County Clerk    position vacant
"January 10, 1893",,,John J. Scannell,John J. Scannell,John J. Scannell,John J. Scannell
"May 1, 1893",,,reapppointed/moved to an empty full term    Henry Winthrop Gray,reapppointed/moved to an empty full term    Henry Winthrop Gray,reapppointed/moved to an empty full term    Henry Winthrop Gray,reapppointed/moved to an empty full term    Henry Winthrop Gray
"May 2, 1893",,,elected treasurer,elected treasurer,elected treasurer,elected treasurer
"February 2, 1894",,,resigned     replaced by S. Howland Robbins,resigned     replaced by S. Howland Robbins,resigned     replaced by S. Howland Robbins,resigned     replaced by S. Howland Robbins
"May 1, 1895",,,term ended    Austin E. Ford,term ended    Austin E. Ford,term ended    Austin E. Ford,term ended    Austin E. Ford
"June 30, 1896",,,elected treasurer,elected treasurer,elected treasurer,elected treasurer
"September 17, 1896",,,"died, position vacant","died, position vacant","died, position vacant","died, position vacant"
"September 26, 1896",,,Thomas Sturgis,Thomas Sturgis,Thomas Sturgis,Thomas Sturgis
"September 28, 1896",elected president,elected president,elected treasurer,elected treasurer,elected treasurer,elected treasurer
"January 1, 1898",replaced by Scannell as a single commissioner (see next table),replaced by Scannell as a single commissioner (see next table),replaced by Scannell as a single commissioner (see next table),replaced by Scannell as a single commissioner (see next table),replaced by Scannell as a single commissioner (see next table),replaced by Scannell as a single commissioner (see next table)
