col0,col1,col2,col3
1946,FK Budućnost,FK Lovćen,FK Sutjeska
1946/47,FK Sutjeska,FK Bokelj,FK Lovćen
1947/48,FK Bokelj,FK Lovćen,FK Rudar
1948/49,FK Sutjeska,FK Lovćen,FK Rudar
1950,FK Bokelj,FK Arsenal,FK Rudar
1951,FK Berane,FK Sutjeska,FK Jedinstvo
1952,FK Budućnost,FK Sutjeska,FK Lovćen
1953,FK Budućnost,FK Lovćen,FK Berane
1953/54,FK Bokelj,FK Sutjeska,FK Arsenal
1954/55,FK Sutjeska,OFK Titograd,FK Radnički Nikšić
1955/56,FK Bokelj,FK Iskra,FK Gorštak
1956/57,FK Bokelj,FK Rudar,FK Javorak
1957/58,FK Rudar,FK Zora,FK Gorštak
1958/59,OFK Titograd,FK Arsenal,FK Rudar
1959/60,FK Lovćen,FK Iskra,FK Jedinstvo
1960/61,OFK Titograd,FK Jedinstvo,FK Bokelj
1961/62,OFK Titograd,FK Bokelj,FK Rudar
1962/63,FK Lovćen,FK Jedinstvo,FK Rudar
1963/64,OFK Titograd,FK Lovćen,FK Rudar
1964/65,FK Lovćen,OFK Titograd,FK Bokelj
1965/66,FK Rudar,OFK Titograd,FK Jedinstvo
1966/67,OFK Titograd,FK Rudar,FK Jedinstvo
1967/68,OFK Titograd,FK Čelik,FK Jedinstvo
1968/69,FK Zabjelo,FK Rudar,FK Arsenal
1969/70,FK Iskra,FK Bokelj,FK Mornar
1970/71,FK Bokelj,FK Rudar,FK Arsenal
1971/72,FK Jedinstvo,FK Rudar,FK Arsenal
1972/73,FK Iskra,OFK Petrovac,FK Grafičar
1973/74,FK Lovćen,FK Jedinstvo,FK Zeta
1974/75,OFK Titograd,FK Zeta,FK Grafičar
1975/76,FK Jedinstvo,FK Zeta,FK Mogren
1976/77,FK Sutjeska,OFK Titograd,OFK Petrovac
1977/78,FK Jedinstvo,OFK Petrovac,OFK Titograd
1978/79,OFK Titograd,FK Iskra,FK Lovćen
1979/80,FK Lovćen,FK Tekstilac,FK Rudar
1980/81,FK Mogren,FK Titeks,FK Čelik
1981/82,FK Lovćen,FK Čelik,FK Zeta
1982/83,FK Berane,FK Zeta,FK Rudar
1983/84,OFK Titograd,FK Zeta,FK Bokelj
1984/85,FK Lovćen,FK Čelik,FK Bokelj
1985/86,FK Bokelj,OFK Igalo,FK Zeta
1986/87,OFK Titograd,OFK Igalo,FK Jedinstvo
1987/88,FK Bokelj,FK Jedinstvo,FK Lovćen
1988/89,FK Mornar,FK Luka Bar,FK Dečić
1989/90,FK Lovćen,FK Dečić,FK Kom
1990/91,OFK Titograd,FK Ribnica,FK Kom
1991/92,FK Kom,FK Iskra,FK Čelik
1992/93,FK Lovćen,FK Kom,FK Luka Bar
1993/94,FK Iskra,FK Mornar,OFK Titograd
1994/95,FK Mornar,OFK Titograd,FK Kom
1995/96,OFK Igalo,FK Čelik,OFK Titograd
1996/97,FK Berane,FK Ibar,FK Lovćen
1997/98,FK Zeta,FK Lovćen,FK Zabjelo
1998/99,OFK Titograd,FK Jedinstvo,OFK Grbalj
1999/00,FK Iskra,FK Zabjelo,FK Crvena Stijena
2000/01,FK Mornar,OFK Petrovac,FK Ribnica
2001/02,FK Kom,FK Jezero,OFK Grbalj
2002/03,OFK Grbalj,FK Zora,FK Crvena Stijena
2003/04,FK Dečić,FK Lovćen,FK Crvena Stijena
2004/05,FK Zora,FK Gusinje,FK Iskra
2005/06,FK Berane,OFK Titograd,FK Ibar
