col0,col1
One Israel,Ehud Barak
One Israel,Shimon Peres
One Israel,David Levy
One Israel,Shlomo Ben-Ami
One Israel,Yossi Beilin
One Israel,Matan Vilnai
One Israel,Avraham Burg
One Israel,Ra'anan Cohen
One Israel,Uzi Baram
One Israel,Dalia Itzik
One Israel,Binyamin Ben-Eliezer
One Israel,Haim Ramon
One Israel,Eli Goldschmidt
One Israel,Avraham Shochat
One Israel,Yael Dayan
One Israel,Ophir Pines-Paz
One Israel,Michael Melchior
One Israel,Maxim Levy
One Israel,Efraim Sneh
One Israel,Nawaf Massalha
One Israel,Avi Yehezkel
One Israel,Sofa Landver
One Israel,Salah Tarif
One Israel,Shalom Simhon
One Israel,Yossi Katz
One Israel,Weizman Shiri
Likud,Binyamin Netanyahu
Likud,Silvan Shalom
Likud,Moshe Katsav
Likud,Limor Livnat
Likud,Meir Sheetrit
Likud,Gideon Ezra
Likud,Naomi Blumenthal
Likud,Ariel Sharon
Likud,Uzi Landau
Likud,Reuven Rivlin
Likud,Dan Naveh
Likud,Tzachi Hanegbi
Likud,Yisrael Katz
Likud,Michael Eitan
Likud,Joshua Matza
Likud,Moshe Arens
Likud,Avraham Hirschson
Likud,Tzipi Livni
Likud,Ayoub Kara
Shas,Aryeh Gamliel
Shas,Eli Suissa
Shas,Eli Yishai
Shas,Shlomo Benizri
Shas,Yitzhak Cohen
Shas,Amnon Cohen
Shas,Nissim Dahan
Shas,David Azulai
Shas,David Tal
Shas,Yitzhak Vaknin
Shas,Rahamim Malul
Shas,Meshulam Nahari
Shas,Yitzhak Saban
Shas,Nissim Ze'ev
Shas,Yair Peretz
Shas,Ofer Hugi
Shas,Yitzhak Gagula
Meretz,Yossi Sarid
Meretz,Ran Cohen
Meretz,Haim Oron
Meretz,Amnon Rubinstein
Meretz,Anat Maor
Meretz,Zehava Gal-On
Meretz,Avshalom Vilan
Meretz,Ilan Gilon
Meretz,Naomi Chazan
Meretz,Hussniya Jabara
Yisrael BaAliyah,Natan Sharansky
Yisrael BaAliyah,Yuli-Yoel Edelstein
Yisrael BaAliyah,Roman Bronfman
Yisrael BaAliyah,Marina Solodkin
Yisrael BaAliyah,Gennady Riger
Yisrael BaAliyah,Alexander Tzinker
Shinui,Tommy Lapid
Shinui,Avraham Poraz
Shinui,Yehudit Naot
Shinui,Yosef Paritzky
Shinui,Eliezer Sandberg
Shinui,Victor Brailovsky
Centre Party,Yitzhak Mordechai
Centre Party,Amnon Lipkin-Shahak
Centre Party,Dan Meridor
Centre Party,Roni Milo
Centre Party,Uri Savir
National Religious Party,Haim Drukman
National Religious Party,Shaul Yahalom
National Religious Party,Yigal Bibi
National Religious Party,Zevulun Orlev
United Torah Judaism,Meir Porush
United Torah Judaism,Avraham Ravitz
United Torah Judaism,Ya'akov Litzman
United Torah Judaism,Moshe Gafni
United Torah Judaism,Shmuel Halpert
United Arab List,Abdulmalik Dehamshe
United Arab List,Taleb el-Sana
United Arab List,Hashem Mahameed
United Arab List,Tawfik Khatib
United Arab List,Muhamad Kanan
National Union,Rehavam Ze'evi
National Union,Hanan Porat
National Union,Michael Kleiner
National Union,Binyamin Elon
Hadash,Mohammad Barakeh
Hadash,Issam Makhoul
Hadash,Tamar Gozansky
Yisrael Beiteinu,Avigdor Lieberman
Yisrael Beiteinu,Yuri Stern
Yisrael Beiteinu,Michael Nudelman
Yisrael Beiteinu,Eliezer Cohen
Balad,Azmi Bishara
Balad,Ahmad Tibi
One Nation,Amir Peretz
One Nation,Haim Katz
