col0,col1
1958-59,AEK
1959-60,PAOK
1960-61,Olympiacos
1961-62,Panathinaikos
1962-63,Panathinaikos Basketball Club
1963-64,AEK
1964-65 FIBA European Champions Cup,AEK Athens BC
1965-66,AEK
1966-67,AEK
1967-68,Panathinaikos
1968-69,AEK Athens BC
1969-70,Panathinaikos
1970-71,AEK
1971-72,Panathinaikos
1972-73,Panathinaikos
1973-74,Panathinaikos
1974-75,Panathinaikos
1975-76,Panathinaikos
1976-77,Olympiacos
1977-78,Panathinaikos
1978-79,Olympiacos
1979-80,Aris
1980-81,Panathinaikos Basketball Club
1981-82,Panathinaikos Basketball Club
1982-83,Panathinaikos Basketball Club
1983-84,Aris
1984-85,Panathinaikos
1985-86,Aris
1986-87,Aris
1987-88,Aris
1988-89,Aris
1989-90,Aris
1990-91,Aris
1991-92,Aris
1992-93,PAOK
1992-93,Olympiacos
1993-94,Olympiacos
1993-94,Panathinaikos
1994-95,Olympiacos
1994-95,PAOK Bravo
1994-95,Panathinaikos
1995-96,Olympiacos
1995-96,Panathinaikos Basketball Club
1995-96,Iraklis Aspis Pronoia
1996-97,Olympiacos
1996-97,Panathinaikos
1996-97,Panionios Afisorama
1997-98,Olympiacos
1997-98,AEK BC
1997-98,PAOK
1998-99,Panathinaikos
1998-99,PAOK
1998-99,Olympiacos
1999-00,Panathinaikos Basketball Club
1999-00,Olympiacos
1999-00,PAOK
2000-01,Panathinaikos
2000-01,Iraklis Thessaloniki
2000-01,PAOK
2000-01,Olympiacos
2000-01,Peristeri
2000-01,AEK
2001-02,Panathinaikos Basketball Club
2001-02,Olympiacos
2001-02,Peristeri
2001-02,AEK BC
2002-03,AEK BC
2002-03,Olympiacos
2002-03,Panathinaikos
2003-04,Panathinaikos
2003-04,AEK
2003-04,Olympiacos
2004-05,Panathinaikos
2004-05,AEK BC
2004-05,Olympiacos
2005-06,Panathinaikos
2005-06,AEK BC
2005-06,Olympiacos
2006-07,Panathinaikos
2006-07,Olympiacos
2006-07,Aris TT Bank
2007-08,Panathinaikos
2007-08,Olympiacos
2007-08,Aris TT Bank
2008-09,Panathinaikos Basketball Club
2008-09,Olympiacos
2008-09,Panionios Forthnet
2009-10,Panathinaikos
2009-10,Olympiacos
2009-10,Maroussi
2010-11,Panathinaikos Basketball Club
2010-11,Olympiacos
2011-12,Panathinaikos
2011-12,Olympiacos
2012-13,Olympiacos
2012-13,Panathinaikos
2013-14,Panathinaikos Basketball Club
2013-14,Olympiacos
2014-15,Panathinaikos Basketball Club
2014-15,Olympiacos
2015-16,Olympiacos
2015-16,Panathinaikos
2016-17,Olympiacos
2016-17,Panathinaikos Superfoods
2017-18,Panathinaikos Superfoods
2017-18,Olympiacos
2018-19,Panathinaikos OPAP
2018-19,Olympiacos
2019-20,Panathinaikos OPAP
2019-20,Olympiacos
2020-21,Panathinaikos OPAP
2020-21,Olympiacos
2021-22,Panathinaikos OPAP
2021-22,Olympiacos
2022-23,Panathinaikos OPAP
2022-23,Olympiacos
2023-24,Panathinaikos Basketball Club
2023-24,Olympiacos
