col0,col1,col2
Albania,Tiranë,Tirana International Airport Nënë Tereza
Azerbaijan,Baku,Heydar Aliyev International Airport
Bahrain,Manama,Bahrain International Airport
Bangladesh,Chattogram,Shah Amanat International Airport
Bangladesh,Dhaka,Hazrat Shahjalal International Airport
Bosnia and Herzegovina,Sarajevo,Sarajevo International Airport
Cyprus,Larnaca,Larnaca International Airport
Czech Republic,Prague,Václav Havel Airport Prague
Egypt,Alexandria,Borg El Arab Airport
Egypt,Assiut,Assiut Airport
Egypt,Cairo,Cairo International Airport
Egypt,Giza,Sphinx International Airport
Egypt,Luxor,Luxor International Airport
Egypt,Sharm El Sheikh,Sharm El Sheikh International Airport
Egypt,Sohag,Sohag International Airport
Ethiopia,Addis Ababa,Bole International Airport
Georgia,Tbilisi,Tbilisi International Airport
India,Ahmedabad,Sardar Vallabhbhai Patel International Airport
India,Bangalore,Kempegowda International Airport
India,Chennai,Chennai International Airport
India,Delhi,Indira Gandhi International Airport
India,Hyderabad,Rajiv Gandhi International Airport
India,Kochi,Cochin International Airport
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport
India,Trivandrum,Thiruvananthapuram International Airport
Iran,Mashhad,Mashhad International Airport
Iran,Shiraz,Shiraz International Airport
Iran,Tehran,Imam Khomeini International Airport
Iraq,Najaf,Al Najaf International Airport
Jordan,Amman,Queen Alia International Airport
Kazakhstan,Almaty,Almaty International Airport
Kazakhstan,Türkıstan,Hazret Sultan International Airport
Kuwait,Kuwait City,Kuwait International Airport
Kyrgyzstan,Osh,Osh Airport
Kyrgyzstan,Bishkek,Manas International Airport
Lebanon,Beirut,Beirut-Rafic Hariri International Airport
Montenegro,Tivat,Tivat Airport
Nepal,Bhairahawa,Gautam Buddha Airport
Nepal,Kathmandu,Tribhuvan International Airport
Oman,Muscat,Muscat International Airport
Oman,Salalah,Salalah International Airport
Pakistan,Islamabad,Islamabad International Airport
Pakistan,Karachi,Jinnah International Airport
Pakistan,Lahore,Allama Iqbal International Airport
Poland,Kraków,Kraków John Paul II International Airport
Qatar,Doha,Doha International Airport
Qatar,Doha,Hamad International Airport
Russia,Moscow,Moscow Domodedovo Airport
Saudi Arabia,Abha,Abha International Airport
Saudi Arabia,Dammam,King Fahd International Airport
Saudi Arabia,Ha’il,Ha'il Regional Airport
Saudi Arabia,Jeddah,King Abdulaziz International Airport
Saudi Arabia,Medina,Prince Mohammad bin Abdulaziz International Airport
Saudi Arabia,Qassim,Prince Naif bin Abdulaziz International Airport
Saudi Arabia,Riyadh,King Khalid International Airport
Saudi Arabia,Ta'if,Ta'if Regional Airport
Serbia,Belgrade,Belgrade Nikola Tesla Airport
Sri Lanka,Colombo,Bandaranaike International Airport
Syria,Aleppo,Aleppo International Airport
Syria,Damascus,Damascus International Airport
Syria,Deir Ezzor,Deir ez-Zor Airport
Tajikistan,Dushanbe,Dushanbe International Airport
Turkey,Antalya,Antalya Airport
Turkey,Bodrum,Milas-Bodrum Airport
Turkey,Istanbul,Atatürk Airport
Turkey,Istanbul,Istanbul Airport
Turkey,Istanbul,Istanbul Sabiha Gökçen International Airport
United Arab Emirates,Abu Dhabi,Zayed International Airport
United Arab Emirates,Al Ain,Al Ain International Airport
United Arab Emirates,Dubai,Dubai International Airport
United Arab Emirates,Sharjah,Sharjah International Airport
United Kingdom,London,Gatwick Airport
United Kingdom,London,Heathrow Airport
United Kingdom,London,London Stansted Airport
Uzbekistan,Fergana,Fergana International Airport
Uzbekistan,Namangan,Namangan Airport
Uzbekistan,Samarqand,Samarqand International Airport
Uzbekistan,Tashkent,Tashkent International Airport
Yemen,Sana'a,Sanaa International Airport
