col0,col1,col2,col3
1990   (11th),President Trump,Ghost Love,Himself
1990   (11th),Leo Damian,Ghosts Can't Do It,Fausto
1990   (11th),Gilbert Gottfried,Look Who's Talking Too,Joey
1990   (11th),Gilbert Godfrey,Problem Child,Mr. Peabody
1990   (11th),Gilbert Gottfried,The Adventures of Ford Fairlane,Johnny Crunch
1990   (11th),Wayne Newton,The Adventures of Ford Fairlane,Julian Grendel
1990   (11th),Burt Young,Rocky V,Paulie Pennino
1991   (12th),Dan Aykroyd,Nothing but Trouble,Reeve Alvin Valkenheiser/Bobo
1991   (12th),Richard E. Grant,Hudson Hawk,Darwin Mayflower
1991   (12th),Anthony Quinn,Mobsters,Joe Massiera
1991   (12th),Christian Slater,Mobsters,Lucky Luciano
1991   (12th),Christian Slater,Robin Hood: Prince of Thieves,Will Scarlet
1991   (12th),John Travolta,Shout,Jack Cabe
1992   (13th),Tom Selleck,Christopher Columbus: The Discovery,King Ferdinand V
1992   (13th),Alan Alda,Whispers in the Dark,Leo Green
1992   (13th),Marlon Brando,Christopher Columbus: The Discovery,Tomás de Torquemada
1992   (13th),Danny DeVito,Batman Returns,Oswald Cobblepot/The Penguin
1992   (13th),Robert Duvall,Newsies,Joseph Pulitzer
1993   (14th),Woody Harrelson,Indecent Proposal,David Murphy
1993   (14th),Tom Berenger,Sliver,Jack Landsford
1993   (14th),John Lithgow,Cliffhanger,Eric Qualen
1993   (14th),Chris O'Donnell,The Three Musketeers,D'Artagnan
1993   (14th),Keanu Reeves,Much Ado About Nothing,Don John
1994   (15th),O. J. Simpson,Naked Gun : The Final Insult,Nordberg
1994   (15th),Dan Aykroyd,Exit to Eden,Fred Lavery
1994   (15th),Dan Aykroyd,North,Pa Tex
1994   (15th),Jane March,Color of Night,Rose/Richie Dexter
1994   (15th),William Shatner,Star Trek Generations,James T. Kirk
1994   (15th),Rod Steiger,The Specialist,Joe Leon
1995   (16th),Dennis Hopper,Waterworld,The Deacon
1995   (16th),Tim Curry,Congo,Herkermer Homolka
1995   (16th),Robert Davi,Showgirls,Al Torres
1995   (16th),Robert Duvall,The Scarlet Letter,Roger Chillingworth
1995   (16th),Alan Rachins,Showgirls,Tony Moss
1996   (17th),Marlon Brando,The Island of Dr. Moreau,Dr. Moreau
1996   (17th),Val Kilmer,The Ghost and the Darkness,Col. John Henry Patterson
1996   (17th),Val Kilmer,The Island of Dr. Moreau,Dr. Montgomery
1996   (17th),Burt Reynolds,Striptease,Congressman David Dilbeck
1996   (17th),Steven Seagal,Executive Decision,Lt. Col. Austin Travis
1996   (17th),Quentin Tarantino,From Dusk till Dawn,Richie Gecko
1997   (18th),Dennis Rodman,Double Team,Yaz
1997   (18th),Willem Dafoe,Speed 2: Cruise Control,John Geiger
1997   (18th),Chris O'Donnell,Batman & Robin,Dick Grayson/Robin
1997   (18th),Arnold Schwarzenegger,Batman & Robin,Dr. Victor Fries/Mr. Freeze
1997   (18th),Jon Voight,Most Wanted,Lt. Col. Grant Casey
1997   (18th),Jon Voight,U Turn,Blind Indian
1998   (19th),Joe Eszterhas,An Alan Smithee Film: Burn Hollywood Burn,Himself
1998   (19th),Sean Connery,The Avengers,Sir August de Wynter
1998   (19th),Roger Moore,Spice World,The Chief
1998   (19th),Joe Pesci,Lethal Weapon 4,Leo Getz
1998   (19th),Sylvester Stallone,An Alan Smithee Film: Burn Hollywood Burn,Himself
1999   (20th),Ahmed Best,Star Wars: Episode I - The Phantom Menace,Jar Jar Binks
1999   (20th),Kenneth Branagh,Wild Wild West,Dr. Arliss Loveless
1999   (20th),Gabriel Byrne,End of Days,Satan
1999   (20th),Gabriel Byrne,Stigmata,Father Andrew Kiernan
1999   (20th),Jake Lloyd,Star Wars: Episode I - The Phantom Menace,Anakin Skywalker
1999   (20th),Rob Schneider,Big Daddy,Nazo
