col0,col1,col2,col3
1788,George Washington,None,7
1792,George Washington,None,8
1796,Thomas Jefferson,Jeffersonian Republican Party,8
1800,T. Jefferson,Democratic Party,8
1804,T. Jefferson,Democratic Party,10
1808,James Madison,Democratic Party,10
1812,James Madison,Democratic-Republican,11
1816,James Monroe,Democratic-Republican,11
1820,James Monroe,Democratic-Republican,11
1824,Andrew Jackson,Democratic-Republican,11
1828,Andrew Jackson,Democratic,11
1832,John Floyd,Nullifier,11
1836,Willie Mangum,Whig,11
1840,Martin Van Buren,Democratic,11
1844,James K. Polk,Democratic,9
1848,Lewis Cass,Democratic,9
1852,Franklin Pierce,Democratic,8
1856,James Buchanan,Democratic,8
1860,John C. Breckinridge,Democratic,8
1864,United States Civil War,United States Civil War,0
1868,Ulysses S. Grant,Republican,6
1872,Ulysses S. Grant,Republican,7
1876,Rutherford B. Hayes,Republican,7
1880,Winfield S. Hancock,Democratic,7
1884,Grover Cleveland,Democratic,9
1888,Grover Cleveland,Democratic,9
1892,Grover Cleveland,Democratic,9
1896,William Jennings Bryan,Democratic Populist,9
1900,William Jennings Bryan,Democratic Populist,9
1900,Alton B. Parker,Democratic,9
1908,William Jennings Bryan,Democratic,9
1912,Woodrow Wilson,Democratic,9
1916,Woodrow Wilson,Democratic,9
1920,James M. Cox,Democratic,9
1924,John W. Davis,Democratic,9
1928,Alfred E. Smith,Democratic,9
1932,Franklin D. Roosevelt,Democratic,8
1936,Franklin D. Roosevelt,Democratic,8
1940,Franklin D. Roosevelt,Democratic,8
1944,Franklin D. Roosevelt,Democratic,8
1948,Strom Thurmond,States' Rights Democrat,8
1952,Adlai Stevenson,Democratic,8
1956,Adlai Stevenson,Democratic,8
1960,John F. Kennedy,Democratic,8
1964,Barry Goldwater,Republican,8
1968,Richard Nixon,Republican,8
1972,Richard Nixon,Republican,8
1976,Jimmy Carter,Democratic,8
1980,Ronald Reagan,Republican,8
1984,Ronald Reagan,Republican,8
1988,George H. W. Bush,Republican,8
1992,George H. W. Bush,Republican,8
1996,Bob Dole,Republican,8
2000,George W. Bush,Republican,8
2004,George W. Bush,Republican,8
2008,John McCain,Republican,8
2012,Mitt Romney,Republican,9
2016,Donald Trump,Republican,9
2020,Donald Trump,Republican,9
