col0,col1,col2
Franklin D. Roosevelt Travels of President Franklin D. Roosevelt U.S. Department of State Office of the Historian,Qahira,Attended First Cairo Conference with British Prime Minister Churchill and Chinese leader Chiang Kai-shek.
Franklin D. Roosevelt Travels of President Franklin D. Roosevelt U.S. Department of State Office of the Historian,Tehran,Attended Tehran Conference with Soviet Premier Joseph Stalin and British Prime Minister Winston Churchill.
Franklin D. Roosevelt Travels of President Franklin D. Roosevelt U.S. Department of State Office of the Historian,Cairo,Attended Second Cairo Conference with British Prime Minister Churchill and Turkish President İsmet İnönü.
Franklin D. Roosevelt Travels of President Franklin D. Roosevelt U.S. Department of State Office of the Historian,"Great Bitter Lake, Suez Canal, Alexandria","Met with King Farouk, Ethiopian Emperor Haile Selassie, Saudi Arabian King Ibn Saud, and British Prime Minister Churchill."
Dwight D. Eisenhower Travels of President Dwight D. Eisenhower U.S. Department of State Office of the Historian,Ankara,Informal Visit. Met with President Celâl Bayar.
Dwight D. Eisenhower Travels of President Dwight D. Eisenhower U.S. Department of State Office of the Historian,Tehran,Met with Shah Mohammad Reza Pahlavi. Addressed Parliament.
Richard Nixon,Tehran,Official Visit. Met with Shah Mohammad Reza Pahlavi.
Richard Nixon,"Cairo, Alexandria",Met with President Anwar Sadat.
Richard Nixon,Jeddah,Met with King Faisal.
Richard Nixon,Damascus,Met with President Hafez al-Assad.
Richard Nixon,"Tel Aviv, Jerusalem",Met with President Ephraim Katzir and Prime Minister Yitzhak Rabin.
Richard Nixon,Amman,State Visit. Met with King Hussein.
Jimmy Carter,Tehran,Official Visit. Met with Shah Mohammad Reza Pahlavi and King Hussein of Jordan.
Jimmy Carter,Riyadh,Met with King Khalid and Crown Prince Fahd.
Jimmy Carter,Aswan,Met with President Sadat and German Chancellor Helmut Schmidt.
Jimmy Carter,"Cairo, Alexandria, Giza",State visit; met with President Sadat and addressed the People's Assembly.
Jimmy Carter,"Tel Aviv, Jerusalem",State Visit. Met with President Yitzhak Navon and Prime Minister Menachem Begin. Addressed the Knesset.
Jimmy Carter,Cairo,Met with President Sadat.
George H. W. Bush,"Jeddah, Dhahran",Met with King Fahd and the Amir of Kuwait. Addressed U.S. and British military personnel in eastern Saudi Arabia.
George H. W. Bush,Cairo,Discussed the Persian Gulf crisis with President Hosni Mubarak.
George H. W. Bush,"Ankara, Istanbul",Met with President Turgut Ozal.
George H. W. Bush,Riyadh,Met with King Fahd.
Bill Clinton,Cairo,Met with President Hosni Mubarak and PLO Chairman Yasser Arafat.
Bill Clinton,"Aqaba, Wadi Arava, Amman",Attended the signing of the Israel-Jordan peace agreement. Addressed the Jordanian Parliament.
Bill Clinton,Damascus,Met with President Hafez al-Assad.
Bill Clinton,Jerusalem,Met with senior Israeli officials. Addressed the Knesset.
Bill Clinton,Kuwait City,Met with Emir Jaber Al-Ahmad Al-Sabah. Addressed U.S. military personnel.
Bill Clinton,King Khalid Military City,Met with King Fahd.
Bill Clinton,Jerusalem,Attended the funeral of Prime Minister Yitzhak Rabin.
Bill Clinton,Sharm el-Sheikh,Attended the Summit of the Peacemakers.
Bill Clinton,"Jerusalem, Tel Aviv",Discussed cooperation against terrorism with senior Israeli officials.
Bill Clinton,"Jerusalem, Masada",Met with Prime Minister Benjamin Netanyahu and senior Israeli officials.
Bill Clinton,"Gaza, Bethlehem, Erez",Addressed Palestine National Council. Attended a meeting with Prime Minister Benjamin Netanyahu and Chairman Yasser Arafat.
Bill Clinton,Amman,Attended the funeral of King Hussein.
Bill Clinton,"Ankara, İzmit, Ephesus, Istanbul",State Visit. Attended Organization for Security and Cooperation in Europe Summit meeting.
Bill Clinton,Muscat,Met with Sultan Qaboos bin Said.
Bill Clinton,Cairo,Briefed President Hosni Mubarak on the Middle East Peace Process.
Bill Clinton,Sharm el-Sheikh,Attended the Israeli-Palestinian Summit Meeting.
George W. Bush,Sharm el-Sheikh,"Attended Red Sea Summit with the leaders of Bahrain, Egypt, Jordan, and Saudi Arabia, and with Palestinian Prime Minister Mahmoud Abbas."
George W. Bush,Aqaba,Attended meetings with Israeli Prime Minister Ariel Sharon and Palestinian Prime Minister Mahmoud Abbas. Met with King Abdullah II.
George W. Bush,Doha,Met with Emir Hamad bin Khalifa Al Thani. Visited U.S. Central Command headquarters and addressed U.S. military personnel.
George W. Bush,Baghdad,Met with members of the Coalition Provisional Authority and the Iraqi Governing Council. Addressed U.S. military personnel.
George W. Bush,"Ankara, Istanbul",Met with President Ahmet Necdet Sezer and Prime Minister Recep Tayyip Erdoğan. Attended the NATO Summit meeting.
George W. Bush,Tbilisi,Met with President Mikheil Saakashvili.
George W. Bush,Baghdad,Met with Prime Minister Nouri al-Maliki. Addressed U.S. military personnel.
George W. Bush,Amman,Met with King Abdullah II and Iraqi Prime Minister Nouri al-Maliki.
George W. Bush,Al Asad Airbase,"Met with Gen. David Petraeus, Secretary of State Condoleezza Rice, Secretary of Defense Robert Gates, senior U.S. officials, Iraqi political leaders. Addressed U.S military personnel."
George W. Bush,"Tel Aviv, Jerusalem",Met with Prime Minister Ehud Olmert and President Shimon Peres. Visited Yad Vashem.
George W. Bush,"Ramallah, Bethlehem",Met with President Mahmoud Abbas. Visited the Church of the Nativity.
George W. Bush,"Kuwait City, Camp Arifjan",Attended Roundtable on Democracy and Development. Met with Gen. David Petraeus and United States Ambassador to Iraq Ryan Crocker. Addressed U.S. military personnel.
George W. Bush,Manama,Met with King Hamad bin Isa Al Khalifa. Addressed U.S. military personnel.
George W. Bush,"Abu Dhabi, Dubai",Met with President Khalifa bin Zayed Al Nahyan and Prime Minister Mohammed bin Rashid Al Maktoum.
George W. Bush,"Riyadh, Al-Janadriyah",Met with King Abdullah.
George W. Bush,Sharm el-Sheikh,Met with President Hosni Mubarak.
George W. Bush,"Tel Aviv, Jerusalem, Masada",Met with President Shimon Peres and Prime Minister Ehud Olmert. Addressed the Knesset. Attended Israel's 60th anniversary. Visited the Masada fortification site.
George W. Bush,"Riyadh, al-Janadriyah",Met with King Abdullah.
George W. Bush,Sharm el-Sheikh,"Met with President Hosni Mubarak, King Abdullah II of Jordan, Palestinian Authority President Mahmoud Abbas and Prime Minister Salam Fayyad, Afghan President Hamid Karzai and Pakistani Prime Minister Yousaf Raza Gillani. Addressed the World Economic Forum."
George W. Bush,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Signed Strategic Framework and Security Agreements. Visited U.S. military personnel.
Barack Obama,"Ankara, Istanbul","Met with President Abdullah Gül and Prime Minister Recep Tayyip Erdoğan. Delivered a speech to the Turkish Parliament. Laid a wreath at Anitkabir Mausoleum,   Also met with Ecumenical Patriarch Bartholomew I of Constantinople of the Eastern Orthodox Church, A Meeting with Ecumenical Patriarch Bartholomew | The White House  attended the Alliance of Civilizations forum,   and participated in a town hall meeting with students at the Tophane Cultural Center."
Barack Obama,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Visited with U.S. troops.
Barack Obama,Riyadh,Met with King Abdullah.
Barack Obama,Cairo,Met with President Hosni Mubarak. Toured the Giza Pyramids. Delivered a speech at Cairo University.
