col0,col1,col2
Dwight D. Eisenhower Travels of President Dwight D. Eisenhower U.S. Department of State Office of the Historian,Wiryeseong,Visit to Korean combat zone. (Visit made as President-elect.)
Dwight D. Eisenhower Travels of President Dwight D. Eisenhower U.S. Department of State Office of the Historian,Taipei,State visit. Met with President Chiang Kai-shek
Dwight D. Eisenhower Travels of President Dwight D. Eisenhower U.S. Department of State Office of the Historian,Seoul,Met with Prime Minister Heo Jeong. Addressed the National Assembly.
Lyndon B. Johnson Travels of President Lyndon B. Johnson U.S. Department of State Office of the Historian WebCitation archive,"Seoul,   Suwon",State visit. Met with President Park Chung-hee and Prime Minister Chung Il-kwon. Addressed National Assembly.
Richard Nixon,"Shanghai,   Beijing,   Hangzhou",State Visit. Met with Party Chairman Mao Zedong and Premier Zhou Enlai.
Gerald Ford,"Tokyo,   Kyoto",State visit. Met with Prime Minister Kakuei Tanaka.
Gerald Ford,Namgyeong,Met with President Park Chung-hee.
Gerald Ford,Peking,Official visit. Met with Party Chairman Mao Zedong and Vice Premier Deng Xiaoping
Jimmy Carter,"Tokyo,   Shimoda",State visit; met with Emperor Hirohito and Prime Minister Masayoshi Ōhira. Attended the 5th G7 summit.
Jimmy Carter,Seoul,State visit. Met with President Park Chung-hee and Prime Minister Choi Kyu-hah.
Jimmy Carter,Tokyo,"Official visit; attended memorial services for former Prime Minister Masayoshi Ōhira; met with Emperor Hirohito, President Ziaur Rahman of Bangladesh, Prime Minister Malcolm Fraser of Australia, Prime Minister Prem Tinsulanonda of Thailand, and Premier Hua Guofeng of China."
Ronald Reagan,Tokyo,State visit; met with Emperor Hirohito and Prime Minister Yasuhiro Nakasone and addressed the National Diet.
Ronald Reagan,"Seoul,   Demilitarized Zone",State visit. Met with President Chun Doo-hwan. Addressed the National Assembly and visited U.S. troops.
Ronald Reagan,"Beijing,   Xi'an,   Shanghai",State visit. Met with President Li Xiannian and Premier Zhao Ziyang.
Ronald Reagan,Tokyo,Attended the 12th G7 summit.
George H. W. Bush,Tokyo,"Attended the funeral of Emperor Hirohito. Met with Emperor Akihito, the kings of Belgium, Jordan and Spain, the presidents of Brazil, Egypt, France, the Federal Republic of Germany, Israel, Italy, Nigeria, the Philippines, Portugal and Zaire, and the prime ministers of Japan, Pakistan, Singapore, Thailand and Turkey."
George H. W. Bush,Beijing,Met with President Yang Shangkun and Premier Li Peng. Also met with Prince Norodom Sihanouk of Cambodia.
George H. W. Bush,Seoul,Official visit. Addressed the National Assembly.
George H. W. Bush,Seoul,"Met with President Roh Tae-woo and senior Korean officials. Also signed a science and technology agreement, addressed the National Assembly, and visited U.S. military personnel."
George H. W. Bush,"Kyoto,   Kashihara,   Tokyo","Met with Emperor Akihito, Prime Minister Kiichi Miyazawa and senior Japanese officials."
Bill Clinton,Tokyo,Attended the 19th G7 summit. Met with Russian President Boris Yeltsin.
Bill Clinton,Seoul,Met with President Kim Young-sam. Addressed the National Assembly. Visited U.S. military personnel.
Bill Clinton,Cheju Island,Met with President Kim Young-sam. Proposed four-nation peace talks.
Bill Clinton,Tokyo,State visit. Issued joint statement on U.S.-Japanese security relations. Addressed the Diet and U.S. Navy personnel.
Bill Clinton,"Xi'an,   Beijing,   Shanghai,   Guilin,   Hong Kong",State visit. Met with President Jiang Zemin. Visited the Forbidden City and the Great Wall of China. Delivered a speech at Peking University.
Bill Clinton,Tokyo,Met with Emperor Akihito and Prime Minister Keizō Obuchi. Addressed American Chamber of Commerce.
Bill Clinton,"Seoul,   Osan",Met with President Kim Dae-jung. Addressed U.S. military personnel.
Bill Clinton,Tokyo,Attended the funeral of former Prime Minister Keizō Obuchi.
Bill Clinton,Nago,Attended the 26th G8 summit.
George W. Bush,Shanghai,Attended the APEC Summit.
George W. Bush,Tokyo,Met with Emperor Akihito and Prime Minister Junichiro Koizumi. Addressed the Diet.
George W. Bush,"Seoul,   Dorasan,   Osan",Met with President Kim Dae-jung. Visited the Korean Demilitarized Zone. Addressed U.S. military personnel.
George W. Bush,Beijing,Met with President Jiang Zemin and Premier Zhu Rongji.
George W. Bush,Tokyo,Met with Prime Minister Junichiro Koizumi.
George W. Bush,Kyoto,Met with Prime Minister Junichiro Koizumi
George W. Bush,"Pusan,   Gyeongju,   Osan",Attended the APEC Summit. Met with Russian President Vladimir Putin. Addressed U.S. military personnel.
George W. Bush,Beijing,Met with President Hu Jintao and Premier Wen Jiabao.
George W. Bush,Ulaanbaatar,Met with President Nambaryn Enkhbayar and Prime Minister Tsakhiagiin Elbegdorj.
George W. Bush,Tōyako,"Attended the 34th G8 summit. Met with Tanzanian President Jakaya Kikwete, Indian Prime Minister Manmohan Singh, Chinese President Hu Jintao and South Korean President Lee Myung-bak."
George W. Bush,Seoul,Met with President Lee Myung-bak. Addressed U.S. military personnel.
George W. Bush,Beijing,Attended the opening ceremonies of the Summer Olympics. Met with President Hu Jintao and Russian Prime Minister Vladimir Putin.
Barack Obama,Tokyo,Met with Emperor Akihito and Prime Minister Yukio Hatoyama.
Barack Obama,"Shanghai,   Beijing","Met with Shanghai Party Secretary Yu Zhengsheng and Mayor Han Zheng; also took part in a town hall meeting with Shanghai students. Met with President Hu Jintao, NPC Chairman Wu Bangguo and Premier Wen Jiabao. Visited the Forbidden City and the Great Wall of China."
Barack Obama,"Seoul, Osan",Met with President Lee Myung-bak. Visited with U.S. troops at Osan Air Base.
Barack Obama,Seoul,Attended the G-20 Summit. Met with President Lee Myung-bak.
Barack Obama,"Yokohama, Kamakura",Attended the APEC Summit. Met with Prime Minister Naoto Kan.
Barack Obama,Seoul,Attended the Nuclear Security Summit. Met with President Lee Myung-bak. Visited the Korean Demilitarized Zone.
Barack Obama,Tokyo,Met with Emperor Akihito and Prime Minister Shinzō Abe.
Barack Obama,Seoul,Met with President Park Geun-hye. Visited with U.S. troops at Yongsan Garrison.
Barack Obama,Beijing,"Attended the APEC Summit. Met with President Xi Jinping, Premier Li Keqiang and NPC Chairman Zhang Dejiang."
Barack Obama,"Shima,   Hiroshima",Attended the 42nd G7 summit. Visited the Hiroshima Peace Memorial Park.
Barack Obama,Hangzhou,Attended the G-20 Summit.
Donald Trump,Tokyo,Met with Emperor Akihito and Prime Minister Shinzō Abe.
Donald Trump,Seoul,Met with President Moon Jae-in. Addressed the National Assembly.
Donald Trump,Beijing,Met with President Xi Jinping and Premier Li Keqiang.
Donald Trump,Tokyo,State visit. Met with Emperor Naruhito and Prime Minister Shinzō Abe.
Donald Trump,Osaka,Attended the G-20 Summit.
Donald Trump,"Seoul,   Korean Demilitarized Zone",Met with President Moon Jae-in. Visited the Korean Demilitarized Zone. Attended the Koreas-United States DMZ Summit with President Moon and North Korean leader Kim Jong-un at the Inter-Korean Freedom House on the southern side of the Joint Security Area of the Korean Demilitarized Zone. Visited U.S. troops at Osan Air Base.
Donald Trump,Joint Security Area,"Briefly walked into the northern side of the Joint Security Area of the Korean Demilitarized Zone, accompanied by North Korean Leader Kim Jong-un, becoming the first sitting U.S. president to enter North Korea."
Joe Biden,Seoul,Met with President Yoon Suk-yeol. Visited with U.S. troops at Yongsan Garrison.
Joe Biden,Tokyo,"Met with Emperor Naruhito and Prime Minister Fumio Kishida. Attended the QUAD Leaders Summit with Prime Minister Kishida, Australian Prime Minister Anthony Albanese, and Indian Prime Minister Narendra Modi."
Joe Biden,Hiroshima,Attended the 49th G7 summit.
