col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
AAG12,AHNAK,AHNAK2,AIP1,ALP,X11A,APBA2,APBA3,ARHGAP21,ARHGAP23,ARHGEF11,ARHGEF12,CARMA3,CARD11,CARD14
CAGH39,CLP-36,CNKSR2,CNKSR3,CRTAM,DFNB31,hdlg,DLG2,DLG3,DLG4,discs large MAGUK scaffold protein 5,DVL1,DVL1L1,dishevelled segment polarity protein 2,dishevelled segment polarity protein 3
ERBB2IP,FRMPD1,FRMPD2,FRMPD2L1,FERM and PDZ domain containing 3,PSD-95-interacting regulator of spine morphogenesis,GIPC,GIPC2,GIPC3,GOPC1,GRASP,glutamate receptor interacting protein 1,glutamate receptor interacting protein 2,HTRA1,HTRA2
HTRA3,HTRA4,IL16,INADL,KIAA1849,LIM domain binding 3,LIMK1,LIM domain kinase 2,MALS1,LIN7B,LIN7C,LMO7,LNX1,LNX2,LRRC7
BAIAP1,MAGI2,MAGI3,MAGIX,MAST1,MTSSK,MAST3,MAST4,MCSP,MLLT4,multiple PDZ domain crumbs cell polarity complex component,MPP1,MPP2,MPP3,MPP4
MPP5,MPP6,MPP7,MYO18A,SLC9A3 regulator 1,NC-NOS,PARD3,PARD6A,PAR6B,PARD6G,CLIM1,PDZ and LIM domain 2,PDLIM3,PDLIM4,LIM
PDLIM7,PDZD11,PIN1,PDZD3,PDZD4,PDZD5A,PDZD7,PDZD8,PDZD1,PDZRN3,PDZRN4,PICK1,PPP1R9A,PPP1R9B,PREX1
PRX,cytohesin 1 interacting protein,PTPN13,PTPN3,PTPN4,RAPGEF2,RGS12,regulator of G-protein signaling 3,RHPN1,RIL,RIM1,RIMS2,SCN5A,SCRIB1,SDCBP
SDCBP2,synamon,SHANK2,DEL22q13.3,SHROOM2,SHROOM3,SHROOM4,SIPA1,SIPA1L1,signal induced proliferation associated 1 like 2,SIPA1L3,SLC9A3R1,SLC9A3R2,SNTA1,SNTB1
syntrophin beta 2,G1SYN,SYN5,sorting nexin 27,SPAL2,STXBP4,SYNJ2BP,SYNPO2,SYNPO2L,TIP-1,TIAM1,TIAM2,TJP1,TJP2,ZO-3
