col0,col1,col2,col3,col4
1976,"""Chief"" Wahoo McDaniel",Chief Jay Strongbow,Mr. Wrestling II,Józef Bednarski
1977,André the Giant,Dusty Rhodes,Robert Louis Backlund,Mil Mascaras
1978,Virgil Riley Runnels,Andre the Giant,Ricky Steamboat,Bob Backlund
1979,Dusty Rhodes (2),Andre the Giant,Józef Bednarski,John Francis Walker
1980,Mr. Wrestling II,Dusty Rhodes,André the Giant,Bruno Sammartino
1981,Tommy Rich,Robert Louis Backlund,André René Roussimoff,Dusty Rhodes
1982,André the Giant (2),Tommy Rich,Hulk Hogan,Virgil Runnels
1983,Jimmy Snuka,Virgil Runnels,David Von Erich,Junkyard Dog
1984,Kerry Von Erich,Hulk Hogan,Dusty Rhodes,Sgt. Slaughter
1985,Hulk Hogan,Magnum T. A.,Kerry Von Erich,Tito Santana
1986,Roddy Piper,Hulk Hogan,Ricky Morton,Nikita Koloff
1987,Dusty Rhodes (3),Hulk Hogan,Randy Savage,Nikita Koloff
1988,Randy Savage,Hulk Hogan,Sting,Lex Luger
1989,Hulk Hogan (2),Ric Flair,Sting,The Ultimate Warrior
1990,Hulk Hogan (3),Sting,The Ultimate Warrior,Lex Luger
1991,Sting,Hulk Hogan,Sid Justice,The Steiner Brothers   (Rick & Scott Steiner)
1992,Sting (2),The Ultimate Warrior,The Undertaker,Ron Simmons
1993,Lex Luger,Sting,Bret Hart,Dustin Rhodes
1994,Sting (3),Bret Hart,The Undertaker,Hulk Hogan
1995,Shawn Michaels,Sting,Diesel,Hulk Hogan
1996,Shawn Michaels (2),Randy Savage,Sycho Sid,The Undertaker
1997,Sting (4),Stone Cold Steve Austin,Ric Flair,Diamond Dallas Page
1998,Stone Cold Steve Austin,Goldberg,The Rock,Diamond Dallas Page
1999,The Rock,Stone Cold Steve Austin,Goldberg,Mankind
2000,The Rock (2),Rob Van Dam,Chris Jericho,Goldberg
2001,Rob Van Dam,The Rock,Chris Jericho,Kurt Angle
2002,Rob Van Dam (2),Hollywood Hulk Hogan,Booker T,The Rock
2003,Kurt Angle,Stone Cold Steve Austin,Rob Van Dam,Rey Mysterio
2004,John Cena,Chris Benoit,Eddie Guerrero,Eugene
2005,John Cena (2),Batista,A.J. Styles,Rey Mysterio
2006,Samoa Joe,John Cena,Rey Mysterio,Sting
2007,John Cena (3),The Undertaker,Sting,CM Punk
2008,Jeff Hardy,Shawn Michaels,Samoa Joe,The Undertaker
2009,Jeff Hardy (2),John Cena,Sting,The Undertaker
2010,Randy Orton,John Cena,Rob Van Dam,Daniel Bryan
2011,CM Punk,John Cena,Sting,Randy Orton
2012,John Cena (4),Sheamus,Randy Orton,Jeff Hardy
2013,Daniel Bryan,John Cena,CM Punk,Dolph Ziggler
2014,Dean Ambrose,Daniel Bryan,John Cena,The Usos
2015,Dean Ambrose (2),Brock Lesnar,Finn Bálor,Shinsuke Nakamura
2016,Shinsuke Nakamura,Dean Ambrose,Bayley,Enzo and Cass   (Enzo Amore & Big Cass)
2017,A.J. Styles,Shinsuke Nakamura,Braun Strowman,Kazuchika Okada
2018,A.J. Styles (2),Seth Rollins,Becky Lynch,Ronda Rousey
2019,Becky Lynch,Jon Moxley,Kofi Kingston,Johnny Gargano
2020,Orange Cassidy,Jon Moxley,Drew McIntyre,Keith Lee
2021,CM Punk (2),Adam Page,Big E,Bianca Belair
2022,Jon Moxley (3),Roman Reigns,CM Punk,Bianca Belair
2023,Cody Rhodes,LA Knight,MJF,Sami Zayn
