col0,col1,col2
1976,Eat My Dust!,Charles Byron Griffith
1976,Hollywood Boulevard,Joe Dante
1976,Hollywood Boulevard,Allan Arkush
1977,Grand Theft Auto,Ron Howard
1978,Piranha,Joe Dante
1979,Spirit of the Wind,Ralph Liddle
1980,Humanoids from the Deep,Barbara Peeters
1981,Enter the Ninja,Menahem Golan
1981,The Howling,Joe Dante
1981,Halloween II,Rick Rosenthal
1981,Halloween II,John Carpenter
1983,Get Crazy,Allan Arkush
1983,Wavelength,Mike Gray
1984,Over the Brooklyn Bridge,Menahem Golan
1984,The Ambassador,J. Lee Thompson
1984,The Terminator,James Cameron
1985,Commando,Mark L. Lester
1985,Rambo: First Blood Part II,George P. Cosmatos
1986,Jumpin' Jack Flash,Penny Marshall
1987,Innerspace,Joseph James Dante Jr.
1987,RoboCop,Paul Verhoeven
1988,Dead Heat,Mark Goldblatt
1989,The Punisher,Mark Goldblatt
1990,Nightbreed,Clive Barker
1990,Predator 2,Stephen Hopkins
1991,Terminator 2: Judgment Day,James Cameron
1991,The Last Boy Scout,Tony Scott
1992,Universal Soldier,Roland Emmerich
1993,Super Mario Bros.,Rocky Morton
1993,Super Mario Bros.,Annabel Jankel
1993,Tombstone,George P. Cosmatos
1993,Tombstone,Kevin Jarre
1994,True Lies,James Cameron
1995,Showgirls,Paul Verhoeven
1996,The Rock,Michael Bay
1997,Starship Troopers,Paul Verhoeven
1998,Armageddon,Michael Bay
1999,Detroit Rock City,Adam Rifkin
2000,Hollow Man,Paul Verhoeven
2001,Pearl Harbor,Michael Bay
2002,Bad Company,Joel Schumacher
2003,Bad Boys II,Michael Bay
2004,Exorcist: The Beginning,Renny Harlin
2004,The Cutting Edge: The Magic of Movie Editing,Wendy Apple
2005,XXX: State of the Union,Lee Tamahori
2006,X-Men: The Last Stand,Brett Ratner
2009,Case 39,Christian Alvart
2009,G-Force,Hoyt Yeatman
2009,Calvin Marshall,Gary Lundgren
2010,The Wolfman,Joe Johnston
2010,The Twilight Saga: Eclipse,David Slade
2011,Rise of the Planet of the Apes,Rupert Wyatt
2013,Percy Jackson: Sea of Monsters,Thor Freudenthal
2015,The SpongeBob Movie: Sponge Out of Water,Mike Mitchell
2015,Chappie,Neill Blomkamp
2016,The Huntsman: Winter's War,Cedric Nicolas-Troyan
2018,Death Wish,Eli Roth
