col0,col1
Arturo Amos,"Temperley, Argentina"
Enrique Rapesta,"Saladillo, Argentina"
Karl Bohusch,"Vienna, Austria"
Hans Sauter,"Bregenz, Austria"
Willi Schreyer,"Salzburg, Austria"
Ángel Aguiar,"Havana, Cuba"
Alejandro Díaz,"Havana, Cuba"
Fernando Lecuona,"Havana, Cuba"
Rafael Lecuona,"Havana, Cuba"
Raimundo Rey,"Havana, Cuba"
Baldomero Rubiera,"Havana, Cuba"
Roberto Villacián,"Havana, Cuba"
Pavel Benetka,"Prague, Czechoslovakia"
Gustav Hrubý,"Vienna, Austria"
Vladimír Karas,"Prague, Czechoslovakia"
Miroslav Málek,"Prague, Czechoslovakia"
Vratislav Petráček,"České Budějovice, Czechoslovakia"
Zdeněk Růžička,"Ivančice, Czechoslovakia"
Leo Sotorník,"Vítkovice, Czechoslovakia"
František Wirth,"Prague, Czechoslovakia"
Elkana Grønne,"Esbjerg, Denmark"
Freddy Jensen,"Nuuk, Greenland"
Poul Jessen,"Copenhagen, Denmark"
Børge Minerth,"Copenhagen, Denmark"
Gunner Olesen,"Slagelse, Denmark"
Arnold Thomsen,"Esbjerg, Denmark"
Volmer Thomsen,"Horsens, Denmark"
Moustafa Abdelal,"Cairo, Egypt"
Ahmed Khalil El-Giddawi,"Cairo, Egypt"
Mohamed Roushdi,"Cairo, Egypt"
Ali Zaky,"Alexandria, Egypt"
Paavo Aaltonen,"Kemi, Finland"
Veikko Huhtanen,"Vyborg, Finland"
Kalevi Laitinen,"Kotka, Finland"
Olavi Rove,"Helsinki, Finland"
Aleksanteri Saarvala,"Vyborg, Finland"
Sulo Salmi,"Vaasa, Finland"
Heikki Savolainen,"Joensuu, Finland"
Einari Teräsvirta,"Vyborg, Finland"
Alphonse Anger,"Pfastatt, France"
Marcel de Wolf,"Trith-Saint-Léger, France"
Raymond Dot,"Puteaux, France"
Lucien Masset,"Lyon, France"
Michel Mathiot,"Besançon, France"
Antoine Schildwein,"Sarreguemines, France"
Auguste Sirot,"Roanne, France"
André Weingand,"Luxeuil-les-Bains, France"
Ken Buffin,"Barry, Wales"
Jack Flaherty,"Manchester, England"
Glyn Hopkins,"Pontypridd, Wales"
Percy May,"Swansea, Wales"
Frank Turner,"London, England"
Ivor Vice,"Swansea, Wales"
Alec Wales,"Stepney, England"
George Weedon,"Richmond, England"
László Baranyai,"Budapest, Hungary"
József Fekete,"Kecskemét, Hungary"
János Mogyorósi-Klencs,"Debrecen, Hungary"
Győző Mogyorossy,"Debrecen, Hungary"
Ferenc Pataki,"Budapest, Hungary"
Lajos Sántha,"Csorvás, Hungary"
Lajos Tóth,"Debrecen, Hungary"
Ferenc Várkõi,"Csongrád, Hungary"
Egidio Armelloni,"Soresina, Italy"
Guido Figone,"Chiavari, Italy"
Danilo Fioravanti,"Berra, Italy"
Domenico Grosso,"Legnano, Italy"
Savino Guglielmetti,"Milan, Italy"
Ettore Perego,"Monza, Italy"
Quinto Vadi,"Faenza, Italy"
Luigi Zanetti,"Padua, Italy"
Jos Bernard,"Cologne, Germany"
Menn Krecke,"Neudorf-Weimershof, Luxembourg"
Jey Kugeler,"Schifflange, Luxembourg"
Pierre Schmitz,"Differdange, Luxembourg"
René Schroeder,"Esch-sur-Alzette, Luxembourg"
Josy Stoffel,"Differdange, Luxembourg"
Polo Welfring,"Esch-sur-Alzette, Luxembourg"
Georges Wengler,"Luxembourg City, Luxembourg"
Jorge Castro,"Mexico City, Mexico"
Rubén Lira,"Monterrey, Mexico"
Everardo Ríos,"Los Aldamas, Mexico"
Nicanor Villarreal,"Monterrey, Mexico"
Karl Frei,"Regensdorf, Switzerland"
Walter Lehmann,"Hütten, Switzerland"
Michael Reusch,"Rothrist, Switzerland"
Josef Stalder,"Lucerne, Switzerland"
William Bonsall,"Philadelphia, Pennsylvania"
Louis Bordo,"Philadelphia, Pennsylvania"
Frank Cumiskey,"West New York, New Jersey"
Vincent D'Autorio,"Newark, New Jersey"
Joe Kotys,"Olyphant, Pennsylvania"
Bill Roetzheim,"Chicago, Illinois"
Ed Scrobe,"New York, New York"
Ray Sorensen,"Warren, Pennsylvania"
Stjepan Boltižar,"Varaždin, Yugoslavia"
Konrad Grilc,"Celje, Yugoslavia"
Karel Janež,"Ljubljana, Yugoslavia"
Josip Kujundžić,"Bačka, Yugoslavia"
Miro Longyka,"Ljubljana, Yugoslavia"
Jakob Šubelj,"Ljubljana, Yugoslavia"
